date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-06-30,FLMC,IDR,2020,Q2,48403956878,16753679314,4848652302
2020-12-31,FLMC,IDR,2020,Q4,42765326122,13273365686,2619493698
2021-06-30,FLMC,IDR,2021,Q2,20450146806,3120556424,-22879347356
2021-12-31,FLMC,IDR,2021,Q4,28763005194,2095182576,-32923637644
2022-06-30,FLMC,IDR,2022,Q2,13835169366,2201896997,-3452433043
2022-12-31,FLMC,IDR,2022,Q4,15184355936,2739179372,-5656078736
2023-06-30,FLMC,IDR,2023,Q2,22382850434,1960160970,11679162600
2023-12-31,FLMC,IDR,2023,Q4,23699120084,3158387912,-4800448070
2024-06-30,FLMC,IDR,2024,Q2,23420071076,2485937096,-4982409154
2024-12-31,FLMC,IDR,2024,Q4,12052530000,-8436622000,-37462258000
2025-06-30,FLMC,IDR,2025,Q2,9128944000,-2877036000,-2989338000
2025-12-31,FLMC,IDR,2025,Q4,5252906000,-5475718000,-19973543000
