date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2023-12-31,FORE,IDR,2023,Q4,173009200000,106731325000,17635439000
2024-03-31,FORE,IDR,2024,Q1,225630852000,136854227000,16232760000
2024-06-30,FORE,IDR,2024,Q2,225630852000,136854227000,16232760000
2024-09-30,FORE,IDR,2024,Q3,276109732000,167491318000,9882829000
2024-12-31,FORE,IDR,2024,Q4,311287797000,183949897000,15870760000
2025-03-31,FORE,IDR,2025,Q1,331186378000,199772053000,21015547000
2025-06-30,FORE,IDR,2025,Q2,331186378000,199772053000,21015547000
2025-09-30,FORE,IDR,2025,Q3,379380065000,185790347000,18076089000
2025-12-31,FORE,IDR,2025,Q4,455381950000,223104351000,30025860000
2026-03-31,FORE,IDR,2026,Q1,444458712000,273675862000,9431593000
2026-06-30,FORE,IDR,2026,Q2,723419422000,281124027000,47057226000
