date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,FREN,IDR,2011,Q1,210688718839,-40551788753,-280977232564
2011-06-30,FREN,IDR,2011,Q2,234488143398,-70460136366,-367536792107
2011-09-30,FREN,IDR,2011,Q3,243743650695,-190998334005,-908906452697
2011-12-31,FREN,IDR,2011,Q4,265410575528,-1239945998,-842515604777
2012-03-31,FREN,IDR,2012,Q1,312093674080,-9190394266,-533343245333
2012-06-30,FREN,IDR,2012,Q2,358156598049,29816522731,-140947716744
2012-09-30,FREN,IDR,2012,Q3,439522248035,97028016861,-340327061991
2012-12-31,FREN,IDR,2012,Q4,539393207090,45216450541,-548212956711
2013-03-31,FREN,IDR,2013,Q1,556968610619,160093876333,-355533903257
2013-06-30,FREN,IDR,2013,Q2,574159556501,140214220768,-475348300731
2013-09-30,FREN,IDR,2013,Q3,621707289401,174133649097,-713841037880
2013-12-31,FREN,IDR,2013,Q4,676022044700,249614893440,-989455595157
2014-03-31,FREN,IDR,2014,Q1,722881240886,242464168073,1097058339
2014-06-30,FREN,IDR,2014,Q2,709521401198,236639530997,-653159485224
2014-09-30,FREN,IDR,2014,Q3,758744135711,288206011644,-287868729067
2014-12-31,FREN,IDR,2014,Q4,763263270624,292509588487,-438893690851
2015-03-31,FREN,IDR,2015,Q1,748316891690,269464186621,-551419274061
2015-06-30,FREN,IDR,2015,Q2,770817226756,285376673712,-264016489468
2015-09-30,FREN,IDR,2015,Q3,755036287370,292910572122,-525719881362
2015-12-31,FREN,IDR,2015,Q4,751584632269,252614639719,-224075630998
2016-03-31,FREN,IDR,2016,Q1,751890650608,268183932315,-265958801268
2016-06-30,FREN,IDR,2016,Q2,830702013580,305870542671,-401781645428
2016-09-30,FREN,IDR,2016,Q3,1009627091487,370855168110,-616987236717
2016-12-31,FREN,IDR,2016,Q4,1045165995798,287513253941,-689597762268
2017-03-31,FREN,IDR,2017,Q1,1021821069195,345162618974,-754308834487
2017-06-30,FREN,IDR,2017,Q2,1120238504980,486121937575,-411956928625
2017-09-30,FREN,IDR,2017,Q3,1176832643464,476361726476,-1656620199804
2017-12-31,FREN,IDR,2017,Q4,1349603724855,626478198255,-199710066509
2018-03-31,FREN,IDR,2018,Q1,1205598669909,492808937347,-684952382980
2018-06-30,FREN,IDR,2018,Q2,1337507607423,606184287985,-964662601504
2018-09-30,FREN,IDR,2018,Q3,1406643133641,664559551150,-854273256791
2018-12-31,FREN,IDR,2018,Q4,1540561717586,608005014784,-1048731670022
2019-03-31,FREN,IDR,2019,Q1,1410550543791,604505434665,-424663159294
2019-06-30,FREN,IDR,2019,Q2,1620085793370,737532085805,-647381151851
2019-09-30,FREN,IDR,2019,Q3,1947431943791,969828538086,-567024194783
2019-12-31,FREN,IDR,2019,Q4,2009736339620,992606891418,-548651089329
2020-03-31,FREN,IDR,2020,Q1,1995844457542,1118061703544,-1777116617648
2020-06-30,FREN,IDR,2020,Q2,2306917228581,1305842878915,555047820797
2020-09-30,FREN,IDR,2020,Q3,2543191857054,1532646614254,-529801423633
2020-12-31,FREN,IDR,2020,Q4,2561929333219,1597956020934,228279075890
2021-03-31,FREN,IDR,2021,Q1,2406316852447,1382616057671,-396825556440
2021-06-30,FREN,IDR,2021,Q2,2544202628045,1566811307819,-55081023067
2021-09-30,FREN,IDR,2021,Q3,2691477919809,1728896067896,10184012609
2021-12-31,FREN,IDR,2021,Q4,2814831421264,1934197893551,6393456748
2022-03-31,FREN,IDR,2022,Q1,2678835087624,1760065683648,24984297567
2022-06-30,FREN,IDR,2022,Q2,2774504915525,1891512796862,29615711915
2022-09-30,FREN,IDR,2022,Q3,2833552564190,1892258205337,1588316334658
2022-12-31,FREN,IDR,2022,Q4,2915686310615,1929338862622,-578680838680
2023-03-31,FREN,IDR,2023,Q1,2774465591957,1827274877676,-379983668564
2023-06-30,FREN,IDR,2023,Q2,2787367663291,1870090265622,-163228238141
2023-09-30,FREN,IDR,2023,Q3,3067702744752,2064901856702,-56430010306
2023-12-31,FREN,IDR,2023,Q4,3026172000000,650442000000,490712000000
2024-03-31,FREN,IDR,2024,Q1,2778775000000,415068000000,-253412000000
2024-06-30,FREN,IDR,2024,Q2,2794059000000,1670684000000,-220356000000
2024-09-30,FREN,IDR,2024,Q3,2970252000000,1902262000000,-533935000000
2024-12-31,FREN,IDR,2024,Q4,2876639000000,1652048000000,-287219000000
