date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2009-03-31,GGRM,IDR,2009,Q1,7650606000000,1679850000000,780488000000
2009-12-31,GGRM,IDR,2009,Q4,9439214000000,1942427000000,980283000000
2010-03-31,GGRM,IDR,2010,Q1,8594488000000,1903014000000,927788000000
2010-12-31,GGRM,IDR,2010,Q4,10157630000000,2483196000000,1205622000000
2011-03-31,GGRM,IDR,2011,Q1,9478809000000,2256408000000,1100250000000
2011-06-30,GGRM,IDR,2011,Q2,10366382000000,2521101000000,1193653000000
2011-09-30,GGRM,IDR,2011,Q3,10722343000000,2773487000000,1492893000000
2011-12-31,GGRM,IDR,2011,Q4,11316818000000,2578372000000,1171306000000
2012-03-31,GGRM,IDR,2012,Q1,11475914000000,2402850000000,1209211000000
2012-06-30,GGRM,IDR,2012,Q2,12083019000000,2145094000000,891658000000
2012-09-30,GGRM,IDR,2012,Q3,12040199000000,2153684000000,905179000000
2012-12-31,GGRM,IDR,2012,Q4,13429564000000,2483094000000,1007710000000
2013-03-31,GGRM,IDR,2013,Q1,12638547000000,2440881000000,1047180000000
2013-06-30,GGRM,IDR,2013,Q2,13999172000000,2858830000000,1155015000000
2013-09-30,GGRM,IDR,2013,Q3,13379049000000,2627327000000,1033846000000
2013-12-31,GGRM,IDR,2013,Q4,15420186000000,2946820000000,1092695000000
2014-03-31,GGRM,IDR,2014,Q1,15670252000000,3254947000000,1417249000000
2014-06-30,GGRM,IDR,2014,Q2,16997477000000,3218689000000,1295646000000
2014-09-30,GGRM,IDR,2014,Q3,15522047000000,3227796000000,1329948000000
2014-12-31,GGRM,IDR,2014,Q4,16996074000000,3678134000000,1325725000000
2015-03-31,GGRM,IDR,2015,Q1,15983896000000,3332236000000,1281968000000
2015-06-30,GGRM,IDR,2015,Q2,17242151000000,3537998000000,1120353000000
2015-09-30,GGRM,IDR,2015,Q3,17785788000000,3707686000000,1704634000000
2015-12-31,GGRM,IDR,2015,Q4,19353738000000,4907691000000,2328699000000
2016-03-31,GGRM,IDR,2016,Q1,17992761000000,4265975000000,1693369000000
2016-06-30,GGRM,IDR,2016,Q2,18970011000000,3772826000000,1175848000000
2016-09-30,GGRM,IDR,2016,Q3,19249098000000,3998282000000,1732174000000
2016-12-31,GGRM,IDR,2016,Q4,20062277000000,4579633000000,2075692000000
2017-03-31,GGRM,IDR,2017,Q1,19969814000000,4397434000000,1889658000000
2017-06-30,GGRM,IDR,2017,Q2,20275480000000,4029678000000,1234904000000
2017-09-30,GGRM,IDR,2017,Q3,21277819000000,4691615000000,2293387000000
2017-12-31,GGRM,IDR,2017,Q4,21782812000000,5102935000000,2335699000000
2018-03-31,GGRM,IDR,2018,Q1,21980863000000,4412920000000,1892063000000
2018-06-30,GGRM,IDR,2018,Q2,23324152000000,4575758000000,1662637000000
2018-09-30,GGRM,IDR,2018,Q3,24584335000000,4721572000000,2206478000000
2018-12-31,GGRM,IDR,2018,Q4,25818313000000,4934077000000,2030644000000
2019-03-31,GGRM,IDR,2019,Q1,26196611000000,4919034000000,2355332000000
2019-06-30,GGRM,IDR,2019,Q2,26548246000000,5039330000000,1925664000000
2019-09-30,GGRM,IDR,2019,Q3,28976175000000,5778943000000,2962268000000
2019-12-31,GGRM,IDR,2019,Q4,28802787000000,7045948000000,3637437000000
2020-03-31,GGRM,IDR,2020,Q1,27260976000000,4942165000000,2446608000000
2020-06-30,GGRM,IDR,2020,Q2,26393663000000,3719191000000,1374194000000
2020-09-30,GGRM,IDR,2020,Q3,29720420000000,4322573000000,1826424000000
2020-12-31,GGRM,IDR,2020,Q4,31102252000000,4404315000000,2000499000000
2021-03-31,GGRM,IDR,2021,Q1,29747173000000,3909179000000,1746541000000
2021-06-30,GGRM,IDR,2021,Q2,30840126000000,2633569000000,564035000000
2021-09-30,GGRM,IDR,2021,Q3,31483557000000,3856430000000,1823996000000
2021-12-31,GGRM,IDR,2021,Q4,32810410000000,3873433000000,1470743000000
2022-03-31,GGRM,IDR,2022,Q1,29290712000000,3272680000000,1076900000000
2022-06-30,GGRM,IDR,2022,Q2,32381555000000,1863441000000,-120755000000
2022-09-30,GGRM,IDR,2022,Q3,32247192000000,2553257000000,541442000000
2022-12-31,GGRM,IDR,2022,Q4,30763233000000,3406225000000,1282153000000
2023-03-31,GGRM,IDR,2023,Q1,29731229000000,4356024000000,1963483000000
2023-06-30,GGRM,IDR,2023,Q2,26119850000000,3577297000000,1324734000000
2023-09-30,GGRM,IDR,2023,Q3,25897494000000,3484620000000,1168953000000
2023-12-31,GGRM,IDR,2023,Q4,37204424000000,2952029000000,867344000000
2024-03-31,GGRM,IDR,2024,Q1,26264938000000,2792384000000,595572000000
2024-06-30,GGRM,IDR,2024,Q2,23753646000000,2059103000000,329943000000
2024-09-30,GGRM,IDR,2024,Q3,23874799000000,2252306000000,66688000000
2024-12-31,GGRM,IDR,2024,Q4,24762100000000,2058809000000,-11398000000
2025-03-31,GGRM,IDR,2025,Q1,23066333000000,2005487000000,104432000000
2025-06-30,GGRM,IDR,2025,Q2,21302201000000,1782344000000,12732000000
2025-09-30,GGRM,IDR,2025,Q3,22958263000000,2316829000000,989607000000
2025-12-31,GGRM,IDR,2025,Q4,22042961000000,2879814000000,449762000000
2026-03-31,GGRM,IDR,2026,Q1,20114143000000,3141244000000,1538215000000
2026-06-30,GGRM,IDR,2026,Q2,21063287000000,2844278000000,1437959000000
