date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,GGRP,USD,2018,Q1,250101340,27186667,16241137
2018-12-31,GGRP,USD,2018,Q4,196479160,3529414,-8271429
2019-03-31,GGRP,USD,2019,Q1,212132290,18222025,302913
2019-06-30,GGRP,USD,2019,Q2,167143807,5240426,-2512342
2019-09-30,GGRP,USD,2019,Q3,231636714,26949593,5315745
2019-12-31,GGRP,USD,2019,Q4,212595514,-9683916,-23876510
2020-03-31,GGRP,USD,2020,Q1,196379926,14431491,940358
2020-06-30,GGRP,USD,2020,Q2,119270804,-3606921,-11740975
2020-09-30,GGRP,USD,2020,Q3,151830696,4515225,-4151439
2020-12-31,GGRP,USD,2020,Q4,145524790,19140307,5998514
2021-03-31,GGRP,USD,2021,Q1,138001252,19980851,7403204
2021-06-30,GGRP,USD,2021,Q2,159037994,20457469,15224768
2021-09-30,GGRP,USD,2021,Q3,205400662,30579667,17576663
2021-12-31,GGRP,USD,2021,Q4,219366711,33798239,21692225
2022-03-31,GGRP,USD,2022,Q1,235114236,28553722,15814474
2022-06-30,GGRP,USD,2022,Q2,221668369,16851592,11977975
2022-09-30,GGRP,USD,2022,Q3,266478750,27846233,21415706
2022-12-31,GGRP,USD,2022,Q4,222235794,15138796,9191943
2023-03-31,GGRP,USD,2023,Q1,210250566,22817146,5850991
2023-06-30,GGRP,USD,2023,Q2,159395270,25338055,11205160
2023-09-30,GGRP,USD,2023,Q3,167764054,11632171,5004432
2023-12-31,GGRP,USD,2023,Q4,172429158,18992222,15767131
2024-03-31,GGRP,USD,2024,Q1,162554011,22787666,15981047
2024-06-30,GGRP,USD,2024,Q2,37477065,-12748034,102444197
2024-09-30,GGRP,USD,2024,Q3,68169214,305378,12703557
2024-12-31,GGRP,USD,2024,Q4,83599036,-1562308,-7055176
2025-03-31,GGRP,USD,2025,Q1,43516829,-1680730,-5051848
2025-06-30,GGRP,USD,2025,Q2,40966708,-4177206,-15931555
2025-09-30,GGRP,USD,2025,Q3,47957274,-8463967,-13894514
2025-12-31,GGRP,USD,2025,Q4,52611693,-13492060,-1506143
2026-03-31,GGRP,USD,2026,Q1,46246571,3999027,1269121
2026-06-30,GGRP,USD,2026,Q2,63529768,2400508,568046
