date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-12-31,GHON,IDR,2016,Q4,28272224000,4200071000,-686233000
2017-03-31,GHON,IDR,2017,Q1,22839120000,12481247000,6436303000
2017-06-30,GHON,IDR,2017,Q2,22839120000,12481247000,6436303000
2017-09-30,GHON,IDR,2017,Q3,22085292000,16461448000,8526214000
2017-12-31,GHON,IDR,2017,Q4,25449792000,15973710000,15291552000
2018-03-31,GHON,IDR,2018,Q1,24739451000,15472041000,6754728000
2018-06-30,GHON,IDR,2018,Q2,26599828000,16501960000,7200540000
2018-09-30,GHON,IDR,2018,Q3,28336063000,18582914000,9196827000
2018-12-31,GHON,IDR,2018,Q4,29024564000,23325366000,26271207000
2019-03-31,GHON,IDR,2019,Q1,27767450000,21488577000,14645068000
2019-06-30,GHON,IDR,2019,Q2,28331896000,22159841000,14585425000
2019-09-30,GHON,IDR,2019,Q3,29179636000,22424630000,14641211000
2019-12-31,GHON,IDR,2019,Q4,30656435000,27303815000,19637541000
2020-03-31,GHON,IDR,2020,Q1,31721501000,24663210000,16595813000
2020-06-30,GHON,IDR,2020,Q2,35436600000,29045825000,19517603000
2020-09-30,GHON,IDR,2020,Q3,38852446000,32053194000,23062724000
2020-12-31,GHON,IDR,2020,Q4,37045891000,27713302000,18576728000
2021-03-31,GHON,IDR,2021,Q1,39984841000,31758131000,22871306000
2021-06-30,GHON,IDR,2021,Q2,40537285000,32787806000,21734221000
2021-09-30,GHON,IDR,2021,Q3,41884524000,32812296000,20211596000
2021-12-31,GHON,IDR,2021,Q4,42513861000,34306013000,25038742000
2022-03-31,GHON,IDR,2022,Q1,44571088000,35242320000,24652454000
2022-06-30,GHON,IDR,2022,Q2,46136519000,28102213000,15163452000
2022-09-30,GHON,IDR,2022,Q3,47393286000,33638473000,21979710000
2022-12-31,GHON,IDR,2022,Q4,48200282000,41314638000,28932496000
2023-03-31,GHON,IDR,2023,Q1,48350956000,36129617000,22673345000
2023-06-30,GHON,IDR,2023,Q2,49687526000,38507881000,19682902000
2023-09-30,GHON,IDR,2023,Q3,52956725000,38909752000,31314287000
2023-12-31,GHON,IDR,2023,Q4,52642518000,38565333000,26556293000
2024-03-31,GHON,IDR,2024,Q1,53920980000,33300490000,16110654000
2024-06-30,GHON,IDR,2024,Q2,54333744000,40304362000,20100620000
2024-09-30,GHON,IDR,2024,Q3,52358648000,33328769000,17284164000
2024-12-31,GHON,IDR,2024,Q4,50652930000,45657986000,27342062000
2025-03-31,GHON,IDR,2025,Q1,53303137000,39767928000,21221868000
2025-06-30,GHON,IDR,2025,Q2,54077580000,38003888000,18954115000
2025-09-30,GHON,IDR,2025,Q3,52367813000,37821797000,17941900000
2025-12-31,GHON,IDR,2025,Q4,51559739000,37599881000,20000772000
2026-03-31,GHON,IDR,2026,Q1,51222225000,34958682000,16819446000
