date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-03-31,GMFI,USD,2016,Q1,81613251,46746474,9394372
2016-12-31,GMFI,USD,2016,Q4,117555552,68069673,22714611
2017-03-31,GMFI,USD,2017,Q1,106087810,28367828,10125106
2017-06-30,GMFI,USD,2017,Q2,94106121,26253775,10712221
2017-09-30,GMFI,USD,2017,Q3,110342730,135141531,17314132
2017-12-31,GMFI,USD,2017,Q4,128744581,-63265481,12794890
2018-03-31,GMFI,USD,2018,Q1,115927823,28451328,7357917
2018-06-30,GMFI,USD,2018,Q2,107384455,28323186,12766012
2018-09-30,GMFI,USD,2018,Q3,111387313,25834007,6852847
2018-12-31,GMFI,USD,2018,Q4,135320195,27974560,3568083
2019-03-31,GMFI,USD,2019,Q1,120176126,21270216,3016962
2019-06-30,GMFI,USD,2019,Q2,126092381,25778322,4135872
2019-09-30,GMFI,USD,2019,Q3,123401685,28645765,2256582
2019-12-31,GMFI,USD,2019,Q4,149814293,20862304,-12595409
2020-03-31,GMFI,USD,2020,Q1,107204638,-1056065,-31280389
2020-06-30,GMFI,USD,2020,Q2,52029698,-36717661,-68060341
2020-09-30,GMFI,USD,2020,Q3,32592581,-29274758,-61266371
2020-12-31,GMFI,USD,2020,Q4,62014518,-17963575,-168181957
2021-03-31,GMFI,USD,2021,Q1,62769859,10171444,-8698900
2021-06-30,GMFI,USD,2021,Q2,51554574,-14888127,-18747812
2021-09-30,GMFI,USD,2021,Q3,51048335,23643170,-11497409
2021-12-31,GMFI,USD,2021,Q4,45220547,1113054,-88452269
2022-03-31,GMFI,USD,2022,Q1,49988292,7877165,-8654241
2022-06-30,GMFI,USD,2022,Q2,45814010,-12438969,-2314661
2022-09-30,GMFI,USD,2022,Q3,54697070,21452267,-6830137
2022-12-31,GMFI,USD,2022,Q4,88204521,30690974,21381229
2023-03-31,GMFI,USD,2023,Q1,85822187,20453924,1106679
2023-06-30,GMFI,USD,2023,Q2,81083685,8705990,920332
2023-09-30,GMFI,USD,2023,Q3,83004836,11225737,1504845
2023-12-31,GMFI,USD,2023,Q4,123296276,12290293,16744607
2024-03-31,GMFI,USD,2024,Q1,98580328,18268007,2460533
2024-06-30,GMFI,USD,2024,Q2,117898127,18168189,10840978
2024-09-30,GMFI,USD,2024,Q3,97258131,20916301,2123411
2024-12-31,GMFI,USD,2024,Q4,107486600,14273661,11466194
2025-03-31,GMFI,USD,2025,Q1,95361672,18650689,3796485
2025-06-30,GMFI,USD,2025,Q2,83593640,47181163,4962272
2025-09-30,GMFI,USD,2025,Q3,128175321,30328397,13560523
2025-12-31,GMFI,USD,2025,Q4,184601602,41255612,11620397
2026-03-31,GMFI,USD,2026,Q1,114939368,,6752726
