date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,GMTD,IDR,2012,Q3,53090111213,25054095169,11696378189
2012-12-31,GMTD,IDR,2012,Q4,78045069652,43716774529,21227394254
2013-03-31,GMTD,IDR,2013,Q1,70237854058,36236221275,25582708542
2013-06-30,GMTD,IDR,2013,Q2,73670210224,35193465068,20922548355
2013-09-30,GMTD,IDR,2013,Q3,51041647342,24763214093,10545700467
2013-12-31,GMTD,IDR,2013,Q4,106135743663,52304550240,34977552448
2014-03-31,GMTD,IDR,2014,Q1,84847365954,53590378369,39185575974
2014-06-30,GMTD,IDR,2014,Q2,72186800277,32433759489,24863738174
2014-09-30,GMTD,IDR,2014,Q3,57815932395,33276926168,19708542565
2014-12-31,GMTD,IDR,2014,Q4,86469719573,53267759102,37985097435
2015-03-31,GMTD,IDR,2015,Q1,90250527420,54025339912,43759233516
2015-06-30,GMTD,IDR,2015,Q2,83221930603,50699775666,34719435637
2015-09-30,GMTD,IDR,2015,Q3,53711566459,26601861911,14788810323
2015-12-31,GMTD,IDR,2015,Q4,76158464369,36321681325,25624936437
2016-03-31,GMTD,IDR,2016,Q1,80577443333,38750145183,26879319972
2016-06-30,GMTD,IDR,2016,Q2,82739473343,38507725792,24670177693
2016-09-30,GMTD,IDR,2016,Q3,59132692545,29098009988,19315210328
2016-12-31,GMTD,IDR,2016,Q4,53822717856,27932451613,16049850627
2017-03-31,GMTD,IDR,2017,Q1,60176728659,31891166585,19942491998
2017-06-30,GMTD,IDR,2017,Q2,57579790152,31084905624,18616253480
2017-09-30,GMTD,IDR,2017,Q3,57137935955,27732236176,17985475471
2017-12-31,GMTD,IDR,2017,Q4,52605403368,24597644276,11686038618
2018-03-31,GMTD,IDR,2018,Q1,39343296619,18280925790,5144824291
2018-06-30,GMTD,IDR,2018,Q2,81723105236,36311727294,24015385776
2018-09-30,GMTD,IDR,2018,Q3,62407179990,31255075418,17146984027
2018-12-31,GMTD,IDR,2018,Q4,61564336592,30191519020,15136018484
2019-03-31,GMTD,IDR,2019,Q1,45553332893,20686151082,7976362090
2019-06-30,GMTD,IDR,2019,Q2,48615603518,23183479192,11858234969
2019-09-30,GMTD,IDR,2019,Q3,47758699863,22846646019,-93423188028
2019-12-31,GMTD,IDR,2019,Q4,63588278081,30076277246,3473047868
2020-03-31,GMTD,IDR,2020,Q1,39806307426,20913481241,-2318538959
2020-06-30,GMTD,IDR,2020,Q2,32595408105,17881612733,3528006661
2020-09-30,GMTD,IDR,2020,Q3,59792321044,23332297277,9337041913
2020-12-31,GMTD,IDR,2020,Q4,35389990045,12836499254,-116496556179
2021-03-31,GMTD,IDR,2021,Q1,26376100833,13071440847,-1952570579
2021-06-30,GMTD,IDR,2021,Q2,41642970665,23790844651,-3348507525
2021-09-30,GMTD,IDR,2021,Q3,39399764974,20605456007,-6815799448
2021-12-31,GMTD,IDR,2021,Q4,31388906464,13312438090,-15259490807
2022-03-31,GMTD,IDR,2022,Q1,31782659523,16389825344,-7106788951
2022-06-30,GMTD,IDR,2022,Q2,55043725981,38086213070,13501847352
2022-09-30,GMTD,IDR,2022,Q3,53140663346,28038853692,-205146580
2022-12-31,GMTD,IDR,2022,Q4,175405239176,60235445928,2808337844
2023-03-31,GMTD,IDR,2023,Q1,96461788274,50748493893,26853191303
2023-06-30,GMTD,IDR,2023,Q2,66602055112,34532647687,11094160698
2023-09-30,GMTD,IDR,2023,Q3,120676955145,67505235836,44136627928
2023-12-31,GMTD,IDR,2023,Q4,136252059528,71244135070,46930333640
2024-03-31,GMTD,IDR,2024,Q1,220565495934,138984041085,120084989526
2024-06-30,GMTD,IDR,2024,Q2,43325136309,21158476879,14862624004
2024-09-30,GMTD,IDR,2024,Q3,56505211000,27590381000,-33786331000
2024-12-31,GMTD,IDR,2024,Q4,79231165000,41650733000,35692870000
2025-03-31,GMTD,IDR,2025,Q1,65316367000,34979915000,4617467000
2025-06-30,GMTD,IDR,2025,Q2,71013518000,28983008000,17387924000
2025-09-30,GMTD,IDR,2025,Q3,83128952000,46373764000,14969728000
2025-12-31,GMTD,IDR,2025,Q4,69069000000,37703055000,-4799859000
2026-03-31,GMTD,IDR,2026,Q1,22268541000,10725176000,-14005287000
