date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2023-09-30,GOLF,IDR,2023,Q3,38266390412,24404638642,12308261151
2023-12-31,GOLF,IDR,2023,Q4,75859736735,49610579870,32735742641
2024-03-31,GOLF,IDR,2024,Q1,32973258443,19288265173,6149866185
2024-06-30,GOLF,IDR,2024,Q2,30525912000,16541387000,2624797000
2024-09-30,GOLF,IDR,2024,Q3,35968575000,22748539000,6618734000
2024-12-31,GOLF,IDR,2024,Q4,98526069000,60269475000,52181645000
2025-03-31,GOLF,IDR,2025,Q1,28452148000,14575029000,1322959000
2025-06-30,GOLF,IDR,2025,Q2,41635456000,22943532000,9981072000
2025-09-30,GOLF,IDR,2025,Q3,39535509000,25053642000,7578664000
2025-12-31,GOLF,IDR,2025,Q4,105896441000,64821561000,32926732000
2026-03-31,GOLF,IDR,2026,Q1,28824494305,15355959288,1595464312
2026-06-30,GOLF,IDR,2026,Q2,63803228835,32321503477,11203380649
