date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2014-03-31,GOLL,IDR,2014,Q1,32520068885,9304079643,8384561285
2014-06-30,GOLL,IDR,2014,Q2,22896585326,12083459549,-8439561285
2014-09-30,GOLL,IDR,2014,Q3,47942373119,3295891594,-4853923
2014-12-31,GOLL,IDR,2014,Q4,34257988214,2704600582,9386716235
2015-03-31,GOLL,IDR,2015,Q1,34305267195,6987616823,1470988241
2015-06-30,GOLL,IDR,2015,Q2,33114730568,9964717769,3071127264
2015-09-30,GOLL,IDR,2015,Q3,27969391687,4540835378,-22657021034
2015-12-31,GOLL,IDR,2015,Q4,33314008909,6819587889,4758284573
2016-03-31,GOLL,IDR,2016,Q1,25234805738,2182823288,15301144617
2016-06-30,GOLL,IDR,2016,Q2,31527854311,4005911781,2610632373
2016-09-30,GOLL,IDR,2016,Q3,30144409459,-2240755155,2934723047
2016-12-31,GOLL,IDR,2016,Q4,90332010242,38467421077,-20044768610
2017-03-31,GOLL,IDR,2017,Q1,55511281634,8475924845,-1820559324
2017-06-30,GOLL,IDR,2017,Q2,46256150499,8938784746,166059577
2017-09-30,GOLL,IDR,2017,Q3,64155106126,9843645846,-14683123144
2017-12-31,GOLL,IDR,2017,Q4,48937956772,-511066066,-9963828171
2018-03-31,GOLL,IDR,2018,Q1,31156521755,-5764595655,-21474673821
2018-06-30,GOLL,IDR,2018,Q2,35325170008,-4641385382,-31514961768
2018-09-30,GOLL,IDR,2018,Q3,25535502134,-10427720932,-30103759944
2018-12-31,GOLL,IDR,2018,Q4,6374490393,-23054314245,-17750639405
2019-03-31,GOLL,IDR,2019,Q1,2903604140,-13475363147,-14547960549
2019-06-30,GOLL,IDR,2019,Q2,3230939933,-13782030668,-16109420173
2019-09-30,GOLL,IDR,2019,Q3,5072527759,-14671999775,-17710527582
2019-12-31,GOLL,IDR,2019,Q4,7976620046,-555348883,-4987665950
2020-03-31,GOLL,IDR,2020,Q1,819616390,-777753714,-285192717506
2020-06-30,GOLL,IDR,2020,Q2,637389590,-991441678,-2169035958
2020-09-30,GOLL,IDR,2020,Q3,619429628,-919694599,367409859934
2020-12-31,GOLL,IDR,2020,Q4,1644527071,-2150507246,-384001967324
2021-03-31,GOLL,IDR,2021,Q1,1393189712,-809611065,-2329493193
2021-06-30,GOLL,IDR,2021,Q2,1387681210,-706255079,-1923787223
2021-09-30,GOLL,IDR,2021,Q3,968977200,-784604615,-2072433248
