date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,GSMF,IDR,2012,Q1,271676184000,258933984000,12924111000
2012-06-30,GSMF,IDR,2012,Q2,238440703000,228926283000,10615970000
2012-09-30,GSMF,IDR,2012,Q3,261167638000,253227907000,4999968000
2012-12-31,GSMF,IDR,2012,Q4,343453937000,338632930000,33352427000
2013-03-31,GSMF,IDR,2013,Q1,358337846000,343502289000,17981441000
2013-06-30,GSMF,IDR,2013,Q2,267056785000,255974296000,5365136000
2013-09-30,GSMF,IDR,2013,Q3,225320426000,214624802000,13691756000
2013-12-31,GSMF,IDR,2013,Q4,288122762000,282197285000,36155543000
2014-03-31,GSMF,IDR,2014,Q1,293808939000,283222857000,18033769000
2014-06-30,GSMF,IDR,2014,Q2,277157097000,265907851000,22179883000
2014-09-30,GSMF,IDR,2014,Q3,279705437000,270312430000,18768182000
2014-12-31,GSMF,IDR,2014,Q4,382117604000,375803493000,25516024000
2015-03-31,GSMF,IDR,2015,Q1,332520503000,323716331000,25100009000
2015-06-30,GSMF,IDR,2015,Q2,237420279000,228711353000,10810548000
2015-09-30,GSMF,IDR,2015,Q3,231355427000,220189522000,23341639000
2015-12-31,GSMF,IDR,2015,Q4,348436979000,339345767000,16827511000
2016-03-31,GSMF,IDR,2016,Q1,279438077000,272877895000,10071752000
2016-06-30,GSMF,IDR,2016,Q2,-463963379000,-434150084000,22804813000
2016-09-30,GSMF,IDR,2016,Q3,1060674934000,1022194121000,17816073000
2016-12-31,GSMF,IDR,2016,Q4,368780142000,373282880000,39938472000
2017-03-31,GSMF,IDR,2017,Q1,272634463000,273063079000,15526036000
2017-06-30,GSMF,IDR,2017,Q2,272522051000,264988317000,12079289000
2017-09-30,GSMF,IDR,2017,Q3,268477758000,266837748000,16861937000
2017-12-31,GSMF,IDR,2017,Q4,430330105000,393808129000,29044811000
2018-03-31,GSMF,IDR,2018,Q1,249030331000,238500754000,14730415000
2018-06-30,GSMF,IDR,2018,Q2,251264548000,252115076000,15702859000
2018-09-30,GSMF,IDR,2018,Q3,292330645000,285529693000,11576262000
2018-12-31,GSMF,IDR,2018,Q4,425532047000,397875187000,16716898000
2019-03-31,GSMF,IDR,2019,Q1,319523000000,309881000000,9947000000
2019-06-30,GSMF,IDR,2019,Q2,344820009000,335414619000,13081114000
2019-09-30,GSMF,IDR,2019,Q3,294571531000,283128406000,15793475000
2019-12-31,GSMF,IDR,2019,Q4,391788469000,379585594000,618525000
2020-03-31,GSMF,IDR,2020,Q1,209031000000,199736000000,-14712000000
2020-06-30,GSMF,IDR,2020,Q2,245432000000,238027000000,-10716000000
2020-09-30,GSMF,IDR,2020,Q3,275531000000,265666000000,29471000000
2020-12-31,GSMF,IDR,2020,Q4,418403000000,408639000000,14419000000
2021-03-31,GSMF,IDR,2021,Q1,254376000000,243941000000,4556000000
2021-06-30,GSMF,IDR,2021,Q2,247024000000,237556000000,-9900000000
2021-09-30,GSMF,IDR,2021,Q3,343629000000,334292000000,-13860000000
2021-12-31,GSMF,IDR,2021,Q4,493412000000,483243000000,20808000000
2022-03-31,GSMF,IDR,2022,Q1,311211000000,300931000000,3260000000
2022-06-30,GSMF,IDR,2022,Q2,366267000000,358422000000,-131000000
2022-09-30,GSMF,IDR,2022,Q3,409244000000,401167000000,11096000000
2022-12-31,GSMF,IDR,2022,Q4,562783000000,552629000000,3950000000
2023-03-31,GSMF,IDR,2023,Q1,274158000000,261404000000,-21683000000
2023-06-30,GSMF,IDR,2023,Q2,287583000000,277486000000,3014000000
2023-09-30,GSMF,IDR,2023,Q3,299323000000,283744000000,5409000000
2023-12-31,GSMF,IDR,2023,Q4,320383000000,304061000000,-45879000000
2024-03-31,GSMF,IDR,2024,Q1,310186000000,298552000000,6222000000
2024-06-30,GSMF,IDR,2024,Q2,256600000000,245534000000,-11913000000
2024-09-30,GSMF,IDR,2024,Q3,300504000000,287706000000,29712000000
2024-12-31,GSMF,IDR,2024,Q4,308717000000,293100000000,-1448000000
2025-03-31,GSMF,IDR,2025,Q1,261639000000,254417000000,-6398000000
2025-06-30,GSMF,IDR,2025,Q2,333778000000,323338000000,25325000000
2025-09-30,GSMF,IDR,2025,Q3,337163000000,326513000000,22347000000
2025-12-31,GSMF,IDR,2025,Q4,16753000000,45065000000,12637000000
2026-03-31,GSMF,IDR,2026,Q1,326688000000,82535000000,-353000000
