date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,HITS,USD,2012,Q1,13977254,1184378,-2101594.064028
2012-06-30,HITS,USD,2012,Q2,15869247,2234022,-1751871.554093
2012-09-30,HITS,USD,2012,Q3,15672623,2841964,-710631.969585
2012-12-31,HITS,USD,2012,Q4,6727176,1434480,-162083598.412295
2013-03-31,HITS,USD,2013,Q1,15497522,3523201,807991
2013-06-30,HITS,USD,2013,Q2,16883419,3048888,-279484.371472
2013-09-30,HITS,USD,2013,Q3,12097000,3915333,-562566.816817
2013-12-31,HITS,USD,2013,Q4,16673117,3728526,2727826
2014-03-31,HITS,USD,2014,Q1,17622295,4236530,849316
2014-06-30,HITS,USD,2014,Q2,14107851,2448156,-426034
2014-09-30,HITS,USD,2014,Q3,22215398,4954532,1166771
2014-12-31,HITS,USD,2014,Q4,12661288,4396812,-186113
2015-03-31,HITS,USD,2015,Q1,14067501,3617223,747574
2015-06-30,HITS,USD,2015,Q2,11933301,4229691,1848354
2015-09-30,HITS,USD,2015,Q3,12179194,3685739,241832
2015-12-31,HITS,USD,2015,Q4,13911485,4498582,329633
2016-03-31,HITS,USD,2016,Q1,13778573,3838010,531065
2016-06-30,HITS,USD,2016,Q2,16162646,4876666,622491
2016-09-30,HITS,USD,2016,Q3,12377684,1761390,1981792
2016-12-31,HITS,USD,2016,Q4,18058435,5618355,-513074
2017-03-31,HITS,USD,2017,Q1,18461398,8954507,3922578
2017-06-30,HITS,USD,2017,Q2,16358020,5591542,-929142
2017-09-30,HITS,USD,2017,Q3,16252796,6844084,1864912
2017-12-31,HITS,USD,2017,Q4,16635199,7443581,2146335
2018-03-31,HITS,USD,2018,Q1,18057394,8596649,4543082
2018-06-30,HITS,USD,2018,Q2,18108529,6938701,2993339
2018-09-30,HITS,USD,2018,Q3,23204403,6905687,2699991
2018-12-31,HITS,USD,2018,Q4,22438118,6980268,1805594
2019-03-31,HITS,USD,2019,Q1,22117068,7850042,4122478
2019-06-30,HITS,USD,2019,Q2,20935875,7287612,2323313
2019-09-30,HITS,USD,2019,Q3,20981946,7082923,2135121
2019-12-31,HITS,USD,2019,Q4,22222670,6992284,2219199
2020-03-31,HITS,USD,2020,Q1,21752417,8453467,4573375
2020-06-30,HITS,USD,2020,Q2,21346633,8220595,3613526
2020-09-30,HITS,USD,2020,Q3,20614996,4086499,-1103885
2020-12-31,HITS,USD,2020,Q4,26540869,7951406,-2702869
2021-03-31,HITS,USD,2021,Q1,17885573,1722886,-730979
2021-06-30,HITS,USD,2021,Q2,21075082,5266656,291546
2021-09-30,HITS,USD,2021,Q3,23656319,5477073,-306093
2021-12-31,HITS,USD,2021,Q4,22369964,1080699,-13224549
2022-03-31,HITS,USD,2022,Q1,25739343,8750982,3358580
2022-06-30,HITS,USD,2022,Q2,28343985,8740912,3014848
2022-09-30,HITS,USD,2022,Q3,30383846,6584233,861544
2022-12-31,HITS,USD,2022,Q4,27771651,6866109,2881873
2023-03-31,HITS,USD,2023,Q1,26284905,8261753,4109300
2023-06-30,HITS,USD,2023,Q2,29073707,8908836,7902673
2023-09-30,HITS,USD,2023,Q3,26471404,4913509,239421
2023-12-31,HITS,USD,2023,Q4,30641973,7719069,-5645262
2024-03-31,HITS,USD,2024,Q1,29616443,6000337,2156808
2024-06-30,HITS,USD,2024,Q2,32853156,7918382,2578971
2024-09-30,HITS,USD,2024,Q3,35444076,8449880,3162760
2024-12-31,HITS,USD,2024,Q4,37250530,6429942,-7815898
2025-03-31,HITS,USD,2025,Q1,34434965,8592187,2941477
2025-06-30,HITS,USD,2025,Q2,32697138,7432948,1613821
