date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-12-31,HOME,IDR,2016,Q4,14911065935,4795352306,844793619
2017-03-31,HOME,IDR,2017,Q1,11144163217,1352677646,-3823498431
2017-06-30,HOME,IDR,2017,Q2,19006140324,8814194987,4019823723
2017-09-30,HOME,IDR,2017,Q3,16305015123,4453035677,-177744225
2017-12-31,HOME,IDR,2017,Q4,16645999438,4935720210,109783718
2018-03-31,HOME,IDR,2018,Q1,16174524348,4967764456,48052987
2018-06-30,HOME,IDR,2018,Q2,9692002051,-2338902883,-7346530588
2018-09-30,HOME,IDR,2018,Q3,5431434370,-4106262354,-10580208812
2018-12-31,HOME,IDR,2018,Q4,7231795291,-1393222295,-8294865594
2019-03-31,HOME,IDR,2019,Q1,7370537104,373032627,-3752224861
2019-06-30,HOME,IDR,2019,Q2,6521886618,-1484374848,-7224754739
2019-09-30,HOME,IDR,2019,Q3,6154929787,-2055782229,-13356308515
2019-12-31,HOME,IDR,2019,Q4,4844930998,-10295190260,-22674102962
2020-03-31,HOME,IDR,2020,Q1,4036757495,-2739366987,-5466826906
2020-06-30,HOME,IDR,2020,Q2,3328600883,654701853,-2100074624
2020-09-30,HOME,IDR,2020,Q3,2883162274,155118125,-4713308717
