date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,HRME,IDR,2018,Q1,21615307542,12146378232,-7355781359
2018-06-30,HRME,IDR,2018,Q2,21615307541,12146378232,-7355781359
2018-09-30,HRME,IDR,2018,Q3,-615390483,-4192284328,-4937277594
2018-12-31,HRME,IDR,2018,Q4,18105768896,8788580040,-2711292665
2019-03-31,HRME,IDR,2019,Q1,15952987945,8239588653,-6646255761
2019-06-30,HRME,IDR,2019,Q2,34649709575,20968221176,1127044891
2019-09-30,HRME,IDR,2019,Q3,29982358498,18277765607,1746895911
2019-12-31,HRME,IDR,2019,Q4,29296896102,14393112241,46378191
2020-03-31,HRME,IDR,2020,Q1,20001896101,10634485300,-6381766371
2020-06-30,HRME,IDR,2020,Q2,5525780882,2531130155,-9322888348
2020-09-30,HRME,IDR,2020,Q3,9926751556,5326238697,-8179182527
2020-12-31,HRME,IDR,2020,Q4,11912250841,6167150027,-2755493672
2021-03-31,HRME,IDR,2021,Q1,12870499692,7097573064,-7680721690
2021-06-30,HRME,IDR,2021,Q2,15072101868,8180756180,-7644008467
2021-09-30,HRME,IDR,2021,Q3,13981565500,7839146571,-6104480848
2021-12-31,HRME,IDR,2021,Q4,24471098415,13903510758,-8047449976
2022-03-31,HRME,IDR,2022,Q1,16212875612,8877607165,-8230985908
2022-06-30,HRME,IDR,2022,Q2,18102766845,10137643437,-6612237694
2022-09-30,HRME,IDR,2022,Q3,24639288299,14984526938,-3442291240
2022-12-31,HRME,IDR,2022,Q4,27249310177,16450935389,-4458324421
2023-03-31,HRME,IDR,2023,Q1,25823106197,15613026573,-3928609223
2023-06-30,HRME,IDR,2023,Q2,25363130301,16919442033,-2777266523
2023-09-30,HRME,IDR,2023,Q3,27437345322,17077848275,-2431313077
2023-12-31,HRME,IDR,2023,Q4,31175492000,15430492000,-14603598000
2024-03-31,HRME,IDR,2024,Q1,26225115000,15760060000,-2940506000
2024-06-30,HRME,IDR,2024,Q2,28412709000,14791901000,-75737654000
2024-09-30,HRME,IDR,2024,Q3,31726150000,19924477000,3238634000
2024-12-31,HRME,IDR,2024,Q4,31024423000,19811338000,-28880194000
2025-03-31,HRME,IDR,2025,Q1,26715188000,15748111000,27393000
2025-06-30,HRME,IDR,2025,Q2,23606713000,13964428000,-2576059000
2025-09-30,HRME,IDR,2025,Q3,23831657000,13591458000,-3152911000
2025-12-31,HRME,IDR,2025,Q4,30860566000,4267029000,-355583000
2026-03-31,HRME,IDR,2026,Q1,23906639069,10412759517,572085459
2026-06-30,HRME,IDR,2026,Q2,19986661018,8734810876,-13593301364
