date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-03-31,HRTA,IDR,2016,Q1,510829085097,52218279144,27105478385
2016-06-30,HRTA,IDR,2016,Q2,510829085097,52218279145,27105478385
2016-09-30,HRTA,IDR,2016,Q3,623622483380,47654479451,20381386527
2016-12-31,HRTA,IDR,2016,Q4,548426884525,50697012580,96985609422
2017-03-31,HRTA,IDR,2017,Q1,601201258216,56151866095,29577631960
2017-06-30,HRTA,IDR,2017,Q2,760876326988,65521292169,33888640604
2017-09-30,HRTA,IDR,2017,Q3,497948163763,47873768770,31267462760
2017-12-31,HRTA,IDR,2017,Q4,622733160642,56023194086,15567490247
2018-03-31,HRTA,IDR,2018,Q1,736137154428,68632809302,38030786408
2018-06-30,HRTA,IDR,2018,Q2,798651868580,76558232275,35044324042
2018-09-30,HRTA,IDR,2018,Q3,609024329245,56131868477,28872872359
2018-12-31,HRTA,IDR,2018,Q4,601779944983,56776757160,21453479617
2019-03-31,HRTA,IDR,2019,Q1,779112384140,73103594734,40552183675
2019-06-30,HRTA,IDR,2019,Q2,991866741688,95361263346,45826787980
2019-09-30,HRTA,IDR,2019,Q3,630260530441,66230024505,30720692455
2019-12-31,HRTA,IDR,2019,Q4,834282503544,81099688772,33009919745
2020-03-31,HRTA,IDR,2020,Q1,850238316221,83318853519,36760193506
2020-06-30,HRTA,IDR,2020,Q2,1118669819428,92186730466,42109823168
2020-09-30,HRTA,IDR,2020,Q3,1183385411187,130263119900,55226978637
2020-12-31,HRTA,IDR,2020,Q4,986333266418,115929623959,36668362240
2021-03-31,HRTA,IDR,2021,Q1,1036970129621,110052462076,42488318404
2021-06-30,HRTA,IDR,2021,Q2,1415357230812,129895492205,52237064063
2021-09-30,HRTA,IDR,2021,Q3,1453196251664,142899285139,58066174885
2021-12-31,HRTA,IDR,2021,Q4,1332381814083,189731334389,41184556220
2022-03-31,HRTA,IDR,2022,Q1,1376875020000,153711405966,50679762900
2022-06-30,HRTA,IDR,2022,Q2,1840111030528,212777366019,82559994406
2022-09-30,HRTA,IDR,2022,Q3,1886555702373,209580543788,73034624978
2022-12-31,HRTA,IDR,2022,Q4,1814911807605,166752704100,47246635344
2023-03-31,HRTA,IDR,2023,Q1,2118225197448,205150688969,69837333345
2023-06-30,HRTA,IDR,2023,Q2,4057032530751,298846566243,115696271286
2023-09-30,HRTA,IDR,2023,Q3,3155764689934,238014712598,74251684651
2023-12-31,HRTA,IDR,2023,Q4,3526006306429,197165006700,46019583152
2024-03-31,HRTA,IDR,2024,Q1,4017481710616,258609269631,102697004473
2024-06-30,HRTA,IDR,2024,Q2,4223903090059,254423119164,102931271810
2024-09-30,HRTA,IDR,2024,Q3,5048996145000,273871095000,96290150000
2024-12-31,HRTA,IDR,2024,Q4,4938248044000,298110067000,140262324000
2025-03-31,HRTA,IDR,2025,Q1,6788278060000,343058905000,149749971000
2025-06-30,HRTA,IDR,2025,Q2,8263042111000,403780692000,198759554000
2025-09-30,HRTA,IDR,2025,Q3,10141803829000,441662598000,227246883000
2025-12-31,HRTA,IDR,2025,Q4,19355300150000,723309849000,402736776000
2026-03-31,HRTA,IDR,2026,Q1,20158489321037,744253404208,433493059715
2026-06-30,HRTA,IDR,2026,Q2,13647640361624,504210917157,266520541712
