date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,ICON,IDR,2013,Q1,24285967203,4055296361,123496200
2013-06-30,ICON,IDR,2013,Q2,17471749310,4607196459,-207081635
2013-09-30,ICON,IDR,2013,Q3,17370536239,3560036599,711135608
2013-12-31,ICON,IDR,2013,Q4,23920023398,7032742038,542653928
2014-03-31,ICON,IDR,2014,Q1,32937728499,8665931773,-3009643977
2014-06-30,ICON,IDR,2014,Q2,47738690424,10936728826,3652128662
2014-09-30,ICON,IDR,2014,Q3,49887314682,10473023004,2286596387
2014-12-31,ICON,IDR,2014,Q4,40120874558,-551188477,-1740019260
2015-03-31,ICON,IDR,2015,Q1,55350924789,11894248468,2346132297
2015-06-30,ICON,IDR,2015,Q2,51346552720,10445884507,1084065960
2015-09-30,ICON,IDR,2015,Q3,34158921676,5870329543,1537791772
2015-12-31,ICON,IDR,2015,Q4,31513635111,2209718543,-4720614645
2016-03-31,ICON,IDR,2016,Q1,39125970278,8729418362,-1070769826
2016-06-30,ICON,IDR,2016,Q2,41370599574,12970620565,2213453437
2016-09-30,ICON,IDR,2016,Q3,31832118671,9186933601,1124743494
2016-12-31,ICON,IDR,2016,Q4,68872120621,12048683403,582287377
2017-03-31,ICON,IDR,2017,Q1,40401522607,12137952516,991500039
2017-06-30,ICON,IDR,2017,Q2,11656825738,4892846955,-1993378469
2017-09-30,ICON,IDR,2017,Q3,18628643980,-365024687,-943995996
2017-12-31,ICON,IDR,2017,Q4,71906041320,35252261298,12237927410
2018-03-31,ICON,IDR,2018,Q1,38669401108,7462154642,91442736
2018-06-30,ICON,IDR,2018,Q2,44697568432,10288979010,907016142
2018-09-30,ICON,IDR,2018,Q3,78007251662,38950681669,21976301314
2018-12-31,ICON,IDR,2018,Q4,36988033703,7444519435,-2263209702
2019-03-31,ICON,IDR,2019,Q1,39050550757,10455197750,2303626529
2019-06-30,ICON,IDR,2019,Q2,45793307644,14628050315,4061410993
2019-09-30,ICON,IDR,2019,Q3,68328215397,21751503702,10879318302
2019-12-31,ICON,IDR,2019,Q4,50073759702,19751471097,7529254166
2020-03-31,ICON,IDR,2020,Q1,35107750975,7999198759,2771283058
2020-06-30,ICON,IDR,2020,Q2,29505589362,3287129788,-1372519442
2020-09-30,ICON,IDR,2020,Q3,34136436397,5927048150,773718244
2020-12-31,ICON,IDR,2020,Q4,44943795629,12020668379,-13187188
2021-03-31,ICON,IDR,2021,Q1,41685345537,10048091547,3230971902
2021-06-30,ICON,IDR,2021,Q2,36925792643,7024059938,-23732749
2021-09-30,ICON,IDR,2021,Q3,34744551988,7461759417,965971679
2021-12-31,ICON,IDR,2021,Q4,27301068530,-910431855,-6668747304
2022-03-31,ICON,IDR,2022,Q1,29483326101,1137586840,-199420371
2022-06-30,ICON,IDR,2022,Q2,34399635693,1594776050,40044438
2022-09-30,ICON,IDR,2022,Q3,52636496607,19472204977,132067932
2022-12-31,ICON,IDR,2022,Q4,55415215195,-767689176,-18440117280
2023-03-31,ICON,IDR,2023,Q1,40736364905,14798982761,-1058613775
2023-06-30,ICON,IDR,2023,Q2,42413033072,-9767567771,1338679985
2023-09-30,ICON,IDR,2023,Q3,43746382026,4861448265,2964810234
2023-12-31,ICON,IDR,2023,Q4,54477339000,5659861000,-8174670000
2024-03-31,ICON,IDR,2024,Q1,51020401145,-611125683,-1528948317
2024-06-30,ICON,IDR,2024,Q2,49438633000,3930868000,4979552000
2024-09-30,ICON,IDR,2024,Q3,51759242122,2964697145,-728052487
2024-12-31,ICON,IDR,2024,Q4,52714025000,7081317000,-5372584000
2025-03-31,ICON,IDR,2025,Q1,54321258754,4648110860,-646751046
2025-06-30,ICON,IDR,2025,Q2,55078231760,5263663299,21888771
2025-09-30,ICON,IDR,2025,Q3,60037110000,7874673000,1262039000
2025-12-31,ICON,IDR,2025,Q4,63113446000,7372843000,2672165000
2026-03-31,ICON,IDR,2026,Q1,59036473862,4844144148,-174930444
