date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,IGAR,IDR,2012,Q3,135354635710,10330421526,1291734408
2012-12-31,IGAR,IDR,2012,Q4,137151595617,21628832072,6136568912
2013-03-31,IGAR,IDR,2013,Q1,150669072062,26742533171,8776369266
2013-06-30,IGAR,IDR,2013,Q2,173133476360,28765010615,9552943591
2013-09-30,IGAR,IDR,2013,Q3,156433005823,18596045909,-76343699
2013-12-31,IGAR,IDR,2013,Q4,163167773018,16648070718,1465379498
2014-03-31,IGAR,IDR,2014,Q1,168870991217,24175226775,8446393756
2014-06-30,IGAR,IDR,2014,Q2,198263944347,34630317088,10196643425
2014-09-30,IGAR,IDR,2014,Q3,182027581805,24478732291,7614110769
2014-12-31,IGAR,IDR,2014,Q4,188700710040,27075113617,6336737561
2015-03-31,IGAR,IDR,2015,Q1,185871220922,28718590316,9331220162
2015-06-30,IGAR,IDR,2015,Q2,183455810986,26792460211,7539246570
2015-09-30,IGAR,IDR,2015,Q3,151205860883,20610479439,6525993737
2015-12-31,IGAR,IDR,2015,Q4,156798953252,25115072112,6807820659
2016-03-31,IGAR,IDR,2016,Q1,182131788987,32288244569,11479319426
2016-06-30,IGAR,IDR,2016,Q2,209185239822,42370097121,15522764794
2016-09-30,IGAR,IDR,2016,Q3,214070258241,35590594074,13809222461
2016-12-31,IGAR,IDR,2016,Q4,187407547718,30828269938,5967184681
2017-03-31,IGAR,IDR,2017,Q1,184741358197,35239769273,14442384131
2017-06-30,IGAR,IDR,2017,Q2,187179202743,33233082787,13175031393
2017-09-30,IGAR,IDR,2017,Q3,217736922982,38235138187,16397807074
2017-12-31,IGAR,IDR,2017,Q4,172269468295,22251730789,7998312713
2018-03-31,IGAR,IDR,2018,Q1,198473389121,30342482184,12194624493
2018-06-30,IGAR,IDR,2018,Q2,202123571085,29730545569,10355573344
2018-09-30,IGAR,IDR,2018,Q3,194089634987,23114409467,7091878794
2018-12-31,IGAR,IDR,2018,Q4,182629911608,17940352896,4163926559
2019-03-31,IGAR,IDR,2019,Q1,202044830150,28882290399,11559795589
2019-06-30,IGAR,IDR,2019,Q2,185317691044,29641826559,9554427672
2019-09-30,IGAR,IDR,2019,Q3,223188507960,39089821356,15756859590
2019-12-31,IGAR,IDR,2019,Q4,165990412260,25980741276,6737172699
2020-03-31,IGAR,IDR,2020,Q1,188889378724,26608239908,8308442250
2020-06-30,IGAR,IDR,2020,Q2,212107322173,37023982545,13624979318
2020-09-30,IGAR,IDR,2020,Q3,191618562899,36389135538,13757895632
2020-12-31,IGAR,IDR,2020,Q4,146787032234,28843687365,8430532146
2021-03-31,IGAR,IDR,2021,Q1,205912844847,43027943466,19334640930
2021-06-30,IGAR,IDR,2021,Q2,213837626473,34523575756,13099939880
2021-09-30,IGAR,IDR,2021,Q3,279393471230,51033478963,21367120945
2021-12-31,IGAR,IDR,2021,Q4,270967863932,50113665840,19463122296
2022-03-31,IGAR,IDR,2022,Q1,256234154612,43152505322,26024534551
2022-06-30,IGAR,IDR,2022,Q2,281787414154,45369024863,27421441824
2022-09-30,IGAR,IDR,2022,Q3,303161256859,55759641453,35620559653
2022-12-31,IGAR,IDR,2022,Q4,242489905035,32862406690,13247838273
2023-03-31,IGAR,IDR,2023,Q1,261513571172,41908043062,23246863996
2023-06-30,IGAR,IDR,2023,Q2,196731004882,22964176417,6162389941
2023-09-30,IGAR,IDR,2023,Q3,201190410715,19983291509,6357663400
2023-12-31,IGAR,IDR,2023,Q4,198340087549,29920348208,9787335881
2024-03-31,IGAR,IDR,2024,Q1,208064822465,31528976927,13482948765
2024-06-30,IGAR,IDR,2024,Q2,224738210466,30399908033,13660557074
2024-09-30,IGAR,IDR,2024,Q3,244015638000,34332669000,14140892000
2024-12-31,IGAR,IDR,2024,Q4,192316071000,25630232000,8736764000
2025-03-31,IGAR,IDR,2025,Q1,222135107000,32537534000,13528572000
2025-06-30,IGAR,IDR,2025,Q2,234176480000,37658971000,16315255000
2025-09-30,IGAR,IDR,2025,Q3,251069585000,37463037000,16223300000
2025-12-31,IGAR,IDR,2025,Q4,209936061000,28879554000,13395408000
2026-03-31,IGAR,IDR,2026,Q1,209673230452,29246575495,10508608784
2026-06-30,IGAR,IDR,2026,Q2,288803562264,61055558507,28101726609
