date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-09-30,IIKP,IDR,2011,Q3,3905678000,-2490932953,-5428956022
2011-12-31,IIKP,IDR,2011,Q4,2854582410,-2968741903,-6693242371
2012-03-31,IIKP,IDR,2012,Q1,3618910898,-2650927443,-4252786298
2012-06-30,IIKP,IDR,2012,Q2,5179656089,-2043189253,-3745600767
2012-09-30,IIKP,IDR,2012,Q3,4987005869,-1199103277,-2740722327
2012-12-31,IIKP,IDR,2012,Q4,5349326172,-2166668710,-4448427732
2013-03-31,IIKP,IDR,2013,Q1,6557740876,-980551604,-3295363663
2013-06-30,IIKP,IDR,2013,Q2,5563227771,-710437505,-2882603206
2013-09-30,IIKP,IDR,2013,Q3,6386367986,-485499106,-2737172600
2013-12-31,IIKP,IDR,2013,Q4,6336778862,-9572581105,-9494180258
2014-03-31,IIKP,IDR,2014,Q1,5208792147,-1831937220,-3542521650
2014-06-30,IIKP,IDR,2014,Q2,5330290746,-2419671424,-3840866450
2014-09-30,IIKP,IDR,2014,Q3,6620863011,-1542285387,-3288699471
2014-12-31,IIKP,IDR,2014,Q4,4469389573,-2270185512,-1171095147
2015-03-31,IIKP,IDR,2015,Q1,4237201297,-3070237231,-3824692433
2015-06-30,IIKP,IDR,2015,Q2,4809147409,-1947414585,-3400860066
2015-09-30,IIKP,IDR,2015,Q3,5370663020,-1124811033,-2671891099
2015-12-31,IIKP,IDR,2015,Q4,5536293763,-3758372037,-6239285605
2016-03-31,IIKP,IDR,2016,Q1,3949873783,-2217122656,-2949114893
2016-06-30,IIKP,IDR,2016,Q2,3085283395,-3692209043,-4924306436
2016-09-30,IIKP,IDR,2016,Q3,33913869902,-8741166283,-4365292522
2016-12-31,IIKP,IDR,2016,Q4,43405652646,3102172712,-15176330159
2017-03-31,IIKP,IDR,2017,Q1,44909185656,1823412199,-3203072769
2017-06-30,IIKP,IDR,2017,Q2,35277064636,-664263443,-5549642449
2017-09-30,IIKP,IDR,2017,Q3,17334992053,855452811,-486614482
2017-12-31,IIKP,IDR,2017,Q4,-76108488561,-6687507285,-3763664044
2018-03-31,IIKP,IDR,2018,Q1,4291038454,-1850300561,-2641607220
2018-06-30,IIKP,IDR,2018,Q2,3619254987,-1985714760,-3118370220
2018-09-30,IIKP,IDR,2018,Q3,5945790355,-1014515859,-1897291321
2018-12-31,IIKP,IDR,2018,Q4,3946291547,-3082350388,-7406680074
2019-03-31,IIKP,IDR,2019,Q1,3162442367,-2731071337,-3425789213
2019-06-30,IIKP,IDR,2019,Q2,4288489807,-2169455251,-3363159965
2019-09-30,IIKP,IDR,2019,Q3,6869882564,229222652,95095166150
2019-12-31,IIKP,IDR,2019,Q4,5757542467,-1250623175,-2777623745
2020-03-31,IIKP,IDR,2020,Q1,2874994540,-2903545641,-3451858562
2020-06-30,IIKP,IDR,2020,Q2,4698485997,-1493705489,-2645642660
2020-09-30,IIKP,IDR,2020,Q3,5351111007,-697256358,-1726024504
2020-12-31,IIKP,IDR,2020,Q4,2736879305,-2830359993,-33674861658
2021-03-31,IIKP,IDR,2021,Q1,4144985106,-1362932034,-2541334247
2021-06-30,IIKP,IDR,2021,Q2,4392372282,-1776945555,-2856226519
2021-09-30,IIKP,IDR,2021,Q3,5529798016,-665260689,-2035642665
2021-12-31,IIKP,IDR,2021,Q4,4309276374,-1688645457,-36328480943
2022-03-31,IIKP,IDR,2022,Q1,777868141,-4334218233,-4393925079
2022-06-30,IIKP,IDR,2022,Q2,839989193,-4100064186,-4846271649
2022-09-30,IIKP,IDR,2022,Q3,1403611980,-3450411629,-3353833110
2022-12-31,IIKP,IDR,2022,Q4,3607651662,-2063840612,-35511010692
2023-03-31,IIKP,IDR,2023,Q1,3792930143,-1309750648,-2158358557
2023-06-30,IIKP,IDR,2023,Q2,2570158393,-2522347803,-2851379679
2023-09-30,IIKP,IDR,2023,Q3,2465860991,-2234093273,961818903
2023-12-31,IIKP,IDR,2023,Q4,1855853018,-2377129338,-30689068974
2024-03-31,IIKP,IDR,2024,Q1,709206576,-3047685524,-4373855729
2024-06-30,IIKP,IDR,2024,Q2,1429285244,-2616722923,-4049311095
2024-09-30,IIKP,IDR,2024,Q3,2207210674,-2384542294,-3812290619
2024-12-31,IIKP,IDR,2024,Q4,469419510,-4141774369,-7235142453
2025-03-31,IIKP,IDR,2025,Q1,917902813,-2783818241,-4082363570
2025-06-30,IIKP,IDR,2025,Q2,4066065650,-425760811,-1092379299
2025-09-30,IIKP,IDR,2025,Q3,4735558391,-3137602666,-2753616232
2025-12-31,IIKP,IDR,2025,Q4,40540361,-3303880528,-4918914607
2026-03-31,IIKP,IDR,2026,Q1,25069189,-3143302478,-2788621236
2026-06-30,IIKP,IDR,2026,Q2,25069189,-3179205894,-2910654907
