date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,IMAS,IDR,2011,Q1,3372523125025,415250418239,151958957513
2011-06-30,IMAS,IDR,2011,Q2,3558309782048,426074776418,187957883742
2011-09-30,IMAS,IDR,2011,Q3,3894005747747,479009613325,195382770227
2011-12-31,IMAS,IDR,2011,Q4,4951741631839,668989082617,277667963679
2012-03-31,IMAS,IDR,2012,Q1,4869846526567,571579796933,236651375534
2012-06-30,IMAS,IDR,2012,Q2,4947090247560,613188066962,215064916234
2012-09-30,IMAS,IDR,2012,Q3,4780530562873,568743213317,175999415066
2012-12-31,IMAS,IDR,2012,Q4,5183370721900,698442500232,174014394765
2013-03-31,IMAS,IDR,2013,Q1,4888009786075,572708403278,142464986338
2013-06-30,IMAS,IDR,2013,Q2,5598979745965,675184028190,227590298618
2013-09-30,IMAS,IDR,2013,Q3,5165158704802,709929436038,198420400444
2013-12-31,IMAS,IDR,2013,Q4,4442588158293,532433523618,-36019278493
2014-03-31,IMAS,IDR,2014,Q1,4587601049361,596687485398,75293595378
2014-06-30,IMAS,IDR,2014,Q2,4649777029043,665049368676,-42872194432
2014-09-30,IMAS,IDR,2014,Q3,4943774189218,631931185956,-212569741904
2014-12-31,IMAS,IDR,2014,Q4,5277012905466,736805260312,51956609988
2015-03-31,IMAS,IDR,2015,Q1,5047377452818,653228966426,14445640479
2015-06-30,IMAS,IDR,2015,Q2,4339788831893,713714342982,-84091848285
2015-09-30,IMAS,IDR,2015,Q3,4041116458966,645896086363,-119452309930
2015-12-31,IMAS,IDR,2015,Q4,4671697039538,734802468830,143372132278
2016-03-31,IMAS,IDR,2016,Q1,4186304831032,662233559931,22151152516
2016-06-30,IMAS,IDR,2016,Q2,3814809023598,689342061922,-115292206559
2016-09-30,IMAS,IDR,2016,Q3,3425604202751,624975329292,-132138694837
2016-12-31,IMAS,IDR,2016,Q4,3622814274281,689561258287,-64140168858
2017-03-31,IMAS,IDR,2017,Q1,3745172343947,704709230604,-165748392638
2017-06-30,IMAS,IDR,2017,Q2,3752927245894,789330031396,-174584639258
2017-09-30,IMAS,IDR,2017,Q3,3864264720915,728387890452,-178765931173
2017-12-31,IMAS,IDR,2017,Q4,3997072977498,847131348785,409472221271
2018-03-31,IMAS,IDR,2018,Q1,4225620650576,807824633206,60235582467
2018-06-30,IMAS,IDR,2018,Q2,4070283007860,892263891355,-22947374604
2018-09-30,IMAS,IDR,2018,Q3,4265319878401,845040557109,44337310844
2018-12-31,IMAS,IDR,2018,Q4,4983485985146,882500390179,-58363785705
2019-03-31,IMAS,IDR,2019,Q1,4703843054985,907632657288,630987206239
2019-06-30,IMAS,IDR,2019,Q2,4878029644332,1000839095844,-168312831248
2019-09-30,IMAS,IDR,2019,Q3,5152390653358,919989766032,-134365398921
2019-12-31,IMAS,IDR,2019,Q4,3880866343816,875754005109,-158248634391
2020-03-31,IMAS,IDR,2020,Q1,4461261255768,914360093528,-164497907493
2020-06-30,IMAS,IDR,2020,Q2,2918754779117,751790793006,-182914854472
2020-09-30,IMAS,IDR,2020,Q3,3902055558340,927971003928,-119823563156
2020-12-31,IMAS,IDR,2020,Q4,3948354569448,761907840175,-78656872629
2021-03-31,IMAS,IDR,2021,Q1,4540738483203,940009251123,-61760553605
2021-06-30,IMAS,IDR,2021,Q2,4976149979394,928410120515,91223385047
2021-09-30,IMAS,IDR,2021,Q3,4537911461495,853268778492,-146602001172
2021-12-31,IMAS,IDR,2021,Q4,5120195075908,971697849870,-147638830270
2022-03-31,IMAS,IDR,2022,Q1,6345473000000,1263656000000,123738000000
2022-06-30,IMAS,IDR,2022,Q2,5452761000000,1273595000000,129592000000
2022-09-30,IMAS,IDR,2022,Q3,6909409000000,1354254000000,163660000000
2022-12-31,IMAS,IDR,2022,Q4,6874286000000,1209733000000,107747000000
2023-03-31,IMAS,IDR,2023,Q1,7229421000000,1342564000000,178468000000
2023-06-30,IMAS,IDR,2023,Q2,7018897000000,1479519000000,149800000000
2023-09-30,IMAS,IDR,2023,Q3,7683671000000,1406245000000,56886000000
2023-12-31,IMAS,IDR,2023,Q4,6960325000000,1227813000000,247368000000
2024-03-31,IMAS,IDR,2024,Q1,7284194000000,1317529000000,14667000000
2024-06-30,IMAS,IDR,2024,Q2,7110245000000,1276615000000,24793000000
2024-09-30,IMAS,IDR,2024,Q3,7321951000000,1328199000000,42040000000
2024-12-31,IMAS,IDR,2024,Q4,7601828000000,1513472000000,152238000000
2025-03-31,IMAS,IDR,2025,Q1,7536997000000,1353496000000,5263000000
2025-06-30,IMAS,IDR,2025,Q2,7223508000000,2034349000000,37894000000
2025-09-30,IMAS,IDR,2025,Q3,7960277000000,1449039000000,214440000000
2025-12-31,IMAS,IDR,2025,Q4,7784701000000,1572363000000,-125262000000
2026-03-31,IMAS,IDR,2026,Q1,8505045000000,1642839000000,1584000000
2026-06-30,IMAS,IDR,2026,Q2,8862721000000,1673097000000,9516000000
