date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,IMJS,IDR,2012,Q3,280807627642,280807627642,27375251646
2012-12-31,IMJS,IDR,2012,Q4,280807627642,280807627642,27375251646
2013-03-31,IMJS,IDR,2013,Q1,314051863473,155708958684,29857163642
2013-06-30,IMJS,IDR,2013,Q2,380681952004,163625989609,34963997337
2013-09-30,IMJS,IDR,2013,Q3,376837205032,171547384685,39476999528
2013-12-31,IMJS,IDR,2013,Q4,402398848886,174351773823,31575347108
2014-03-31,IMJS,IDR,2014,Q1,418205821173,180752687210,35901931229
2014-06-30,IMJS,IDR,2014,Q2,424962713960,171427121836,71546393785
2014-09-30,IMJS,IDR,2014,Q3,426077528059,191559928343,28619789626
2014-12-31,IMJS,IDR,2014,Q4,512870779042,201457491830,-11462152649
2015-03-31,IMJS,IDR,2015,Q1,515837384967,195902833595,28922045553
2015-06-30,IMJS,IDR,2015,Q2,541406142596,241065509401,36926871768
2015-09-30,IMJS,IDR,2015,Q3,507332469834,204731429960,13025036595
2015-12-31,IMJS,IDR,2015,Q4,580314336012,271302949791,2193133113
2016-03-31,IMJS,IDR,2016,Q1,658249717397,213832748080,68560800711
2016-06-30,IMJS,IDR,2016,Q2,585193583859,219833322269,18366449194
2016-09-30,IMJS,IDR,2016,Q3,527158942039,240337959665,15375193371
2016-12-31,IMJS,IDR,2016,Q4,690971552402,296329788784,35362401605
2017-03-31,IMJS,IDR,2017,Q1,657678417012,255091298199,38342448777
2017-06-30,IMJS,IDR,2017,Q2,694222660653,310140810255,50071128844
2017-09-30,IMJS,IDR,2017,Q3,635700704585,254105905083,17886879194
2017-12-31,IMJS,IDR,2017,Q4,724337251771,327223238930,87784355384
2018-03-31,IMJS,IDR,2018,Q1,736224914474,299953421361,49792789301
2018-06-30,IMJS,IDR,2018,Q2,858633000735,392482743878,61721513348
2018-09-30,IMJS,IDR,2018,Q3,854412783180,357347102815,27877418950
2018-12-31,IMJS,IDR,2018,Q4,934281136781,413806133901,19184137074
2019-03-31,IMJS,IDR,2019,Q1,938921603253,392405287713,57147546572
2019-06-30,IMJS,IDR,2019,Q2,1016958340027,453669143859,49196858202
2019-09-30,IMJS,IDR,2019,Q3,968304845050,375787097804,-23148881741
2019-12-31,IMJS,IDR,2019,Q4,1041863607933,447114562645,-6641555831
2020-03-31,IMJS,IDR,2020,Q1,1156688083312,461744424137,24037278398
2020-06-30,IMJS,IDR,2020,Q2,980992981830,397016744498,-37156186834
2020-09-30,IMJS,IDR,2020,Q3,1010650521848,407606092361,-32192861212
2020-12-31,IMJS,IDR,2020,Q4,994419201812,317765675818,-15743033051
2021-03-31,IMJS,IDR,2021,Q1,978684349581,330462538812,-22206101661
2021-06-30,IMJS,IDR,2021,Q2,976684022182,310566903708,47692252548
2021-09-30,IMJS,IDR,2021,Q3,993352389964,354103247721,-6687929823
2021-12-31,IMJS,IDR,2021,Q4,1090699766116,407910778434,-24928945051
2022-03-31,IMJS,IDR,2022,Q1,1230514878987,544649370681,76429910768
2022-06-30,IMJS,IDR,2022,Q2,1175412226763,516301640911,39195738328
2022-09-30,IMJS,IDR,2022,Q3,1191972654256,516771616838,-2616883593
2022-12-31,IMJS,IDR,2022,Q4,1227533792901,412434549949,-11329166742
2023-03-31,IMJS,IDR,2023,Q1,1273770367837,516592588544,75983239028
2023-06-30,IMJS,IDR,2023,Q2,1256133313821,545265733412,48648011470
2023-09-30,IMJS,IDR,2023,Q3,1300053524003,522859987690,-25408022633
2023-12-31,IMJS,IDR,2023,Q4,1324411926000,503170446000,234474914000
2024-03-31,IMJS,IDR,2024,Q1,1379798733000,529437133000,50666314000
2024-06-30,IMJS,IDR,2024,Q2,1333474274000,505757983000,55281049000
2024-09-30,IMJS,IDR,2024,Q3,1345718493000,1146107764000,-3799283000
2024-12-31,IMJS,IDR,2024,Q4,1346035500000,525228737000,126328920000
2025-03-31,IMJS,IDR,2025,Q1,1392720000000,532430000000,36245000000
2025-06-30,IMJS,IDR,2025,Q2,1376691000000,527315000000,63214000000
2025-09-30,IMJS,IDR,2025,Q3,1460091000000,576834000000,-568000000
2025-12-31,IMJS,IDR,2025,Q4,1555666000000,531138000000,23964000000
2026-03-31,IMJS,IDR,2026,Q1,1641960000000,618759000000,73523000000
