date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2014-03-31,INCF,IDR,2014,Q1,0,0,-279564343
2014-06-30,INCF,IDR,2014,Q2,0,0,-279564343
2014-09-30,INCF,IDR,2014,Q3,53023673259,10452975674,-1107750078
2014-12-31,INCF,IDR,2014,Q4,53023673259,10452975674,-1107750078
2015-03-31,INCF,IDR,2015,Q1,98047753433,15940897623,662823613
2015-06-30,INCF,IDR,2015,Q2,98047753432,15940897623,662823612
2015-09-30,INCF,IDR,2015,Q3,98585430075,13109870350,15314365
2015-12-31,INCF,IDR,2015,Q4,80384086779,19418940198,3585126282
2016-03-31,INCF,IDR,2016,Q1,79210630994,12575860633,509127678
2016-06-30,INCF,IDR,2016,Q2,86954215184,18180427909,838475201
2016-09-30,INCF,IDR,2016,Q3,125231293345,12621318450,1622812511
2016-12-31,INCF,IDR,2016,Q4,155880902583,22759875403,2873606610
2017-03-31,INCF,IDR,2017,Q1,162351106351,20317473961,7465693567
2017-06-30,INCF,IDR,2017,Q2,143410045401,19431475767,-2239095967
2017-09-30,INCF,IDR,2017,Q3,144228230071,19501365748,512831327
2017-12-31,INCF,IDR,2017,Q4,113874689587,13128876969,-1993092781
2018-03-31,INCF,IDR,2018,Q1,104410766904,6698175816,-7363206168
2018-06-30,INCF,IDR,2018,Q2,112059688489,25278268133,11192352612
2018-09-30,INCF,IDR,2018,Q3,207835902929,14802701200,1578085166
2018-12-31,INCF,IDR,2018,Q4,310787167597,24688995947,-957959072
2019-03-31,INCF,IDR,2019,Q1,148592692917,17089099446,1588895529
2019-06-30,INCF,IDR,2019,Q2,152183764264,19382446832,1594605538
2019-09-30,INCF,IDR,2019,Q3,119466740403,16696606910,791076414
2019-12-31,INCF,IDR,2019,Q4,115476327823,7689265351,-8175068368
2020-03-31,INCF,IDR,2020,Q1,43440073578,6448632436,-8927964754
2020-06-30,INCF,IDR,2020,Q2,111786471045,12178552918,-4332376320
2020-09-30,INCF,IDR,2020,Q3,107662268152,18538931899,5161393171
2020-12-31,INCF,IDR,2020,Q4,25747294554,7783509033,1360228218
2021-03-31,INCF,IDR,2021,Q1,89946608724,13355962309,1623869072
2021-06-30,INCF,IDR,2021,Q2,92925141372,14543651460,103682310
2021-09-30,INCF,IDR,2021,Q3,106032001028,17704852263,3466523857
2021-12-31,INCF,IDR,2021,Q4,74700819616,10136464309,-4460957937
2022-03-31,INCF,IDR,2022,Q1,84415135204,11124606766,294013159
2022-06-30,INCF,IDR,2022,Q2,96400372371,12652993174,52958391
2022-09-30,INCF,IDR,2022,Q3,67316872887,11596364205,804714038
2022-12-31,INCF,IDR,2022,Q4,72349828849,12692448504,-2229374907
2023-03-31,INCF,IDR,2023,Q1,63327023560,11297278279,1454232698
2023-06-30,INCF,IDR,2023,Q2,69784172982,12270786183,1727523017
2023-09-30,INCF,IDR,2023,Q3,31286311023,9130698476,156847165
2023-12-31,INCF,IDR,2023,Q4,37845141000,4363922000,-2545095000
2024-03-31,INCF,IDR,2024,Q1,46051896302,9497502463,910946246
2024-06-30,INCF,IDR,2024,Q2,63327023559,9710143612,647927150
2024-09-30,INCF,IDR,2024,Q3,50661619000,9112201000,1698389000
2024-12-31,INCF,IDR,2024,Q4,23864341000,5498732000,-1954990000
2025-03-31,INCF,IDR,2025,Q1,32236327411,8060804995,658724790
2025-06-30,INCF,IDR,2025,Q2,56022429000,8582758000,1028294000
2025-09-30,INCF,IDR,2025,Q3,18255365574,5878504619,-576124802
