date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-03-31,INDY,USD,2010,Q1,82101419,19006193,32004010
2010-06-30,INDY,USD,2010,Q2,111157431,19647923,19103326
2010-09-30,INDY,USD,2010,Q3,125013851,24772158,35735679
2010-12-31,INDY,USD,2010,Q4,94799026,3752168,-2075283.239831
2011-03-31,INDY,USD,2011,Q1,86380079,14262672,29797587
2011-06-30,INDY,USD,2011,Q2,143753795,27582934,37664598
2011-09-30,INDY,USD,2011,Q3,161846917,37412823,18243073
2011-12-31,INDY,USD,2011,Q4,181310434,44914292,36279137
2012-03-31,INDY,USD,2012,Q1,162204918,39344586,50286093
2012-06-30,INDY,USD,2012,Q2,171820064,47469392,29367629
2012-09-30,INDY,USD,2012,Q3,208635959,55885718,375491
2012-12-31,INDY,USD,2012,Q4,207044844,50543588,-11348677
2013-03-31,INDY,USD,2013,Q1,185360173,42036199,9154833
2013-06-30,INDY,USD,2013,Q2,227891202,47287993,-17092144
2013-09-30,INDY,USD,2013,Q3,220958346,51553227,-7631682
2013-12-31,INDY,USD,2013,Q4,229184471,52220802,-46918123
2014-03-31,INDY,USD,2014,Q1,241443913,48714994,8054611
2014-06-30,INDY,USD,2014,Q2,281643878,47246318,437453
2014-09-30,INDY,USD,2014,Q3,262213384,29755802,-18196996
2014-12-31,INDY,USD,2014,Q4,324207136,33428500,-17815223
2015-03-31,INDY,USD,2015,Q1,314345976,32278835,11624755
2015-06-30,INDY,USD,2015,Q2,303979225,32736518,-19486771
2015-09-30,INDY,USD,2015,Q3,226960817,14653846,-17579481
2015-12-31,INDY,USD,2015,Q4,252010471,8660433,-19146381
2016-03-31,INDY,USD,2016,Q1,195075175,20921975,-4854790
2016-06-30,INDY,USD,2016,Q2,161555440,9428208,-17638641
2016-09-30,INDY,USD,2016,Q3,211078967,26754631,6176620
2016-12-31,INDY,USD,2016,Q4,207523349,32127955,-51277271
2017-03-31,INDY,USD,2017,Q1,222525095,28279036,22066047
2017-06-30,INDY,USD,2017,Q2,230505739,28174354,29157359
2017-09-30,INDY,USD,2017,Q3,241645877,29845161,30135767
2017-12-31,INDY,USD,2017,Q4,404083519,36618286,254057839
2018-03-31,INDY,USD,2018,Q1,809025452,228796206,58367467
2018-06-30,INDY,USD,2018,Q2,638169931,148926908,17949077
2018-09-30,INDY,USD,2018,Q3,733230590,174164994,35851278
2018-12-31,INDY,USD,2018,Q4,782434928,89327208,-32100236
2019-03-31,INDY,USD,2019,Q1,700727547,117645192,11700152
2019-06-30,INDY,USD,2019,Q2,679706232,117716330,965783
2019-09-30,INDY,USD,2019,Q3,699441616,90632427,-21281371
2019-12-31,INDY,USD,2019,Q4,702801025,100707520,-9544716
2020-03-31,INDY,USD,2020,Q1,641504569,104910924,-21023937
2020-06-30,INDY,USD,2020,Q2,487404849,69350984,-891615
2020-09-30,INDY,USD,2020,Q3,409742012,40013445,-30587866
2020-12-31,INDY,USD,2020,Q4,538560915,39603236,-65039010
2021-03-31,INDY,USD,2021,Q1,525166080,106309171,-9361737
2021-06-30,INDY,USD,2021,Q2,705681668,173033332,21367948
2021-09-30,INDY,USD,2021,Q3,867755026,268273881,-17958512
2021-12-31,INDY,USD,2021,Q4,913553269,355872033,63671805
2022-03-31,INDY,USD,2022,Q1,830790127,260769082,75041581
2022-06-30,INDY,USD,2022,Q2,1108197038,408098009,125609430
2022-09-30,INDY,USD,2022,Q3,1194424121,417413689,137747052
2022-12-31,INDY,USD,2022,Q4,1201499439,364531275,114278495
2023-03-31,INDY,USD,2023,Q1,906834117,199091498,58925374
2023-06-30,INDY,USD,2023,Q2,766384301,150844629,30882226
2023-09-30,INDY,USD,2023,Q3,625510124,89838661,4032029
2023-12-31,INDY,USD,2023,Q4,728110648,112201197,25844171
2024-03-31,INDY,USD,2024,Q1,567322754,93556409,20114167
2024-06-30,INDY,USD,2024,Q2,629404173,105952765,896607
2024-09-30,INDY,USD,2024,Q3,587440700,69884180,13397791
2024-12-31,INDY,USD,2024,Q4,662512123,63299624,-24324769
2025-03-31,INDY,USD,2025,Q1,489598963,63721689,2899206
2025-06-30,INDY,USD,2025,Q2,467218638,68998391,-654927
2025-09-30,INDY,USD,2025,Q3,477748000,57805000,-1734462
2025-12-31,INDY,USD,2025,Q4,587460025,71390733,5543550
2026-03-31,INDY,USD,2026,Q1,489391939,71673287,6969573
