date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2009-12-31,INKP,USD,2009,Q4,535164364,88381478,8980542
2010-12-31,INKP,USD,2010,Q4,681302247,92577144,-36865269
2011-03-31,INKP,USD,2011,Q1,644091000,91880000,-11783000
2011-06-30,INKP,USD,2011,Q2,693941000,111829000,-2966000
2011-09-30,INKP,USD,2011,Q3,628658000,86162000,1109000
2011-12-31,INKP,USD,2011,Q4,593252000,37972000,29696000
2012-03-31,INKP,USD,2012,Q1,616758000,58839000,5250000
2012-06-30,INKP,USD,2012,Q2,671362000,92700000,10696000
2012-09-30,INKP,USD,2012,Q3,634417000,100801000,5811000
2012-12-31,INKP,USD,2012,Q4,595554000,75430000,27851000
2013-03-31,INKP,USD,2013,Q1,669978000,107787000,47450000
2013-06-30,INKP,USD,2013,Q2,698362000,132972000,38548000
2013-09-30,INKP,USD,2013,Q3,627447000,103666000,58816000
2013-12-31,INKP,USD,2013,Q4,655686000,106185000,76253000
2014-03-31,INKP,USD,2014,Q1,637524000,111427000,22521000
2014-06-30,INKP,USD,2014,Q2,630560000,99435000,27853000
2014-09-30,INKP,USD,2014,Q3,643797000,108959000,37443000
2014-12-31,INKP,USD,2014,Q4,723156000,133964000,38326000
2015-03-31,INKP,USD,2015,Q1,704135000,143248000,61539000
2015-06-30,INKP,USD,2015,Q2,703185000,146211000,40130000
2015-09-30,INKP,USD,2015,Q3,690854000,151396000,79373000
2015-12-31,INKP,USD,2015,Q4,736104000,169133000,41738000
2016-03-31,INKP,USD,2016,Q1,678196000,152756000,26725000
2016-06-30,INKP,USD,2016,Q2,705162000,152827000,18844000
2016-09-30,INKP,USD,2016,Q3,644502000,126640000,51505000
2016-12-31,INKP,USD,2016,Q4,692613000,149043000,105631000
2017-03-31,INKP,USD,2017,Q1,745975000,195624000,85844000
2017-06-30,INKP,USD,2017,Q2,710020000,193762000,85225000
2017-09-30,INKP,USD,2017,Q3,805475000,232794000,116366000
2017-12-31,INKP,USD,2017,Q4,866458000,281349000,125774000
2018-03-31,INKP,USD,2018,Q1,843715000,302703000,155140000
2018-06-30,INKP,USD,2018,Q2,817088000,314483000,185362000
2018-09-30,INKP,USD,2018,Q3,846703000,302816000,175669000
2018-12-31,INKP,USD,2018,Q4,827935000,283728000,71956000
2019-03-31,INKP,USD,2019,Q1,776047000,217555000,73093000
2019-06-30,INKP,USD,2019,Q2,798609000,206669000,73724000
2019-09-30,INKP,USD,2019,Q3,892213000,242579000,91233000
2019-12-31,INKP,USD,2019,Q4,756284000,209500000,36320000
2020-03-31,INKP,USD,2020,Q1,780471000,246637000,179308000
2020-06-30,INKP,USD,2020,Q2,703628000,218253000,23918000
2020-09-30,INKP,USD,2020,Q3,707770000,185279000,84231000
2020-12-31,INKP,USD,2020,Q4,794164000,212538000,6596000
2021-03-31,INKP,USD,2021,Q1,801279000,247837000,139273000
2021-06-30,INKP,USD,2021,Q2,825952000,300766000,143627000
2021-09-30,INKP,USD,2021,Q3,879595000,308774000,107952000
2021-12-31,INKP,USD,2021,Q4,1009760000,371019000,136227000
2022-03-31,INKP,USD,2022,Q1,995718000,364919000,176458000
2022-06-30,INKP,USD,2022,Q2,945335000,382998000,218811000
2022-09-30,INKP,USD,2022,Q3,1057050000,465448000,251918000
2022-12-31,INKP,USD,2022,Q4,1004529000,376574000,210326000
2023-03-31,INKP,USD,2023,Q1,1056222000,400293000,133241000
2023-06-30,INKP,USD,2023,Q2,874757000,285391000,135288000
2023-09-30,INKP,USD,2023,Q3,756082000,200752000,52351000
2023-12-31,INKP,USD,2023,Q4,791957000,245608000,90582000
2024-03-31,INKP,USD,2024,Q1,805226000,268818000,130788000
2024-06-30,INKP,USD,2024,Q2,797611000,269635000,147974000
2024-09-30,INKP,USD,2024,Q3,817786000,263564000,-52656000
2024-12-31,INKP,USD,2024,Q4,775108000,216596000,198202000
2025-03-31,INKP,USD,2025,Q1,782718000,233732000,140120000
2025-06-30,INKP,USD,2025,Q2,780960000,241053000,23592000
2025-09-30,INKP,USD,2025,Q3,785483032,264676000,162209000
2025-12-31,INKP,USD,2025,Q4,807556366,280567172,127323156
2026-03-31,INKP,USD,2026,Q1,809961823,277955664,154902375
