date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,INOV,IDR,2018,Q1,92735369000,23224592500,1323365000
2018-06-30,INOV,IDR,2018,Q2,92735369000,23224592500,1323365000
2018-09-30,INOV,IDR,2018,Q3,111752077000,32013532000,2008924000
2018-12-31,INOV,IDR,2018,Q4,98409785000,28534998000,11385493000
2019-03-31,INOV,IDR,2019,Q1,110069459000,25112664000,10956910000
2019-06-30,INOV,IDR,2019,Q2,126854516000,21718125000,5767394000
2019-09-30,INOV,IDR,2019,Q3,142809656000,26222513000,7678930000
2019-12-31,INOV,IDR,2019,Q4,114951340000,18982731000,-1868795000
2020-03-31,INOV,IDR,2020,Q1,133638599000,18951479000,-31196942000
2020-06-30,INOV,IDR,2020,Q2,101562273000,16639549000,23051698000
2020-09-30,INOV,IDR,2020,Q3,143159942000,26337377000,-8582045000
2020-12-31,INOV,IDR,2020,Q4,140291239000,28825236000,7492763000
2021-03-31,INOV,IDR,2021,Q1,151195697000,29619799000,-177057000
2021-06-30,INOV,IDR,2021,Q2,154207759000,31901677000,8078852000
2021-09-30,INOV,IDR,2021,Q3,159238966000,33391152000,17787829000
2021-12-31,INOV,IDR,2021,Q4,168657783000,31314926000,1633179000
2022-03-31,INOV,IDR,2022,Q1,184750066000,33235544000,6087345000
2022-06-30,INOV,IDR,2022,Q2,164330241000,30500709000,-12742454000
2022-09-30,INOV,IDR,2022,Q3,184911891000,35968638000,-2138632000
2022-12-31,INOV,IDR,2022,Q4,157540170000,25774436000,-27598405000
2023-03-31,INOV,IDR,2023,Q1,145197283000,27325840000,14952807000
2023-06-30,INOV,IDR,2023,Q2,157401247000,22037781000,-8086553000
2023-09-30,INOV,IDR,2023,Q3,161810057000,31191978000,-22082728000
2023-12-31,INOV,IDR,2023,Q4,135801759000,20509273000,-12340238000
2024-03-31,INOV,IDR,2024,Q1,151635319000,22072724000,-18160978000
2024-06-30,INOV,IDR,2024,Q2,154974557000,27089449000,-11943300000
2024-09-30,INOV,IDR,2024,Q3,168922162000,22643288000,42154495000
2024-12-31,INOV,IDR,2024,Q4,153490973000,21997642000,36280480000
2025-03-31,INOV,IDR,2025,Q1,129744391000,12875540000,-18137509000
2025-06-30,INOV,IDR,2025,Q2,155461139000,13134333000,-743436000
2025-09-30,INOV,IDR,2025,Q3,239788508000,104910687000,51985339000
2025-12-31,INOV,IDR,2025,Q4,157501795000,7137318000,-23591526000
2026-03-31,INOV,IDR,2026,Q1,177053727000,39470793000,18773664000
