date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,INPC,IDR,2012,Q1,465299000000,187089000000,24466000000
2012-06-30,INPC,IDR,2012,Q2,503082000000,215925000000,45766000000
2012-09-30,INPC,IDR,2012,Q3,487337000000,242568000000,36087000000
2012-12-31,INPC,IDR,2012,Q4,481386000000,258329000000,27030000000
2013-03-31,INPC,IDR,2013,Q1,491480000000,277414000000,75735000000
2013-06-30,INPC,IDR,2013,Q2,495262000000,276526000000,74479000000
2013-09-30,INPC,IDR,2013,Q3,501370000000,263640000000,52908000000
2013-12-31,INPC,IDR,2013,Q4,536760000000,265188000000,22815000000
2014-03-31,INPC,IDR,2014,Q1,523145000000,229194000000,48432000000
2014-06-30,INPC,IDR,2014,Q2,565190000000,274131000000,56859000000
2014-09-30,INPC,IDR,2014,Q3,627170000000,282745000000,28758000000
2014-12-31,INPC,IDR,2014,Q4,622990000000,257780000000,-23464000000
2015-03-31,INPC,IDR,2015,Q1,620350000000,274059000000,48337000000
2015-06-30,INPC,IDR,2015,Q2,643563000000,280089000000,4006000000
2015-09-30,INPC,IDR,2015,Q3,650002000000,289867000000,33928000000
2015-12-31,INPC,IDR,2015,Q4,564066000000,222245000000,-14977000000
2016-03-31,INPC,IDR,2016,Q1,614506000000,280015000000,32281000000
2016-06-30,INPC,IDR,2016,Q2,668854000000,337620000000,32593000000
2016-09-30,INPC,IDR,2016,Q3,524025000000,211796000000,9160000000
2016-12-31,INPC,IDR,2016,Q4,566197000000,281480000000,-1191000000
2017-03-31,INPC,IDR,2017,Q1,589699000000,297880000000,33473000000
2017-06-30,INPC,IDR,2017,Q2,623911000000,308275000000,36390000000
2017-09-30,INPC,IDR,2017,Q3,642289000000,324607000000,7800000000
2017-12-31,INPC,IDR,2017,Q4,632013000000,342744000000,-9562000000
2018-03-31,INPC,IDR,2018,Q1,536213000000,267509000000,20278000000
2018-06-30,INPC,IDR,2018,Q2,584944000000,312921000000,15198000000
2018-09-30,INPC,IDR,2018,Q3,581718000000,314475000000,10619000000
2018-12-31,INPC,IDR,2018,Q4,634703000000,375536000000,7526000000
2019-03-31,INPC,IDR,2019,Q1,527630000000,254869000000,12852000000
2019-06-30,INPC,IDR,2019,Q2,530652000000,254406000000,12368000000
2019-09-30,INPC,IDR,2019,Q3,513309000000,253515000000,2898000000
2019-12-31,INPC,IDR,2019,Q4,510115000000,269315000000,-86463000000
2020-03-31,INPC,IDR,2020,Q1,467725000000,228211000000,11036000000
2020-06-30,INPC,IDR,2020,Q2,424817000000,193508000000,7764000000
2020-09-30,INPC,IDR,2020,Q3,442798000000,166954000000,5473000000
2020-12-31,INPC,IDR,2020,Q4,467238000000,157664000000,-2901000000
2021-03-31,INPC,IDR,2021,Q1,445627000000,178375000000,6379000000
2021-06-30,INPC,IDR,2021,Q2,421326000000,229478000000,14461000000
2021-09-30,INPC,IDR,2021,Q3,560954000000,400663000000,4735000000
2021-12-31,INPC,IDR,2021,Q4,410459000000,263585000000,-193638000000
2022-03-31,INPC,IDR,2022,Q1,365046000000,229253000000,22353000000
2022-06-30,INPC,IDR,2022,Q2,382513000000,253199000000,17490000000
2022-09-30,INPC,IDR,2022,Q3,419176000000,305057000000,40979000000
2022-12-31,INPC,IDR,2022,Q4,440027000000,327909000000,-25825000000
2023-03-31,INPC,IDR,2023,Q1,377643000000,260555000000,33680000000
2023-06-30,INPC,IDR,2023,Q2,441031000000,325687000000,53890000000
2023-09-30,INPC,IDR,2023,Q3,548275000000,419888000000,38215000000
2023-12-31,INPC,IDR,2023,Q4,426983000000,285028000000,20968000000
2024-03-31,INPC,IDR,2024,Q1,450598000000,286973000000,36809000000
2024-06-30,INPC,IDR,2024,Q2,512070000000,336540000000,33701000000
2024-09-30,INPC,IDR,2024,Q3,499077000000,310001000000,56496000000
2024-12-31,INPC,IDR,2024,Q4,534070000000,326306000000,25468000000
2025-03-31,INPC,IDR,2025,Q1,515205000000,279204000000,18658000000
2025-06-30,INPC,IDR,2025,Q2,576318000000,333769000000,31931000000
2025-09-30,INPC,IDR,2025,Q3,591306000000,334125000000,5084000000
2025-12-31,INPC,IDR,2025,Q4,557017000000,415573000000,-623193000000
2026-03-31,INPC,IDR,2026,Q1,500166000000,307835000000,58593000000
