date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,INTD,IDR,2012,Q3,24060931262,3551923301,749221526
2012-12-31,INTD,IDR,2012,Q4,28570518591,10897623116,-1195533969
2013-03-31,INTD,IDR,2013,Q1,24465754340,3189007671,666294510
2013-06-30,INTD,IDR,2013,Q2,25790682078,7147444870,1531216450
2013-09-30,INTD,IDR,2013,Q3,25265505170,4676040919,479067156
2013-12-31,INTD,IDR,2013,Q4,30522744167,4362421921,1623821882
2014-03-31,INTD,IDR,2014,Q1,22846174866,1997691547,453681351
2014-06-30,INTD,IDR,2014,Q2,22197826004,5146682423,833587501
2014-09-30,INTD,IDR,2014,Q3,20759008390,3364034647,752747926
2014-12-31,INTD,IDR,2014,Q4,28014208695,2164466063,1518496091
2015-03-31,INTD,IDR,2015,Q1,17872258530,3041888427,295706349
2015-06-30,INTD,IDR,2015,Q2,23249877291,5215702441,878580684
2015-09-30,INTD,IDR,2015,Q3,18855575810,4551633231,405906942
2015-12-31,INTD,IDR,2015,Q4,25884606901,5778160846,938363872
2016-03-31,INTD,IDR,2016,Q1,18772275135,3695459525,314325682
2016-06-30,INTD,IDR,2016,Q2,19017218953,4119166770,100302988
2016-09-30,INTD,IDR,2016,Q3,16728227793,3433076889,31756793
2016-12-31,INTD,IDR,2016,Q4,19420818347,7641478083,779949294
2017-03-31,INTD,IDR,2017,Q1,7688554173,2860156099,-457092333
2017-06-30,INTD,IDR,2017,Q2,15076836514,5186769157,738188057
2017-09-30,INTD,IDR,2017,Q3,15152725308,5095664163,1378421908
2017-12-31,INTD,IDR,2017,Q4,15296973946,5086745242,21070614
2018-03-31,INTD,IDR,2018,Q1,15533643812,4019830120,434091844
2018-06-30,INTD,IDR,2018,Q2,20777273156,4821192224,1600947941
2018-09-30,INTD,IDR,2018,Q3,23586056540,4999957340,1746383969
2018-12-31,INTD,IDR,2018,Q4,22537768146,2512767203,-2051788767
2019-03-31,INTD,IDR,2019,Q1,17409234989,2558467972,-939059355
2019-06-30,INTD,IDR,2019,Q2,21970159302,4080156897,435077242
2019-09-30,INTD,IDR,2019,Q3,25070142806,5049301393,1697777342
2019-12-31,INTD,IDR,2019,Q4,20489366465,3818686264,-454072491
2020-03-31,INTD,IDR,2020,Q1,17055109397,3057742944,355657840
2020-06-30,INTD,IDR,2020,Q2,6781612011,1417160628,-2274328521
2020-09-30,INTD,IDR,2020,Q3,11098923962,1878349235,-1530706913
2020-12-31,INTD,IDR,2020,Q4,16486148630,2994307718,-2133821837
2021-03-31,INTD,IDR,2021,Q1,14651248387,3336852632,758578521
2021-06-30,INTD,IDR,2021,Q2,15985458748,3323609650,147981242
2021-09-30,INTD,IDR,2021,Q3,11170997648,2091028505,160810964
2021-12-31,INTD,IDR,2021,Q4,17466173664,3788372022,1933650767
2022-03-31,INTD,IDR,2022,Q1,12308601974,2970663245,688671277
2022-06-30,INTD,IDR,2022,Q2,9148563329,2361092295,-1343224441
2022-09-30,INTD,IDR,2022,Q3,10668065110,2712625938,1380443974
2022-12-31,INTD,IDR,2022,Q4,11079970360,2902450225,276160855
2023-03-31,INTD,IDR,2023,Q1,15319485209,3668477055,1361754089
2023-06-30,INTD,IDR,2023,Q2,9568607787,1953474788,-1286848080
2023-09-30,INTD,IDR,2023,Q3,9989149433,2139650152,323879192
2023-12-31,INTD,IDR,2023,Q4,8949270175,1562932698,-984810776
2024-03-31,INTD,IDR,2024,Q1,10421376951,1705388353,-801805624
2024-06-30,INTD,IDR,2024,Q2,6206752211,1374411159,-306826182
2024-09-30,INTD,IDR,2024,Q3,8189823858,1445090341,-755970073
2024-12-31,INTD,IDR,2024,Q4,6448425987,1427366840,165019460
2025-03-31,INTD,IDR,2025,Q1,9094151869,1891066015,-775794763
2025-06-30,INTD,IDR,2025,Q2,9690669995,1404050130,-1330835061
2025-09-30,INTD,IDR,2025,Q3,7137248367,1134156695,74539398
2025-12-31,INTD,IDR,2025,Q4,10309371505,1119559878,-410590490
2026-03-31,INTD,IDR,2026,Q1,8683981297,1240807757,-1116344493
