date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-03-31,IPCM,IDR,2016,Q1,200685291500,53241611500,26307142000
2016-06-30,IPCM,IDR,2016,Q2,200685291500,53241611500,26307142000
2016-09-30,IPCM,IDR,2016,Q3,213118053000,59324827500,32224910500
2016-12-31,IPCM,IDR,2016,Q4,213118053000,59324827500,32224910500
2017-03-31,IPCM,IDR,2017,Q1,155954658000,56521961000,30843521000
2017-06-30,IPCM,IDR,2017,Q2,209499404000,44244057000,20051295000
2017-09-30,IPCM,IDR,2017,Q3,175462551000,82924957000,25271765000
2017-12-31,IPCM,IDR,2017,Q4,205736744000,63715649000,44250466000
2018-03-31,IPCM,IDR,2018,Q1,164634493000,58808724000,34342312000
2018-06-30,IPCM,IDR,2018,Q2,196486137000,60327694000,27049864000
2018-09-30,IPCM,IDR,2018,Q3,184689266000,70682869000,29606859000
2018-12-31,IPCM,IDR,2018,Q4,181241497000,37459948000,-18191809000
2019-03-31,IPCM,IDR,2019,Q1,154034315000,57082122000,32485807000
2019-06-30,IPCM,IDR,2019,Q2,173029923000,45866189000,17375724000
2019-09-30,IPCM,IDR,2019,Q3,164625154000,39265477000,18960922000
2019-12-31,IPCM,IDR,2019,Q4,189987177000,62492880000,21224821000
2020-03-31,IPCM,IDR,2020,Q1,184101997000,65752359000,32349660000
2020-06-30,IPCM,IDR,2020,Q2,154154490000,43753755000,21768671000
2020-09-30,IPCM,IDR,2020,Q3,171895227000,54372608000,15624209000
2020-12-31,IPCM,IDR,2020,Q4,186408813000,62194972000,10491635000
2021-03-31,IPCM,IDR,2021,Q1,184510150000,65474193000,33010419000
2021-06-30,IPCM,IDR,2021,Q2,208531491000,57240202000,27456211000
2021-09-30,IPCM,IDR,2021,Q3,207045846000,81888153000,30078774000
2021-12-31,IPCM,IDR,2021,Q4,220073508000,43212967000,46037316000
2022-03-31,IPCM,IDR,2022,Q1,213063213000,79800588000,37702580000
2022-06-30,IPCM,IDR,2022,Q2,215135874000,40784208000,27001048000
2022-09-30,IPCM,IDR,2022,Q3,242853090000,69782716000,36967017000
2022-12-31,IPCM,IDR,2022,Q4,309116298000,112179274000,48984204000
2023-03-31,IPCM,IDR,2023,Q1,291565401000,82648071000,47147029000
2023-06-30,IPCM,IDR,2023,Q2,275992011000,59873866000,36785319000
2023-09-30,IPCM,IDR,2023,Q3,290554234000,76502017000,35847651000
2023-12-31,IPCM,IDR,2023,Q4,280425829000,120751554000,37881989000
2024-03-31,IPCM,IDR,2024,Q1,293369949000,75540382000,38514736000
2024-06-30,IPCM,IDR,2024,Q2,305382066000,61694711000,39755980000
2024-09-30,IPCM,IDR,2024,Q3,347868693000,87402492000,42831249000
2024-12-31,IPCM,IDR,2024,Q4,398409549000,193499761000,45740918000
2025-03-31,IPCM,IDR,2025,Q1,355409737000,95684172000,44235733000
2025-06-30,IPCM,IDR,2025,Q2,358592912000,64591662000,45789084000
2025-09-30,IPCM,IDR,2025,Q3,379365919000,108791135000,50647342000
2025-12-31,IPCM,IDR,2025,Q4,381439006000,147781915000,55765733000
2026-03-31,IPCM,IDR,2026,Q1,347222264000,95102545000,45573881000
