date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-09-30,IPOL,USD,2010,Q3,0,0,0
2010-12-31,IPOL,USD,2010,Q4,0,0,0
2011-03-31,IPOL,USD,2011,Q1,47190606,9922279,3467648
2011-06-30,IPOL,USD,2011,Q2,48483737,9480331,3713527
2011-09-30,IPOL,USD,2011,Q3,50150150,7562885,-131254.501155
2011-12-31,IPOL,USD,2011,Q4,54914390,7290190,-1224555.59355
2012-03-31,IPOL,USD,2012,Q1,54806712,8620428,1109328
2012-06-30,IPOL,USD,2012,Q2,55858360,11032201,1076479
2012-09-30,IPOL,USD,2012,Q3,53419886,8620891,548329
2012-12-31,IPOL,USD,2012,Q4,63188136,10267787,4507570
2013-03-31,IPOL,USD,2013,Q1,57208978,9203013,1562219
2013-06-30,IPOL,USD,2013,Q2,59572105,10921956,1731010
2013-09-30,IPOL,USD,2013,Q3,57938848,10592572,3692201
2013-12-31,IPOL,USD,2013,Q4,58763287,9720594,2115256
2014-03-31,IPOL,USD,2014,Q1,56327085,8736219,796149
2014-06-30,IPOL,USD,2014,Q2,57279556,10288291,1227904
2014-09-30,IPOL,USD,2014,Q3,58144563,10336100,2161249
2014-12-31,IPOL,USD,2014,Q4,57936902,7784466,-472674
2015-03-31,IPOL,USD,2015,Q1,49379893,8606629,235026
2015-06-30,IPOL,USD,2015,Q2,50941934,9855427,815150
2015-09-30,IPOL,USD,2015,Q3,48834537,8560104,107317
2015-12-31,IPOL,USD,2015,Q4,51386031,10680074,1131255
2016-03-31,IPOL,USD,2016,Q1,46506898,10049580,1060582
2016-06-30,IPOL,USD,2016,Q2,47354587,10995451,1249499
2016-09-30,IPOL,USD,2016,Q3,50992114,12027616,2838058
2016-12-31,IPOL,USD,2016,Q4,50773158,10640828,873657
2017-03-31,IPOL,USD,2017,Q1,47985773,8896713,518906
2017-06-30,IPOL,USD,2017,Q2,46277872,9485195,591385
2017-09-30,IPOL,USD,2017,Q3,52074211,9715465,370042
2017-12-31,IPOL,USD,2017,Q4,52597126,10002689,623734
2018-03-31,IPOL,USD,2018,Q1,50299239,9621145,1022360
2018-06-30,IPOL,USD,2018,Q2,48957416,10413650,1028019
2018-09-30,IPOL,USD,2018,Q3,55669370,9223739,753811
2018-12-31,IPOL,USD,2018,Q4,56646872,11904047,2050201
2019-03-31,IPOL,USD,2019,Q1,51623821,9904745,1116712
2019-06-30,IPOL,USD,2019,Q2,47515837,9650886,1088798
2019-09-30,IPOL,USD,2019,Q3,52315842,9715727,839537
2019-12-31,IPOL,USD,2019,Q4,51802118,11205385,1177541
2020-03-31,IPOL,USD,2020,Q1,48600156,10191944,1011624
2020-06-30,IPOL,USD,2020,Q2,47040530,9956266,1298450
2020-09-30,IPOL,USD,2020,Q3,49060131,10815306,1817276
2020-12-31,IPOL,USD,2020,Q4,53187189,13117684,3757981
2021-03-31,IPOL,USD,2021,Q1,56440461,12787412,2125003
2021-06-30,IPOL,USD,2021,Q2,59000130,13233083,2540479
2021-09-30,IPOL,USD,2021,Q3,59945227,12371653,1986647
2021-12-31,IPOL,USD,2021,Q4,64021500,13754092,2178242
2022-03-31,IPOL,USD,2022,Q1,60326803,13798126,2152828
2022-06-30,IPOL,USD,2022,Q2,58482832,12207316,721980
2022-09-30,IPOL,USD,2022,Q3,56280144,10153062,1175352
2022-12-31,IPOL,USD,2022,Q4,52611799,6605894,-772372
2023-03-31,IPOL,USD,2023,Q1,47842448,8057346,110783
2023-06-30,IPOL,USD,2023,Q2,45591771,7992856,-23365
2023-09-30,IPOL,USD,2023,Q3,48519184,10430804,12657
2023-12-31,IPOL,USD,2023,Q4,51909419,7996997,185535
2024-03-31,IPOL,USD,2024,Q1,50960221,8962731,150119
2024-06-30,IPOL,USD,2024,Q2,49945702,8334359,200718
2024-09-30,IPOL,USD,2024,Q3,55147026,11026531,249886
2024-12-31,IPOL,USD,2024,Q4,55873248,11000217,458654
2025-03-31,IPOL,USD,2025,Q1,53544888,10321050,350493
2025-06-30,IPOL,USD,2025,Q2,63469156,11258204,169384
2025-09-30,IPOL,USD,2025,Q3,61826476,9859637,46375
2025-12-31,IPOL,USD,2025,Q4,62693266,11253807,485680
2026-03-31,IPOL,USD,2026,Q1,61998216,9314464,363415
