date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-03-31,IPPE,IDR,2020,Q1,3114012000,726849000,300751000
2021-03-31,IPPE,IDR,2021,Q1,6504582000,1565153000,515219000
2021-06-30,IPPE,IDR,2021,Q2,7022579000,1810323000,689471000
2021-09-30,IPPE,IDR,2021,Q3,6753698000,1447201000,776763000
2021-12-31,IPPE,IDR,2021,Q4,9736535000,2347552000,933639000
2022-03-31,IPPE,IDR,2022,Q1,13184422000,3320311000,1135337000
2022-06-30,IPPE,IDR,2022,Q2,12482120000,3810763000,1387983000
2022-09-30,IPPE,IDR,2022,Q3,18207662000,6251160000,3522397000
2022-12-31,IPPE,IDR,2022,Q4,-8853929000,-15965724000,-2481098000
2023-03-31,IPPE,IDR,2023,Q1,13975508000,3276923000,1541692000
2023-06-30,IPPE,IDR,2023,Q2,11957524000,2980536000,1096482000
2023-09-30,IPPE,IDR,2023,Q3,3084338000,1870510000,272807000
2023-12-31,IPPE,IDR,2023,Q4,6712905000,3385081000,951006000
2024-03-31,IPPE,IDR,2024,Q1,14196114000,3888902000,1559676000
2024-06-30,IPPE,IDR,2024,Q2,9412127000,2562404000,889809500
2024-09-30,IPPE,IDR,2024,Q3,1705406000,-403050000,-889279000
