date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2023-06-30,ISEA,IDR,2023,Q2,60159236746,19585673837,422437257
2023-09-30,ISEA,IDR,2023,Q3,29456395979,12680901179,-31582244
2023-12-31,ISEA,IDR,2023,Q4,49447924734,12064329823,932159130
2024-03-31,ISEA,IDR,2024,Q1,32397817000,16126791000,-830389000
2024-06-30,ISEA,IDR,2024,Q2,74299532000,21028235000,1702309000
2024-09-30,ISEA,IDR,2024,Q3,53843150000,15278107000,813456000
2024-12-31,ISEA,IDR,2024,Q4,162019714000,22399273000,-1336639000
2025-03-31,ISEA,IDR,2025,Q1,106612162000,19625467000,-5368040000
2025-06-30,ISEA,IDR,2025,Q2,121444128000,23446496000,6593790000
2025-09-30,ISEA,IDR,2025,Q3,133972413000,19603944000,2360939000
2025-12-31,ISEA,IDR,2025,Q4,202188979000,48067362000,1680864000
2026-03-31,ISEA,IDR,2026,Q1,181190148551,58947261729,2166655859
2026-06-30,ISEA,IDR,2026,Q2,186573850374,-816906883,2899123798
