date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,ITIC,IDR,2018,Q1,32961093030,8894037909,1584086542
2018-06-30,ITIC,IDR,2018,Q2,32961093030,8894037909,1584086542
2018-09-30,ITIC,IDR,2018,Q3,34769947017,7638882156,1518793432
2018-12-31,ITIC,IDR,2018,Q4,33826334770,12830464988,3562008614
2019-03-31,ITIC,IDR,2019,Q1,38225242739,10156580905,-1258546880
2019-06-30,ITIC,IDR,2019,Q2,41000359925,11103331334,2339032089
2019-09-30,ITIC,IDR,2019,Q3,41038909740,7992564032,-469177474
2019-12-31,ITIC,IDR,2019,Q4,46300969631,14584307577,-7611453555
2020-03-31,ITIC,IDR,2020,Q1,39559130354,12477194647,1786873359
2020-06-30,ITIC,IDR,2020,Q2,61366474005,16791371709,2798563499
2020-09-30,ITIC,IDR,2020,Q3,78111450624,21142805980,8970388771
2020-12-31,ITIC,IDR,2020,Q4,18377099953,9935680542,-7435785417
2021-03-31,ITIC,IDR,2021,Q1,40716612374,13290244529,1949369405
2021-06-30,ITIC,IDR,2021,Q2,55330036005,15229462042,4386345048
2021-09-30,ITIC,IDR,2021,Q3,60585757729,21579964525,9432208948
2021-12-31,ITIC,IDR,2021,Q4,57614516417,9548740517,2600693241
2022-03-31,ITIC,IDR,2022,Q1,53281331275,14731138465,3790005778
2022-06-30,ITIC,IDR,2022,Q2,60105419567,16477942278,4946771625
2022-09-30,ITIC,IDR,2022,Q3,73476857646,23480561212,10576977215
2022-12-31,ITIC,IDR,2022,Q4,62987528157,12931587249,4638568558
2023-03-31,ITIC,IDR,2023,Q1,60747984857,15309371546,4148243026
2023-06-30,ITIC,IDR,2023,Q2,67559220417,18206231118,6639194320
2023-09-30,ITIC,IDR,2023,Q3,70726189224,18661322538,8073457622
2023-12-31,ITIC,IDR,2023,Q4,73551188000,18770755000,8102732000
2024-03-31,ITIC,IDR,2024,Q1,74549422000,16678962000,5462952000
2024-06-30,ITIC,IDR,2024,Q2,72598285000,15004685000,2948654000
2024-09-30,ITIC,IDR,2024,Q3,70223289000,19460475000,8526315000
2024-12-31,ITIC,IDR,2024,Q4,73305291000,14841101000,4303323000
2025-03-31,ITIC,IDR,2025,Q1,61822633000,15739727000,3123164000
2025-06-30,ITIC,IDR,2025,Q2,72714337000,16046435000,4627635000
2025-09-30,ITIC,IDR,2025,Q3,72090757000,17401833000,9146483000
2025-12-31,ITIC,IDR,2025,Q4,74986132000,13723012000,3437550000
2026-03-31,ITIC,IDR,2026,Q1,61123395000,14421655000,3100719000
