date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2017-12-31,JAYA,IDR,2017,Q4,6203327500,2469331019,-341666224
2018-03-31,JAYA,IDR,2018,Q1,5948336536,1711434917,755620826
2018-06-30,JAYA,IDR,2018,Q2,6323661500,2548261858,486158034
2018-09-30,JAYA,IDR,2018,Q3,8532236414,2200372899,49202243
2018-12-31,JAYA,IDR,2018,Q4,9966085558,2857349118,-722738093
2019-03-31,JAYA,IDR,2019,Q1,12148493308,2721070627,-1912617881
2019-06-30,JAYA,IDR,2019,Q2,15012023192,5692092095,2242881946
2019-09-30,JAYA,IDR,2019,Q3,18237682868,5840562515,1440649722
2019-12-31,JAYA,IDR,2019,Q4,18021234359,6191544139,-298599820
2020-03-31,JAYA,IDR,2020,Q1,17944072645,5431743312,1120020782
2020-06-30,JAYA,IDR,2020,Q2,14870465960,4435777774,137342854
2020-09-30,JAYA,IDR,2020,Q3,17046623878,4508735571,412522982
2020-12-31,JAYA,IDR,2020,Q4,15614317967,5142629504,1357328221
2021-03-31,JAYA,IDR,2021,Q1,15735703925,4956688616,1425403545
2021-06-30,JAYA,IDR,2021,Q2,17494651164,5990999801,1735726975
2021-09-30,JAYA,IDR,2021,Q3,19127333398,4883896892,731885721
2021-12-31,JAYA,IDR,2021,Q4,20069891688,6502924215,1798967413
2022-03-31,JAYA,IDR,2022,Q1,18605148709,5441462319,1365952132
2022-06-30,JAYA,IDR,2022,Q2,19551462362,6518491730,1696383145
2022-09-30,JAYA,IDR,2022,Q3,20789702005,5590325335,1269161379
2022-12-31,JAYA,IDR,2022,Q4,20290611489,5143271771,5841889
2023-03-31,JAYA,IDR,2023,Q1,18922466595,7005293478,5559674209
2023-06-30,JAYA,IDR,2023,Q2,19662545469,6737075274,1813188222
2023-09-30,JAYA,IDR,2023,Q3,24289510636,9745090424,4356056811
2023-12-31,JAYA,IDR,2023,Q4,21931313226,2468943656,-1231966526
2024-03-31,JAYA,IDR,2024,Q1,27742506109,8728402986,2885780043
2024-06-30,JAYA,IDR,2024,Q2,24940418404,6799668671,2759140445
2024-09-30,JAYA,IDR,2024,Q3,24139480081,9209166113,1701943523
2024-12-31,JAYA,IDR,2024,Q4,23887154000,7474742000,-1194342000
2025-03-31,JAYA,IDR,2025,Q1,16426193054,6644372747,222334943
2025-06-30,JAYA,IDR,2025,Q2,16472143000,6942505000,1852029000
2025-09-30,JAYA,IDR,2025,Q3,20478521000,8481279000,1498153000
2025-12-31,JAYA,IDR,2025,Q4,20528623312,8650804192,911271995
2026-03-31,JAYA,IDR,2026,Q1,26881029000,13656101000,2262449000
