date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-06-30,JKSW,IDR,2013,Q2,10838122000,985739000,-18483000
2013-09-30,JKSW,IDR,2013,Q3,25528156000,-498176000,-1670935000
2013-12-31,JKSW,IDR,2013,Q4,34760618000,-4192291000,-5791288000
2014-03-31,JKSW,IDR,2014,Q1,10638345000,1238940000,-982930000
2014-06-30,JKSW,IDR,2014,Q2,10592976000,-211777000,-2400759000
2014-09-30,JKSW,IDR,2014,Q3,25601657000,147889000,-2710373000
2014-12-31,JKSW,IDR,2014,Q4,39647279000,-3806396000,-3537827000
2015-03-31,JKSW,IDR,2015,Q1,36671329000,-5939410000,-7298571000
2015-06-30,JKSW,IDR,2015,Q2,38126669000,-3347217000,-4525721000
2015-09-30,JKSW,IDR,2015,Q3,56212754000,-4609439000,-5808471000
2015-12-31,JKSW,IDR,2015,Q4,12397474000,-2211560000,-5463893000
2016-03-31,JKSW,IDR,2016,Q1,48771546000,843686000,-2757378000
2016-06-30,JKSW,IDR,2016,Q2,59668364000,7157197000,5794203000
2016-09-30,JKSW,IDR,2016,Q3,91108775000,-988855000,-2261852000
2016-12-31,JKSW,IDR,2016,Q4,56686060000,-2170916000,-3670154000
2017-03-31,JKSW,IDR,2017,Q1,9284183000,-300841000,-2207277000
2017-06-30,JKSW,IDR,2017,Q2,104448000,-143669000,-744562000
2017-09-30,JKSW,IDR,2017,Q3,2308315000,581874000,-189941000
2017-12-31,JKSW,IDR,2017,Q4,122832000,-1371197000,-783477000
2018-03-31,JKSW,IDR,2018,Q1,29809000,-681352000,-637953000
2018-06-30,JKSW,IDR,2018,Q2,0,-685708000,125004000
2018-09-30,JKSW,IDR,2018,Q3,24702000,-60904000,-369082000
2018-12-31,JKSW,IDR,2018,Q4,101994000,-2720807000,-47706116000
2019-03-31,JKSW,IDR,2019,Q1,0,-685376000,-368401000
2019-06-30,JKSW,IDR,2019,Q2,59940000,-668200000,-865713000
2019-09-30,JKSW,IDR,2019,Q3,0,-546394000,-221269000
2019-12-31,JKSW,IDR,2019,Q4,0,-245113000,64086000
2020-03-31,JKSW,IDR,2020,Q1,0,-694901000,-451594000
2020-06-30,JKSW,IDR,2020,Q2,0,-454170000,-537635000
2020-09-30,JKSW,IDR,2020,Q3,0,-571446000,-149122000
2020-12-31,JKSW,IDR,2020,Q4,0,-3758131000,71340000
2021-03-31,JKSW,IDR,2021,Q1,1424504000,-464449000,-113545000
2021-06-30,JKSW,IDR,2021,Q2,38837000,-458435000,-551302000
2021-09-30,JKSW,IDR,2021,Q3,0,-558479000,-180106000
2021-12-31,JKSW,IDR,2021,Q4,0,-753181000,791225000
2022-03-31,JKSW,IDR,2022,Q1,0,-301639000,1008715000
2022-06-30,JKSW,IDR,2022,Q2,0,-74368000,1214117000
2022-09-30,JKSW,IDR,2022,Q3,0,-75022000,346687000
2022-12-31,JKSW,IDR,2022,Q4,0,-77724000,621150000
2023-03-31,JKSW,IDR,2023,Q1,0,-73703000,-80706000
2023-06-30,JKSW,IDR,2023,Q2,0,-76846000,-403542000
2023-09-30,JKSW,IDR,2023,Q3,0,-77009000,-316254000
2023-12-31,JKSW,IDR,2023,Q4,0,-77090000,716689000
2024-03-31,JKSW,IDR,2024,Q1,0,-59785000,-1095709000
2024-06-30,JKSW,IDR,2024,Q2,0,-59785000,-212970000
2024-09-30,JKSW,IDR,2024,Q3,0,-59785000,-1217682000
2024-12-31,JKSW,IDR,2024,Q4,0,-63110000,-1712152000
2025-03-31,JKSW,IDR,2025,Q1,0,-56091000,-656529000
