date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-03-31,JMAS,IDR,2016,Q1,1598227095,1598227095,68872058
2016-06-30,JMAS,IDR,2016,Q2,1598227095,1598227095,68872058
2016-09-30,JMAS,IDR,2016,Q3,1651274359,1651274359,5176322
2016-12-31,JMAS,IDR,2016,Q4,1651274359,1651274359,5176322
2017-03-31,JMAS,IDR,2017,Q1,1949575326,1949575326,-555868400
2017-06-30,JMAS,IDR,2017,Q2,1949575325,1949575325,-555868399
2017-09-30,JMAS,IDR,2017,Q3,991005740,991005740,-1160963839
2017-12-31,JMAS,IDR,2017,Q4,3132858581,3132858581,371960721
2018-03-31,JMAS,IDR,2018,Q1,4788847259,4788847259,1689024226
2018-06-30,JMAS,IDR,2018,Q2,2722335441,2722335441,-666846414
2018-09-30,JMAS,IDR,2018,Q3,2847990731,2847990731,-628013384
2018-12-31,JMAS,IDR,2018,Q4,4434113738,4434113738,158735891
2019-03-31,JMAS,IDR,2019,Q1,3438086600,3438086600,-682451925
2019-06-30,JMAS,IDR,2019,Q2,14418859853,14418859853,2458293354
2019-09-30,JMAS,IDR,2019,Q3,3855762832,3855762832,-2403496755
2019-12-31,JMAS,IDR,2019,Q4,9229227119,9229227119,1878215737
2020-03-31,JMAS,IDR,2020,Q1,9787271746,9787271746,240981453
2020-06-30,JMAS,IDR,2020,Q2,11129110304,11129110304,144308374
2020-09-30,JMAS,IDR,2020,Q3,8461233990,8461233990,-243622558
2020-12-31,JMAS,IDR,2020,Q4,15039997403,15039997403,-88340421
2021-03-31,JMAS,IDR,2021,Q1,7378650183,7378650183,-1862181532
2021-06-30,JMAS,IDR,2021,Q2,10802076386,10802076386,-468244891
2021-09-30,JMAS,IDR,2021,Q3,9717844293,9717844293,-360126163
2021-12-31,JMAS,IDR,2021,Q4,25125224873,25125224873,3974351483
2022-03-31,JMAS,IDR,2022,Q1,7824032327,7824032327,-683051119
2022-06-30,JMAS,IDR,2022,Q2,11015245894,7824032326,3198578363
2022-09-30,JMAS,IDR,2022,Q3,12223040435,12223040435,-50935966
2022-12-31,JMAS,IDR,2022,Q4,14577283355,14577283355,-963731941
2023-03-31,JMAS,IDR,2023,Q1,14833806437,14833806437,1017529108
2023-06-30,JMAS,IDR,2023,Q2,24654085078,24654085078,1213236087
2023-09-30,JMAS,IDR,2023,Q3,16476223601,16476223601,1379643451
2023-12-31,JMAS,IDR,2023,Q4,16680781000,16680781000,-1083484000
2024-03-31,JMAS,IDR,2024,Q1,19142926000,19142926000,1217184000
2024-06-30,JMAS,IDR,2024,Q2,20623604393,20623604393,212702675
2024-09-30,JMAS,IDR,2024,Q3,23290231000,23290231000,1354291000
2024-12-31,JMAS,IDR,2024,Q4,16412861483,16412861304,44747877
2025-03-31,JMAS,IDR,2025,Q1,15447829000,15447829054,1423989000
2025-06-30,JMAS,IDR,2025,Q2,26544659000,26544659000,1594896000
2025-09-30,JMAS,IDR,2025,Q3,56939901000,20862070000,2368391000
2026-03-31,JMAS,IDR,2026,Q1,12266672848,12266672848,-590698443
