date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,JPFA,IDR,2011,Q1,3788316000000,768517000000,262955000000
2011-06-30,JPFA,IDR,2011,Q2,4030114000000,553950000000,60097000000
2011-09-30,JPFA,IDR,2011,Q3,4052468000000,645079000000,217582000000
2011-12-31,JPFA,IDR,2011,Q4,3762170000000,592799000000,130840000000
2012-03-31,JPFA,IDR,2012,Q1,4032150000000,761201000000,185308000000
2012-06-30,JPFA,IDR,2012,Q2,4431803000000,933195000000,395246000000
2012-09-30,JPFA,IDR,2012,Q3,4296741000000,593405000000,344086000000
2012-12-31,JPFA,IDR,2012,Q4,5072008000000,896104000000,67019000000
2013-03-31,JPFA,IDR,2013,Q1,4963484000000,864922000000,189524000000
2013-06-30,JPFA,IDR,2013,Q2,5361348443495,978679278041,299645138632
2013-09-30,JPFA,IDR,2013,Q3,5652329556505,1186160721959,277707861368
2013-12-31,JPFA,IDR,2013,Q4,5434923000000,588083000000,-171629000000
2014-03-31,JPFA,IDR,2014,Q1,5674518000000,745062000000,52942000000
2014-06-30,JPFA,IDR,2014,Q2,6517948000000,1083952000000,268854000000
2014-09-30,JPFA,IDR,2014,Q3,6501373000000,788777000000,5861000000
2014-12-31,JPFA,IDR,2014,Q4,5765041000000,807783000000,4732000000
2015-03-31,JPFA,IDR,2015,Q1,5938612000000,679418000000,-221737000000
2015-06-30,JPFA,IDR,2015,Q2,6210166000000,823795000000,-50392000000
2015-09-30,JPFA,IDR,2015,Q3,6586844000000,1205232000000,124852000000
2015-12-31,JPFA,IDR,2015,Q4,6287291000000,1284556000000,615507000000
2016-03-31,JPFA,IDR,2016,Q1,6434460000000,1116982000000,277225000000
2016-06-30,JPFA,IDR,2016,Q2,7107752000000,1595846000000,686859000000
2016-09-30,JPFA,IDR,2016,Q3,7059115000000,1684829000000,760842000000
2016-12-31,JPFA,IDR,2016,Q4,6461983000000,1081241000000,339724000000
2017-03-31,JPFA,IDR,2017,Q1,6624715000000,1096713000000,73377000000
2017-06-30,JPFA,IDR,2017,Q2,7507442000000,1390805000000,395942000000
2017-09-30,JPFA,IDR,2017,Q3,7562092000000,1345439000000,362477000000
2017-12-31,JPFA,IDR,2017,Q4,7908439000000,1197989000000,147516000000
2018-03-31,JPFA,IDR,2018,Q1,7860856000000,1723873000000,433399000000
2018-06-30,JPFA,IDR,2018,Q2,8843612000000,2083182000000,674884000000
2018-09-30,JPFA,IDR,2018,Q3,8633104000000,1829173000000,563776000000
2018-12-31,JPFA,IDR,2018,Q4,8675393000000,1572159000000,495902000000
2019-03-31,JPFA,IDR,2019,Q1,8564732000000,1424006000000,310741000000
2019-06-30,JPFA,IDR,2019,Q2,9677971000000,1896738000000,518548000000
2019-09-30,JPFA,IDR,2019,Q3,8934675000000,1400772000000,213780000000
2019-12-31,JPFA,IDR,2019,Q4,9565183000000,2404482000000,722109000000
2020-03-31,JPFA,IDR,2020,Q1,9079512000000,1592712000000,343877000000
2020-06-30,JPFA,IDR,2020,Q2,7830710000000,1182668000000,-188762000000
2020-09-30,JPFA,IDR,2020,Q3,8015050000000,1321205000000,102075000000
2020-12-31,JPFA,IDR,2020,Q4,12039676000000,3332624000000,659522000000
2021-03-31,JPFA,IDR,2021,Q1,10769375000000,2791630000000,858663000000
2021-06-30,JPFA,IDR,2021,Q2,11338798000000,2407719000000,684125000000
2021-09-30,JPFA,IDR,2021,Q3,10695205000000,738019000000,-35538000000
2021-12-31,JPFA,IDR,2021,Q4,12074922000000,2082723000000,515346000000
2022-03-31,JPFA,IDR,2022,Q1,12154001000000,2134716000000,603739000000
2022-06-30,JPFA,IDR,2022,Q2,12329171000000,2266651000000,508007000000
2022-09-30,JPFA,IDR,2022,Q3,12310110000000,1742859000000,316503000000
2022-12-31,JPFA,IDR,2022,Q4,12178803000000,1538930000000,-28827000000
2023-03-31,JPFA,IDR,2023,Q1,11761795000000,1286978000000,-241774000000
2023-06-30,JPFA,IDR,2023,Q2,12393965000000,2071419000000,331903000000
2023-09-30,JPFA,IDR,2023,Q3,13611662000000,2563114000000,855283000000
2023-12-31,JPFA,IDR,2023,Q4,13408476000000,1589844000000,-7543000000
2024-03-31,JPFA,IDR,2024,Q1,13925495000000,2423168000000,664823000000
2024-06-30,JPFA,IDR,2024,Q2,13723020000000,2831411000000,814469000000
2024-09-30,JPFA,IDR,2024,Q3,13631420000000,2587119000000,616623000000
2024-12-31,JPFA,IDR,2024,Q4,14520914000000,3274381000000,922977000000
2025-03-31,JPFA,IDR,2025,Q1,14332271000000,2694555000000,680417000000
2025-06-30,JPFA,IDR,2025,Q2,13149320000000,2583356000000,555847000000
2025-09-30,JPFA,IDR,2025,Q3,15622790000000,3358598000000,1175147000000
2025-12-31,JPFA,IDR,2025,Q4,17611425000000,4346862000000,1592588000000
2026-03-31,JPFA,IDR,2026,Q1,17714001000000,4445278000000,1816410000000
