date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,JSPT,IDR,2012,Q3,282786679815,168445056511,38486959133
2012-12-31,JSPT,IDR,2012,Q4,436207314003,233248062886,77313503543
2013-03-31,JSPT,IDR,2013,Q1,282040045144,158932096918,42563802797
2013-06-30,JSPT,IDR,2013,Q2,290376091562,162846457527,44986174317
2013-09-30,JSPT,IDR,2013,Q3,331239974212,193478801447,78105056419
2013-12-31,JSPT,IDR,2013,Q4,364026528057,224135074490,-2274096962
2014-03-31,JSPT,IDR,2014,Q1,298800154752,195556269030,58496413396
2014-06-30,JSPT,IDR,2014,Q2,279651125137,177069271035,51502090966
2014-09-30,JSPT,IDR,2014,Q3,351931574510,232046280564,71265258474
2014-12-31,JSPT,IDR,2014,Q4,404399579897,257577022400,74572663498
2015-03-31,JSPT,IDR,2015,Q1,281951693362,183116000236,50645190000
2015-06-30,JSPT,IDR,2015,Q2,284032146231,185989436291,46912620379
2015-09-30,JSPT,IDR,2015,Q3,325806724152,221963404645,44279501942
2015-12-31,JSPT,IDR,2015,Q4,244678518255,193729264828,34751343397
2016-03-31,JSPT,IDR,2016,Q1,231294327000,162117416000,27229985000
2016-06-30,JSPT,IDR,2016,Q2,257626238000,180146254000,25364573000
2016-09-30,JSPT,IDR,2016,Q3,290987454000,205806882000,43431872000
2016-12-31,JSPT,IDR,2016,Q4,298686523000,204235651000,28531143000
2017-03-31,JSPT,IDR,2017,Q1,252049353000,174878677000,29357402000
2017-06-30,JSPT,IDR,2017,Q2,263142866000,182222599000,27312587000
2017-09-30,JSPT,IDR,2017,Q3,321526293000,225703167000,43610924000
2017-12-31,JSPT,IDR,2017,Q4,285522560000,194894280000,31436309000
2018-03-31,JSPT,IDR,2018,Q1,244699692000,169697561000,24719286000
2018-06-30,JSPT,IDR,2018,Q2,549844899000,441108358000,159086327000
2018-09-30,JSPT,IDR,2018,Q3,315350778000,221688500000,34945991000
2018-12-31,JSPT,IDR,2018,Q4,425838912000,304945484000,81331102000
2019-03-31,JSPT,IDR,2019,Q1,274366159000,180607479000,10858009000
2019-06-30,JSPT,IDR,2019,Q2,298793218000,196392438000,8437777000
2019-09-30,JSPT,IDR,2019,Q3,367412120000,260541139000,45744101000
2019-12-31,JSPT,IDR,2019,Q4,355123350000,243060114000,45863603000
2020-03-31,JSPT,IDR,2020,Q1,233002767000,141489920000,-110837432000
2020-06-30,JSPT,IDR,2020,Q2,82863084000,40560787000,21578844000
2020-09-30,JSPT,IDR,2020,Q3,110889175000,60525224000,-66063780000
2020-12-31,JSPT,IDR,2020,Q4,163282787000,110834919000,12107534000
2021-03-31,JSPT,IDR,2021,Q1,104298323000,60251427000,-63332615000
2021-06-30,JSPT,IDR,2021,Q2,118862516000,68213318000,-67365950000
2021-09-30,JSPT,IDR,2021,Q3,103072069000,59356075000,-54507795000
2021-12-31,JSPT,IDR,2021,Q4,226547906000,144494837000,-25201371000
2022-03-31,JSPT,IDR,2022,Q1,134230060000,78709776000,-81432573000
2022-06-30,JSPT,IDR,2022,Q2,225174258000,149809123000,-92394716000
2022-09-30,JSPT,IDR,2022,Q3,598067206000,404588847000,149705442000
2022-12-31,JSPT,IDR,2022,Q4,419079259000,292037430000,-28071714000
2023-03-31,JSPT,IDR,2023,Q1,360453151000,247165126000,55969426000
2023-06-30,JSPT,IDR,2023,Q2,404449253000,274128538000,10987439000
2023-09-30,JSPT,IDR,2023,Q3,519354222000,355134361000,8002532000
2023-12-31,JSPT,IDR,2023,Q4,567515377000,344894018000,134366349000
2024-03-31,JSPT,IDR,2024,Q1,440681803000,304187305000,-10577585000
2024-06-30,JSPT,IDR,2024,Q2,633390956000,357603422000,31487623000
2024-09-30,JSPT,IDR,2024,Q3,653539774000,422561611000,215623033000
2024-12-31,JSPT,IDR,2024,Q4,679736895000,431410706000,24804198000
2025-03-31,JSPT,IDR,2025,Q1,523690609000,358135178000,46684755000
2025-06-30,JSPT,IDR,2025,Q2,598411606000,405708287000,77491548000
2025-09-30,JSPT,IDR,2025,Q3,673596409000,475621268000,107004241000
2025-12-31,JSPT,IDR,2025,Q4,625012902000,294869950000,66969042000
2026-03-31,JSPT,IDR,2026,Q1,679646326000,486836267000,127942098000
