date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,KBLV,IDR,2012,Q3,328924000000,225205000000,-12063000000
2012-12-31,KBLV,IDR,2012,Q4,352165000000,235732000000,-69467000000
2013-03-31,KBLV,IDR,2013,Q1,397286000000,266836000000,-47938000000
2013-06-30,KBLV,IDR,2013,Q2,405522000000,292960000000,-21742000000
2013-09-30,KBLV,IDR,2013,Q3,433372000000,281117000000,-102948000000
2013-12-31,KBLV,IDR,2013,Q4,517922000000,432534000000,69253000000
2014-03-31,KBLV,IDR,2014,Q1,579094000000,429857000000,7929000000
2014-06-30,KBLV,IDR,2014,Q2,594102000000,433300000000,-6147000000
2014-09-30,KBLV,IDR,2014,Q3,627781000000,554943000000,25222000000
2014-12-31,KBLV,IDR,2014,Q4,225093000000,15520000000,7704971000000
2015-03-31,KBLV,IDR,2015,Q1,225464000000,-75282000000,-205327000000
2015-06-30,KBLV,IDR,2015,Q2,249638000000,-36625000000,-71386000000
2015-09-30,KBLV,IDR,2015,Q3,264341000000,-73685000000,-199697000000
2015-12-31,KBLV,IDR,2015,Q4,323537000000,-172929000000,-148557000000
2016-03-31,KBLV,IDR,2016,Q1,302256000000,-36633000000,-209305000000
2016-06-30,KBLV,IDR,2016,Q2,361835000000,-27113000000,-180312000000
2016-09-30,KBLV,IDR,2016,Q3,340288000000,-30076000000,-174443000000
2016-12-31,KBLV,IDR,2016,Q4,303871000000,-36593000000,-230618000000
2017-03-31,KBLV,IDR,2017,Q1,240824000000,-70862000000,-227627000000
2017-06-30,KBLV,IDR,2017,Q2,239045000000,-45606000000,-325736000000
2017-09-30,KBLV,IDR,2017,Q3,264284000000,-46073000000,-291976000000
2017-12-31,KBLV,IDR,2017,Q4,238310000000,-63366000000,-255335000000
2018-03-31,KBLV,IDR,2018,Q1,266318000000,-76004000000,-551266000000
2018-06-30,KBLV,IDR,2018,Q2,183269000000,-59366000000,-906587000000
2018-09-30,KBLV,IDR,2018,Q3,245588000000,-7480000000,-948676000000
2018-12-31,KBLV,IDR,2018,Q4,206041000000,-22813000000,-1090895000000
2019-03-31,KBLV,IDR,2019,Q1,50094000000,30612000000,23480000000
2019-06-30,KBLV,IDR,2019,Q2,39720000000,-4345000000,-101492000000
2019-09-30,KBLV,IDR,2019,Q3,37819000000,14954000000,52800000000
2019-12-31,KBLV,IDR,2019,Q4,121276000000,63126000000,-231170000000
2020-03-31,KBLV,IDR,2020,Q1,48282000000,18369000000,-300767000000
2020-06-30,KBLV,IDR,2020,Q2,44603000000,17275000000,303242000000
2020-09-30,KBLV,IDR,2020,Q3,46906000000,26735000000,-60434000000
2020-12-31,KBLV,IDR,2020,Q4,48906000000,22789000000,58326000000
2021-03-31,KBLV,IDR,2021,Q1,34741000000,13042000000,-33785000000
2021-06-30,KBLV,IDR,2021,Q2,39801000000,14843000000,44250000000
2021-09-30,KBLV,IDR,2021,Q3,33969000000,15976000000,194884000000
2021-12-31,KBLV,IDR,2021,Q4,43289000000,21004000000,-1596532000000
2022-03-31,KBLV,IDR,2022,Q1,27067000000,9167000000,-109417000000
2022-06-30,KBLV,IDR,2022,Q2,34330000000,22280000000,-172362000000
2022-09-30,KBLV,IDR,2022,Q3,29942000000,14046000000,-44385000000
2022-12-31,KBLV,IDR,2022,Q4,49074000000,16490000000,-18602000000
2023-03-31,KBLV,IDR,2023,Q1,18988000000,-7974000000,-17495000000
2023-06-30,KBLV,IDR,2023,Q2,24090000000,-7466000000,-3697000000
2023-09-30,KBLV,IDR,2023,Q3,28322000000,2078000000,-26132000000
2023-12-31,KBLV,IDR,2023,Q4,42120000000,17954000000,-28169000000
2024-03-31,KBLV,IDR,2024,Q1,11069000000,6465000000,-8462000000
2024-06-30,KBLV,IDR,2024,Q2,2079000000,-4274000000,-10916000000
2024-09-30,KBLV,IDR,2024,Q3,14129000000,9881000000,37896000000
2024-12-31,KBLV,IDR,2024,Q4,1295000000,-3710000000,44978000000
2025-03-31,KBLV,IDR,2025,Q1,534000000,349000000,-5719000000
2025-06-30,KBLV,IDR,2025,Q2,420000000,312000000,3852000000
2025-09-30,KBLV,IDR,2025,Q3,474000000,191000000,-4065000000
2025-12-31,KBLV,IDR,2025,Q4,266000000,202000000,4891000000
2026-03-31,KBLV,IDR,2026,Q1,185000000,30000000,-2138000000
