date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,KBRI,IDR,2012,Q1,14286241164,-251428135,-5597456777
2012-06-30,KBRI,IDR,2012,Q2,15226703276,-1255532241,42087232496
2012-09-30,KBRI,IDR,2012,Q3,5345613994,-834362078,11014835267
2012-12-31,KBRI,IDR,2012,Q4,9781624791,-1317393481,-10908280682
2013-03-31,KBRI,IDR,2013,Q1,5152309622,661633538,-3015385157
2013-06-30,KBRI,IDR,2013,Q2,2702907929,56313629,-3473224803
2013-09-30,KBRI,IDR,2013,Q3,2601660667,28370941,-6834051521
2013-12-31,KBRI,IDR,2013,Q4,1411907506,-385977209,-10893884860
2014-03-31,KBRI,IDR,2014,Q1,95047549,0,-6314428831
2014-06-30,KBRI,IDR,2014,Q2,948534860,-1004084140,-9725065841
2014-09-30,KBRI,IDR,2014,Q3,773201254,-819883041,-4793622106
2014-12-31,KBRI,IDR,2014,Q4,32997812208,13352992464,3306836006
2015-03-31,KBRI,IDR,2015,Q1,35427590482,1950909648,-41228575115
2015-06-30,KBRI,IDR,2015,Q2,60054889324,-6722970282,-39053035632
2015-09-30,KBRI,IDR,2015,Q3,74253370809,-3891554718,-102030668745
2015-12-31,KBRI,IDR,2015,Q4,71471571953,27834198753,26565772130
2016-03-31,KBRI,IDR,2016,Q1,14546135414,-26605844697,-18540099164
2016-06-30,KBRI,IDR,2016,Q2,20074548277,5427037795,-10135725724
2016-09-30,KBRI,IDR,2016,Q3,54106225074,-38331423663,-51268765284
2016-12-31,KBRI,IDR,2016,Q4,72640444921,25949986698,-22816007508
2017-03-31,KBRI,IDR,2017,Q1,64383535841,-2692953297,-16804170854
2017-06-30,KBRI,IDR,2017,Q2,31255446149,-8438499247,-28195449583
2017-09-30,KBRI,IDR,2017,Q3,31820730572,-8471676428,-31651199018
2017-12-31,KBRI,IDR,2017,Q4,16568007641,-15521608453,-49053342165
2018-03-31,KBRI,IDR,2018,Q1,642858987,-11338101431,-37664835434
2018-06-30,KBRI,IDR,2018,Q2,803489500,-10967121878,-42321150189
2018-09-30,KBRI,IDR,2018,Q3,381173820,-10638105695,-44236654748
2018-12-31,KBRI,IDR,2018,Q4,1043938323,-12362608699,-545156911
2019-03-31,KBRI,IDR,2019,Q1,191449000,-10770455000,-8186045000
2019-06-30,KBRI,IDR,2019,Q2,191449000,-10770455000,-8186045000
2019-09-30,KBRI,IDR,2019,Q3,0,-9642686932,-17368848806
