date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,KDSI,IDR,2013,Q1,324017537234,43766561569,8742082232
2013-06-30,KDSI,IDR,2013,Q2,363962216673,47539826149,9621420482
2013-09-30,KDSI,IDR,2013,Q3,338595532755,52077276528,14748284498
2013-12-31,KDSI,IDR,2013,Q4,359739297823,35993790575,2890984982
2014-03-31,KDSI,IDR,2014,Q1,383956401123,51372151378,6154350842
2014-06-30,KDSI,IDR,2014,Q2,410622612656,55409390514,13293003228
2014-09-30,KDSI,IDR,2014,Q3,390184084820,54790504399,9055408097
2014-12-31,KDSI,IDR,2014,Q4,441469563945,68429900046,17184611084
2015-03-31,KDSI,IDR,2015,Q1,402391141351,41090094026,-1616499732
2015-06-30,KDSI,IDR,2015,Q2,476465621797,54876643583,3010921571
2015-09-30,KDSI,IDR,2015,Q3,383348054279,62313103787,9196164756
2015-12-31,KDSI,IDR,2015,Q4,451741375540,61809021037,879976698
2016-03-31,KDSI,IDR,2016,Q1,464096453474,57604983704,5960436683
2016-06-30,KDSI,IDR,2016,Q2,542451175368,69230283041,10755710272
2016-09-30,KDSI,IDR,2016,Q3,443998008387,68344689644,12547421553
2016-12-31,KDSI,IDR,2016,Q4,544791509604,76325237721,17863780559
2017-03-31,KDSI,IDR,2017,Q1,536818502280,72392874066,15506977865
2017-06-30,KDSI,IDR,2017,Q2,528007277633,61109562063,8223669475
2017-09-30,KDSI,IDR,2017,Q3,575203691370,78695070887,16323373936
2017-12-31,KDSI,IDR,2017,Q4,605489986471,99622735296,28911187272
2018-03-31,KDSI,IDR,2018,Q1,603503982220,81292027158,17870559068
2018-06-30,KDSI,IDR,2018,Q2,580574951289,77242057777,15165805572
2018-09-30,KDSI,IDR,2018,Q3,596243260856,82600296654,20264583631
2018-12-31,KDSI,IDR,2018,Q4,547629431245,91077288922,23460953940
2019-03-31,KDSI,IDR,2019,Q1,574960993960,97237154965,21173658868
2019-06-30,KDSI,IDR,2019,Q2,557903671080,96257009571,22757285594
2019-09-30,KDSI,IDR,2019,Q3,573349692854,87602922395,9561055116
2019-12-31,KDSI,IDR,2019,Q4,528726738216,78197278611,10598903929
2020-03-31,KDSI,IDR,2020,Q1,510718080138,92677566151,17324908512
2020-06-30,KDSI,IDR,2020,Q2,428723815386,70074328435,11015849651
2020-09-30,KDSI,IDR,2020,Q3,464714112654,76698161706,17122099289
2020-12-31,KDSI,IDR,2020,Q4,518933927232,86800031742,14715433007
2021-03-31,KDSI,IDR,2021,Q1,481461301893,80145863249,20928760526
2021-06-30,KDSI,IDR,2021,Q2,555731191283,89986286065,25938500536
2021-09-30,KDSI,IDR,2021,Q3,546608146980,79946386215,15394505304
2021-12-31,KDSI,IDR,2021,Q4,657284486028,82247204815,10372702173
2022-03-31,KDSI,IDR,2022,Q1,611636462726,74591395359,16441862523
2022-06-30,KDSI,IDR,2022,Q2,555298648226,65878981719,16738130427
2022-09-30,KDSI,IDR,2022,Q3,594652237273,89977488707,26244036449
2022-12-31,KDSI,IDR,2022,Q4,590824666320,90324688929,16726429047
2023-03-31,KDSI,IDR,2023,Q1,602355600561,83667474660,16382252824
2023-06-30,KDSI,IDR,2023,Q2,489734918281,72006447766,15150372672
2023-09-30,KDSI,IDR,2023,Q3,501669055243,116075365201,45439665430
2023-12-31,KDSI,IDR,2023,Q4,533912230000,86233385000,2493877000
2024-03-31,KDSI,IDR,2024,Q1,502657823000,90306465000,26804269000
2024-06-30,KDSI,IDR,2024,Q2,492934426000,80178072000,14666338000
2024-09-30,KDSI,IDR,2024,Q3,516461819000,92942147000,23463182000
2024-12-31,KDSI,IDR,2024,Q4,556186858000,86361348000,19983790000
2025-03-31,KDSI,IDR,2025,Q1,542737324000,79395523000,11745520000
2025-06-30,KDSI,IDR,2025,Q2,502835182000,56435284000,-4320942000
2025-09-30,KDSI,IDR,2025,Q3,529049629000,67850062000,6485086000
2025-12-31,KDSI,IDR,2025,Q4,560753988000,77843625000,18429974000
2026-03-31,KDSI,IDR,2026,Q1,480252756000,61792078000,8924236000
