date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-12-31,KIOS,IDR,2016,Q4,5829122277,184891445,-2273692694
2017-03-31,KIOS,IDR,2017,Q1,17914510260,1048632330,-2770336243
2017-06-30,KIOS,IDR,2017,Q2,47704176875,1956753697,-5881248540
2017-09-30,KIOS,IDR,2017,Q3,7969311090,-1254694098,412021521
2017-12-31,KIOS,IDR,2017,Q4,1056488423182,2239128065568,11156918792
2018-03-31,KIOS,IDR,2018,Q1,658310369941,10169533417,2378455504
2018-06-30,KIOS,IDR,2018,Q2,1276339292791,22133500459,4764427232
2018-09-30,KIOS,IDR,2018,Q3,686504007420,13447471635,-823777974
2018-12-31,KIOS,IDR,2018,Q4,604411886824,17183133812,-2423081259
2019-03-31,KIOS,IDR,2019,Q1,593927243830,12739634288,341989993
2019-06-30,KIOS,IDR,2019,Q2,621969905112,12700125560,488187114
2019-09-30,KIOS,IDR,2019,Q3,815537200352,16678200748,590208206
2019-12-31,KIOS,IDR,2019,Q4,868728048015,3825248746,-6784119973
2020-03-31,KIOS,IDR,2020,Q1,590437213321,6920877124,-2092468146
2020-06-30,KIOS,IDR,2020,Q2,257355258320,-3462296335,-8254144188
2020-09-30,KIOS,IDR,2020,Q3,35095277933,1866656099,-2238359864
2020-12-31,KIOS,IDR,2020,Q4,29647619706,1520497200,-29052072239
2021-03-31,KIOS,IDR,2021,Q1,94998419077,3216204666,181255246
2021-06-30,KIOS,IDR,2021,Q2,80435885755,5186685478,1299922523
2021-09-30,KIOS,IDR,2021,Q3,98582519108,1563563301,709678422
2021-12-31,KIOS,IDR,2021,Q4,65015519328,5382304726,308655996
2022-03-31,KIOS,IDR,2022,Q1,47218037862,3802042040,351627026
2022-06-30,KIOS,IDR,2022,Q2,99156718364,8965370150,2069078894
2022-09-30,KIOS,IDR,2022,Q3,101170755288,7588637948,527193585
2022-12-31,KIOS,IDR,2022,Q4,116327156477,6486906978,-2004153217
2023-03-31,KIOS,IDR,2023,Q1,125585351913,7201759786,502468487
2023-06-30,KIOS,IDR,2023,Q2,67097118272,9116214758,1041719098
2023-09-30,KIOS,IDR,2023,Q3,39334818144,6905619873,405856924
2023-12-31,KIOS,IDR,2023,Q4,39274340000,-14772240000,-19097049000
2024-03-31,KIOS,IDR,2024,Q1,20132355026,652860941,-4568527537
2024-06-30,KIOS,IDR,2024,Q2,20232345779,14662641,-3935446446
2024-09-30,KIOS,IDR,2024,Q3,51093681718,1132316225,-2437866992
2024-12-31,KIOS,IDR,2024,Q4,30126346805,-963493971,-2857737965
2025-03-31,KIOS,IDR,2025,Q1,3512639778,608648036,-971277343
2025-06-30,KIOS,IDR,2025,Q2,2529779378,699664575,-496866480
2025-09-30,KIOS,IDR,2025,Q3,2078679627,241192694,-591212815
2025-12-31,KIOS,IDR,2025,Q4,2003328356,100297661,2704894909
2026-03-31,KIOS,IDR,2026,Q1,1863339832,526004736,-385449477
2026-06-30,KIOS,IDR,2026,Q2,163054202,-244448494,-226501122
