date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,KJEN,IDR,2018,Q1,1715037686,1002905885,119234335
2018-06-30,KJEN,IDR,2018,Q2,1715037685,1002905885,119234334
2018-09-30,KJEN,IDR,2018,Q3,454768041,-215523014,-414909137
2018-12-31,KJEN,IDR,2018,Q4,2589004421,2032691657,542850575
2019-03-31,KJEN,IDR,2019,Q1,2406300736,1515216133,-24051496
2019-06-30,KJEN,IDR,2019,Q2,2406300736,1515216133,-24051496
2019-09-30,KJEN,IDR,2019,Q3,4689823008,3350147787,986238042
2019-12-31,KJEN,IDR,2019,Q4,3113127078,2268177014,-677991958
2020-03-31,KJEN,IDR,2020,Q1,2955266430,1917330050,330172091
2020-06-30,KJEN,IDR,2020,Q2,900260683,-997236060,-3386027555
2020-09-30,KJEN,IDR,2020,Q3,4456450453,2419108493,205074646
2020-12-31,KJEN,IDR,2020,Q4,4846139034,3564366644,1169593723
2021-03-31,KJEN,IDR,2021,Q1,2924612081,1272066276,17844237
2021-06-30,KJEN,IDR,2021,Q2,1625776945,412675713,-613708560
2021-09-30,KJEN,IDR,2021,Q3,2658211801,667295353,-1362220146
2021-12-31,KJEN,IDR,2021,Q4,1238587096,426723159,117781838
2022-03-31,KJEN,IDR,2022,Q1,2225949901,945632008,-293064709
2022-06-30,KJEN,IDR,2022,Q2,2311815601,502438226,-173308563
2022-09-30,KJEN,IDR,2022,Q3,1033936263,649231950,470908835
2022-12-31,KJEN,IDR,2022,Q4,2860720860,1346484821,-98638091
2023-03-31,KJEN,IDR,2023,Q1,2268173811,706638227,88672328
2023-06-30,KJEN,IDR,2023,Q2,1446340521,525963018,-132237261
2023-09-30,KJEN,IDR,2023,Q3,1797619303,659665031,120917809
2023-12-31,KJEN,IDR,2023,Q4,2272642212,1530815467,-54500139
2024-03-31,KJEN,IDR,2024,Q1,1596658966,630001147,154291617
2024-06-30,KJEN,IDR,2024,Q2,2146117863,1343479865,446457310
2024-09-30,KJEN,IDR,2024,Q3,1123560057,-44211904,-413466906
2024-12-31,KJEN,IDR,2024,Q4,1451420954,941146194,-78790909
2025-03-31,KJEN,IDR,2025,Q1,842114380,366296580,24389600
2025-06-30,KJEN,IDR,2025,Q2,1086895706,508360706,132612587
2025-09-30,KJEN,IDR,2025,Q3,970191608,229913863,-15667810
2025-12-31,KJEN,IDR,2025,Q4,992784369,489079097,-111295767
2026-03-31,KJEN,IDR,2026,Q1,984731920,519922588,12268732
2026-06-30,KJEN,IDR,2026,Q2,1217591962,665061848,145746370
