date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,KONI,IDR,2012,Q3,20813787255,7234025032,2745549262
2012-12-31,KONI,IDR,2012,Q4,27476983665,6274375988,-104632176
2013-03-31,KONI,IDR,2013,Q1,19212399557,4297078549,665657611
2013-06-30,KONI,IDR,2013,Q2,26965317665,4422614961,-39759064
2013-09-30,KONI,IDR,2013,Q3,26653792230,5871318053,-8410845289
2013-12-31,KONI,IDR,2013,Q4,34153899076,9675456901,3940075296
2014-03-31,KONI,IDR,2014,Q1,32728104224,6817434291,4798776422
2014-06-30,KONI,IDR,2014,Q2,28266242267,4764704140,-1516817135
2014-09-30,KONI,IDR,2014,Q3,23363090206,3670434476,1254410069
2014-12-31,KONI,IDR,2014,Q4,35289637766,6483078228,-3121781340
2015-03-31,KONI,IDR,2015,Q1,24480656575,5293951623,-1069358851
2015-06-30,KONI,IDR,2015,Q2,34970654886,6399715125,-1594175533
2015-09-30,KONI,IDR,2015,Q3,31612922164,8430059369,-904641294
2015-12-31,KONI,IDR,2015,Q4,27466050805,4559433313,-286901268
2016-03-31,KONI,IDR,2016,Q1,23579099510,4784833200,770196897
2016-06-30,KONI,IDR,2016,Q2,22979300124,4027922206,-5727376428
2016-09-30,KONI,IDR,2016,Q3,25953709699,5420977337,-1956365285
2016-12-31,KONI,IDR,2016,Q4,41229652510,13554760898,-219682947
2017-03-31,KONI,IDR,2017,Q1,21264996872,4755138226,-1862749353
2017-06-30,KONI,IDR,2017,Q2,26239905645,7335770057,268807374
2017-09-30,KONI,IDR,2017,Q3,33665570308,6427153047,-1775821418
2017-12-31,KONI,IDR,2017,Q4,35629336581,12556383513,2505667423
2018-03-31,KONI,IDR,2018,Q1,32027142709,8489601272,-509850000
2018-06-30,KONI,IDR,2018,Q2,33479155964,7503307737,-4079256091
2018-09-30,KONI,IDR,2018,Q3,39964867159,10062705003,-2593990359
2018-12-31,KONI,IDR,2018,Q4,41684447034,2795073096,369288592
2019-03-31,KONI,IDR,2019,Q1,31001508074,6255292639,1088140309
2019-06-30,KONI,IDR,2019,Q2,29386245232,7439951168,-1351145467
2019-09-30,KONI,IDR,2019,Q3,37326239987,7776786688,3091059579
2019-12-31,KONI,IDR,2019,Q4,36194387279,7039592919,-155995317
2020-03-31,KONI,IDR,2020,Q1,29422849290,6429685278,-14308861484
2020-06-30,KONI,IDR,2020,Q2,13564869714,2812042938,10726691847
2020-09-30,KONI,IDR,2020,Q3,20335740561,4024752450,-6567034598
2020-12-31,KONI,IDR,2020,Q4,32364703066,12778350176,10199012151
2021-03-31,KONI,IDR,2021,Q1,28741180791,6092490561,67583663
2021-06-30,KONI,IDR,2021,Q2,26413141305,5562727228,787668066
2021-09-30,KONI,IDR,2021,Q3,31819427346,6524286825,1822574209
2021-12-31,KONI,IDR,2021,Q4,38350706070,10890217336,5127786067
2022-03-31,KONI,IDR,2022,Q1,35463408347,7070718458,1642677801
2022-06-30,KONI,IDR,2022,Q2,37878778238,8464977441,2730585725
2022-09-30,KONI,IDR,2022,Q3,47452288753,9315681290,2991167229
2022-12-31,KONI,IDR,2022,Q4,57789099541,15532063251,4228821922
2023-03-31,KONI,IDR,2023,Q1,41594348501,8735388983,2695333380
2023-06-30,KONI,IDR,2023,Q2,65449479163,13371640116,4589437033
2023-09-30,KONI,IDR,2023,Q3,59581069416,11928149487,3392749664
2023-12-31,KONI,IDR,2023,Q4,84368544752,22045419587,9132272385
2024-03-31,KONI,IDR,2024,Q1,47416389971,10029728764,1510566357
2024-06-30,KONI,IDR,2024,Q2,63037180913,11940310825,3014859081
2024-09-30,KONI,IDR,2024,Q3,85156585226,17087174066,5719700341
2024-12-31,KONI,IDR,2024,Q4,83624475492,25500333413,9384806463
2025-03-31,KONI,IDR,2025,Q1,52282166336,10671242316,406847798
2025-06-30,KONI,IDR,2025,Q2,73324667766,14232866321,3246057611
2025-09-30,KONI,IDR,2025,Q3,77735970919,15127943396,3903763147
2025-12-31,KONI,IDR,2025,Q4,87253374000,25075301000,10829531000
2026-03-31,KONI,IDR,2026,Q1,66371647238,13229249343,2042178268
