date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,KOTA,IDR,2018,Q1,75088719699,18275785210,10260648694
2018-06-30,KOTA,IDR,2018,Q2,75088719698,18275785209,10260648694
2018-09-30,KOTA,IDR,2018,Q3,7052206185,4029929230,-8548522842
2018-12-31,KOTA,IDR,2018,Q4,13047175883,9237375098,1043812358
2019-03-31,KOTA,IDR,2019,Q1,3275331053,1999115282,-7332946570
2019-06-30,KOTA,IDR,2019,Q2,40957735098,19779851426,8986476726
2019-09-30,KOTA,IDR,2019,Q3,25814397809,13531467516,3263441590
2019-12-31,KOTA,IDR,2019,Q4,-3859197651,-6058195017,-12341789582
2020-03-31,KOTA,IDR,2020,Q1,2804871329,1614781366,-8544030104
2020-06-30,KOTA,IDR,2020,Q2,277058965,-31630019,-7927485286
2020-09-30,KOTA,IDR,2020,Q3,870715458,488161072,-8678094125
2020-12-31,KOTA,IDR,2020,Q4,2759667541,1991082342,-4288434076
2021-03-31,KOTA,IDR,2021,Q1,1350938627,-1513206805,-5867450239
2021-06-30,KOTA,IDR,2021,Q2,1749592177,-699345472,-6393750711
2021-09-30,KOTA,IDR,2021,Q3,2067609433,-1210040145,-5472642762
2021-12-31,KOTA,IDR,2021,Q4,6889656318,1905697410,2533692147
2022-03-31,KOTA,IDR,2022,Q1,4100849022,2501287097,-5382461624
2022-06-30,KOTA,IDR,2022,Q2,4795195321,2990203389,-19239723180
2022-09-30,KOTA,IDR,2022,Q3,5047966871,3536026011,-6545047995
2022-12-31,KOTA,IDR,2022,Q4,7004220092,4977880636,525586731
2023-03-31,KOTA,IDR,2023,Q1,5850401172,3583401615,-4138466126
2023-06-30,KOTA,IDR,2023,Q2,6639482731,4681186391,-5289318170
2023-09-30,KOTA,IDR,2023,Q3,7006602335,4910767493,-9551564707
2023-12-31,KOTA,IDR,2023,Q4,8382598565,4113390491,-5680152111
2024-03-31,KOTA,IDR,2024,Q1,5772474735,3472974246,-4854147650
2024-06-30,KOTA,IDR,2024,Q2,7909770138,3397950538,-4580742387
2024-09-30,KOTA,IDR,2024,Q3,7479699291,5195673755,-7102229764
2024-12-31,KOTA,IDR,2024,Q4,8215812000,6245107000,-1529791000
2025-03-31,KOTA,IDR,2025,Q1,5876998000,3645361000,-5551223000
2025-06-30,KOTA,IDR,2025,Q2,11485752000,7729965000,-8572718000
2025-09-30,KOTA,IDR,2025,Q3,11435642000,8175299000,-7406301000
2025-12-31,KOTA,IDR,2025,Q4,93786303000,62450947000,63162520000
2026-03-31,KOTA,IDR,2026,Q1,33619819339,26026332526,5666734011
2026-06-30,KOTA,IDR,2026,Q2,33675217696,25816671791,10379895536
