date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2017-03-31,KPAS,IDR,2017,Q1,22873026,9858604,2028104
2018-03-31,KPAS,IDR,2018,Q1,20331895,8406805,759033
2018-06-30,KPAS,IDR,2018,Q2,16283188,5320464,-196223
2018-09-30,KPAS,IDR,2018,Q3,17300676,6510549,38454
2018-12-31,KPAS,IDR,2018,Q4,19370800,6987248,198882
2019-03-31,KPAS,IDR,2019,Q1,17819778,7480695,150850
2019-06-30,KPAS,IDR,2019,Q2,16736850,6225744,184244
2019-09-30,KPAS,IDR,2019,Q3,19783499,8448551,93055
2019-12-31,KPAS,IDR,2019,Q4,20537859,8533960,142768
2020-03-31,KPAS,IDR,2020,Q1,21180368,6564618,331265
2020-06-30,KPAS,IDR,2020,Q2,14618125,5594319,-735645
2020-09-30,KPAS,IDR,2020,Q3,16190576,4580961,-960390
2020-12-31,KPAS,IDR,2020,Q4,14115035,3986921,-3537895
2021-03-31,KPAS,IDR,2021,Q1,12156782,792781,-4158178
2021-06-30,KPAS,IDR,2021,Q2,7211178,-3978209,-13870311
2021-09-30,KPAS,IDR,2021,Q3,783589,-5628441,-11654310
