date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-09-30,KRAH,IDR,2013,Q3,74668967363,29117261417,11976105283
2013-12-31,KRAH,IDR,2013,Q4,161462036049,50336147267,14198968733
2014-03-31,KRAH,IDR,2014,Q1,62240735710,23843454103,6209725115
2014-06-30,KRAH,IDR,2014,Q2,63945497851,24599324589,5737459405
2014-09-30,KRAH,IDR,2014,Q3,58362276908,21475604631,-2222852044
2014-12-31,KRAH,IDR,2014,Q4,101499870304,61045367389,22010378586
2015-03-31,KRAH,IDR,2015,Q1,63640079406,28330187016,4344775140
2015-06-30,KRAH,IDR,2015,Q2,67511153830,19557059099,-1553270357
2015-09-30,KRAH,IDR,2015,Q3,52110319575,25778685002,1114717537
2015-12-31,KRAH,IDR,2015,Q4,99944241561,20010181573,-11531531826
2016-03-31,KRAH,IDR,2016,Q1,66910480335,29049717172,6894643799
2016-06-30,KRAH,IDR,2016,Q2,91015152741,17301941786,-2258411325
2016-09-30,KRAH,IDR,2016,Q3,85032314019,28462303868,4871963734
2016-12-31,KRAH,IDR,2016,Q4,69589561723,36140427780,-8682381180
2017-03-31,KRAH,IDR,2017,Q1,75056781307,28539558442,5912587528
2017-06-30,KRAH,IDR,2017,Q2,74841882178,8146094526,-1510385524
2017-09-30,KRAH,IDR,2017,Q3,81357160289,28687421444,2388477717
2017-12-31,KRAH,IDR,2017,Q4,32008938486,-19726141177,-60550449390
2018-03-31,KRAH,IDR,2018,Q1,50072464594,1197504998,-14129584060
2018-06-30,KRAH,IDR,2018,Q2,64523983942,6099950659,-8964205801
2018-09-30,KRAH,IDR,2018,Q3,74595879464,43318198750,15750670115
2018-12-31,KRAH,IDR,2018,Q4,70668302988,-48929447114,-67787256287
2019-03-31,KRAH,IDR,2019,Q1,51012709838,-2552193290,-22958697994
2019-06-30,KRAH,IDR,2019,Q2,74834023459,7714877187,-1167054617
2019-09-30,KRAH,IDR,2019,Q3,53649121135,4765206324,-8185209550
