date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,KREN,IDR,2012,Q1,60688736718,56365587211,38540698034
2012-06-30,KREN,IDR,2012,Q2,29518145263,25066754226,-1768792584
2012-09-30,KREN,IDR,2012,Q3,10824913400,5584084773,-21517181033
2012-12-31,KREN,IDR,2012,Q4,29629041435,22321578850,-5111873294
2013-03-31,KREN,IDR,2013,Q1,66984348312,61798977756,38641780288
2013-06-30,KREN,IDR,2013,Q2,2177782691,-5861797200,-30137608401
2013-09-30,KREN,IDR,2013,Q3,23390496181,17137060795,-6400594476
2013-12-31,KREN,IDR,2013,Q4,53021162523,47126751973,14285105374
2014-03-31,KREN,IDR,2014,Q1,69693008961,68056101993,39595572125
2014-06-30,KREN,IDR,2014,Q2,54589780292,52842242122,21545301035
2014-09-30,KREN,IDR,2014,Q3,33482008606,31853214363,2587106631
2014-12-31,KREN,IDR,2014,Q4,37410894631,35955540675,2847595267
2015-03-31,KREN,IDR,2015,Q1,108842305879,108033355639,76569168546
2015-06-30,KREN,IDR,2015,Q2,19154444597,18682051505,-17137515375
2015-09-30,KREN,IDR,2015,Q3,-15922938149,-16319375295,-38069361382
2015-12-31,KREN,IDR,2015,Q4,74129959371,73744103573,34834707043
2016-03-31,KREN,IDR,2016,Q1,53504752229,53106725745,25370029842
2016-06-30,KREN,IDR,2016,Q2,80541568931,79075209474,44667268352
2016-09-30,KREN,IDR,2016,Q3,63162791190,64869448028,34134676880
2016-12-31,KREN,IDR,2016,Q4,98352960186,93579208598,60872348597
2017-03-31,KREN,IDR,2017,Q1,110810189788,105128825426,69789021355
2017-06-30,KREN,IDR,2017,Q2,124150583706,121646871331,81653732114
2017-09-30,KREN,IDR,2017,Q3,364991618995,363639100216,137721308112
2017-12-31,KREN,IDR,2017,Q4,967120286307,958059430458,1977677571
2018-03-31,KREN,IDR,2018,Q1,1348789654451,1344049635735,98945112286
2018-06-30,KREN,IDR,2018,Q2,1158553867023,1156505810011,66328975336
2018-09-30,KREN,IDR,2018,Q3,2000920950708,1995034515553,136601776402
2018-12-31,KREN,IDR,2018,Q4,3109145890557,3104707687894,201686380415
2019-03-31,KREN,IDR,2019,Q1,2204757024238,2200371571958,116415667848
2019-06-30,KREN,IDR,2019,Q2,2652371699756,2647309768800,26085125540
2019-09-30,KREN,IDR,2019,Q3,3441136676185,3436316832341,24888449535
2019-12-31,KREN,IDR,2019,Q4,3336947599538,3330883348597,48445640315
2020-03-31,KREN,IDR,2020,Q1,2704814842079,2697525927595,-136084809077
2020-06-30,KREN,IDR,2020,Q2,3242500698371,3237212670451,-35625228481
2020-09-30,KREN,IDR,2020,Q3,2292692326644,2287107742908,-241649291053
2020-12-31,KREN,IDR,2020,Q4,2656668973270,2652313998144,-41356667758
2021-03-31,KREN,IDR,2021,Q1,3280960594733,3276295332297,-55814602520
2021-06-30,KREN,IDR,2021,Q2,2982836504778,2976989271415,-68586839496
2021-09-30,KREN,IDR,2021,Q3,3011317997426,3005378855371,-256521848782
2021-12-31,KREN,IDR,2021,Q4,3161665886283,3156895775420,-78007684875
2022-03-31,KREN,IDR,2022,Q1,3042493288374,3037121009204,4350908994
2022-06-30,KREN,IDR,2022,Q2,3246564913639,3241148973182,-33171486686
2022-09-30,KREN,IDR,2022,Q3,2946036062232,2940896447069,-12858182326
2022-12-31,KREN,IDR,2022,Q4,3034056957299,3031594436056,-72101087843
2023-03-31,KREN,IDR,2023,Q1,3538609080471,3534660346134,-29899747919
2023-06-30,KREN,IDR,2023,Q2,3019697533649,3015665702719,-11006108354
2023-09-30,KREN,IDR,2023,Q3,2674449563414,2669752081581,-8541130064
2023-12-31,KREN,IDR,2023,Q4,2448648418576,2441450245976,-6284074460
2024-03-31,KREN,IDR,2024,Q1,2280411393838,2276980885380,-10895153305
2024-06-30,KREN,IDR,2024,Q2,1928189329219,1924882063240,-15333381932
2024-09-30,KREN,IDR,2024,Q3,1593764522330,1584263763565,-562049374
2024-12-31,KREN,IDR,2024,Q4,1325229339436,1319856025599,-6354669660
2025-03-31,KREN,IDR,2025,Q1,1288850826000,1285611470000,-4161712000
2025-06-30,KREN,IDR,2025,Q2,1159922459000,1156594012000,-27093591000
2025-09-30,KREN,IDR,2025,Q3,1115806822000,2888314000,-96885697000
2025-12-31,KREN,IDR,2025,Q4,1152404507000,40994320000,-1554420000
2026-03-31,KREN,IDR,2026,Q1,813769022021,12246299553,-32168151747
2026-06-30,KREN,IDR,2026,Q2,699042005664,30475583274,-2395305524
