date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-12-31,LABA,IDR,2019,Q4,7095963728,6396765561,1725629399
2020-03-31,LABA,IDR,2020,Q1,3907217625,228119130,-978100848
2020-06-30,LABA,IDR,2020,Q2,3907217624,228119130,-978100848
2020-09-30,LABA,IDR,2020,Q3,2804954928,2285441268,-782802401
2020-12-31,LABA,IDR,2020,Q4,3220779529,1062624207,-615444371
2021-03-31,LABA,IDR,2021,Q1,2586563610,611128471,27251449828
2021-06-30,LABA,IDR,2021,Q2,2152589648,-634606089,-12693203023
2021-09-30,LABA,IDR,2021,Q3,2445039094,731638548,8054414920
2021-12-31,LABA,IDR,2021,Q4,2276188733,-414680724,-3299627178
2022-03-31,LABA,IDR,2022,Q1,3330596443,491895612,-861665390
2022-06-30,LABA,IDR,2022,Q2,2892993054,228065886,-1814465675
2022-09-30,LABA,IDR,2022,Q3,3973365714,1558773866,-656696493
2022-12-31,LABA,IDR,2022,Q4,5445992678,-1479286076,-1211888120
2023-03-31,LABA,IDR,2023,Q1,3219724643,2920334,-2081688087
2023-06-30,LABA,IDR,2023,Q2,2412530529,-343012326,-1937155216
2023-09-30,LABA,IDR,2023,Q3,2470989413,1433599183,117357243
2023-12-31,LABA,IDR,2023,Q4,3007585814,50037704,-37293875
2024-03-31,LABA,IDR,2024,Q1,1558907865,-161107614,-1168442649
2024-06-30,LABA,IDR,2024,Q2,1285703713,887017074,-1485772336
2024-09-30,LABA,IDR,2024,Q3,1984612337,-789748517,-3273795240
2024-12-31,LABA,IDR,2024,Q4,16790952415,1221073575,-2791444512
2025-03-31,LABA,IDR,2025,Q1,8491484349,5328444657,1853997311
2025-06-30,LABA,IDR,2025,Q2,7506749696,5111386517,900374118
2025-09-30,LABA,IDR,2025,Q3,15302990000,8268173000,3756406000
2025-12-31,LABA,IDR,2025,Q4,-106338000,-7532464000,12749253000
2026-03-31,LABA,IDR,2026,Q1,3361698340,2062575977,4531668048
