date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2021-03-31,LEAD,IDR,2021,Q1,84835907818,9563365979,-13822503795
2021-06-30,LEAD,IDR,2021,Q2,85705729704,1618765142,-21055830174
2021-09-30,LEAD,IDR,2021,Q3,117899776519,38571567460,10054831246
2021-12-31,LEAD,IDR,2021,Q4,121948261909,16604548286,-13042824941
2022-03-31,LEAD,IDR,2022,Q1,92843432568,9819885474,-11150176727
2022-06-30,LEAD,IDR,2022,Q2,97388928326,-3525965295,-33103619009
2022-09-30,LEAD,IDR,2022,Q3,121128451833,28281239955,-12983100816
2022-12-31,LEAD,IDR,2022,Q4,128094927801,11256034568,-32201011704
2023-03-31,LEAD,IDR,2023,Q1,120642094603,15445116612,-21074688477
2023-06-30,LEAD,IDR,2023,Q2,112964057233,15434682636,-24123157430
2023-09-30,LEAD,IDR,2023,Q3,133179302507,23855790230,-34721106584
2023-12-31,LEAD,IDR,2023,Q4,132693879000,10870617000,-1841560000
2024-03-31,LEAD,IDR,2024,Q1,182603724000,51142293000,792335000
2024-06-30,LEAD,IDR,2024,Q2,171736667000,64861647000,-4390926000
2024-09-30,LEAD,IDR,2024,Q3,184599993000,80450949000,31619961000
2024-12-31,LEAD,IDR,2024,Q4,205016836000,48991714000,27697247000
2025-03-31,LEAD,IDR,2025,Q1,161366809000,53610392000,2403075000
2025-06-30,LEAD,IDR,2025,Q2,141545962000,43360460000,388416000
2025-09-30,LEAD,IDR,2025,Q3,180662577000,53034208000,11487862000
2025-12-31,LEAD,IDR,2025,Q4,188574268000,79064433000,198281917000
2026-03-31,LEAD,IDR,2026,Q1,126304763000,12653204000,-20106689000
