date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-03-31,LIFE,IDR,2016,Q1,2183094010000,2183094010000,1686430000
2016-06-30,LIFE,IDR,2016,Q2,2132839640000,2132839640000,108519490000
2016-09-30,LIFE,IDR,2016,Q3,-4255113150000,-4255113150000,-69063820000
2016-12-31,LIFE,IDR,2016,Q4,7281949500000,7281949500000,308308900000
2017-03-31,LIFE,IDR,2017,Q1,1383916710000,1383916710000,131232380000
2017-06-30,LIFE,IDR,2017,Q2,1292869490000,1292869490000,107802300000
2017-09-30,LIFE,IDR,2017,Q3,1241144580000,1241144580000,121840360000
2017-12-31,LIFE,IDR,2017,Q4,1308306220000,1308306220000,94759960000
2018-03-31,LIFE,IDR,2018,Q1,1478396250000,1478396250000,77480420000
2018-06-30,LIFE,IDR,2018,Q2,882011750000,882011750000,54533580000
2018-09-30,LIFE,IDR,2018,Q3,1538616000000,1538616000000,124625000000
2018-12-31,LIFE,IDR,2018,Q4,1063237000000,958608000000,85897000000
2019-03-31,LIFE,IDR,2019,Q1,1270582000000,1197109000000,87491000000
2019-06-30,LIFE,IDR,2019,Q2,998626000000,930262000000,106341000000
2019-09-30,LIFE,IDR,2019,Q3,1048603000000,965392000000,69694000000
2019-12-31,LIFE,IDR,2019,Q4,1128868000000,1035468000000,23158000000
2020-03-31,LIFE,IDR,2020,Q1,178197000000,98303000000,80968000000
2020-06-30,LIFE,IDR,2020,Q2,1008681000000,934993000000,92214000000
2020-09-30,LIFE,IDR,2020,Q3,1135311000000,1055732000000,79963000000
2020-12-31,LIFE,IDR,2020,Q4,2029014000000,1965496000000,77794000000
2021-03-31,LIFE,IDR,2021,Q1,1150304000000,1078102000000,81157000000
2021-06-30,LIFE,IDR,2021,Q2,752830000000,657168000000,39862000000
2021-09-30,LIFE,IDR,2021,Q3,852935000000,768329000000,-9021000000
2021-12-31,LIFE,IDR,2021,Q4,1287686000000,1147469000000,-38174000000
2022-03-31,LIFE,IDR,2022,Q1,871824000000,761086000000,132109000000
2022-06-30,LIFE,IDR,2022,Q2,703688000000,594962000000,61542000000
2022-09-30,LIFE,IDR,2022,Q3,1025442000000,899645000000,47655000000
2022-12-31,LIFE,IDR,2022,Q4,811158000000,682873000000,126467000000
2023-03-31,LIFE,IDR,2023,Q1,697011000000,556282000000,67683000000
2023-06-30,LIFE,IDR,2023,Q2,867029000000,700785000000,90275000000
2023-09-30,LIFE,IDR,2023,Q3,865170000000,690479000000,-27710000000
2023-12-31,LIFE,IDR,2023,Q4,1029422000000,768129000000,-3760000000
2024-03-31,LIFE,IDR,2024,Q1,1048771000000,866080000000,87057000000
2024-06-30,LIFE,IDR,2024,Q2,606278000000,424543000000,63930000000
2024-09-30,LIFE,IDR,2024,Q3,1119551000000,919961000000,81126000000
2024-12-31,LIFE,IDR,2024,Q4,949329000000,727524000000,119344000000
2025-03-31,LIFE,IDR,2025,Q1,788578000000,608513000000,12542000000
2025-06-30,LIFE,IDR,2025,Q2,542809000000,205436000000,94569000000
2025-09-30,LIFE,IDR,2025,Q3,871702000000,871702000000,68647000000
2025-12-31,LIFE,IDR,2025,Q4,878648000000,878648000000,30470000000
2026-03-31,LIFE,IDR,2026,Q1,559316000000,387857000000,74452000000
