date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,LRNA,IDR,2013,Q1,34082483210,11128154148,385543202
2013-06-30,LRNA,IDR,2013,Q2,36014321263,12023199227,239270739
2013-09-30,LRNA,IDR,2013,Q3,50553766340,14137738302,6383651063
2013-12-31,LRNA,IDR,2013,Q4,33663700060,6672236451,-3814208354
2014-03-31,LRNA,IDR,2014,Q1,28644869858,8758171146,44878145
2014-06-30,LRNA,IDR,2014,Q2,30886790049,10866563778,1849033492
2014-09-30,LRNA,IDR,2014,Q3,44186296509,7343741538,91819092
2014-12-31,LRNA,IDR,2014,Q4,38256557330,19097364311,-17834742
2015-03-31,LRNA,IDR,2015,Q1,33944666525,9368542528,536992835
2015-06-30,LRNA,IDR,2015,Q2,37920241467,11129586027,176976741
2015-09-30,LRNA,IDR,2015,Q3,52378966670,15338558712,-52100660
2015-12-31,LRNA,IDR,2015,Q4,38787301062,1011424100,-2141073739
2016-03-31,LRNA,IDR,2016,Q1,26522005250,1889834480,-5473793512
2016-06-30,LRNA,IDR,2016,Q2,33419686407,3443732198,-7134934218
2016-09-30,LRNA,IDR,2016,Q3,42442161981,1559136333,-8233751397
2016-12-31,LRNA,IDR,2016,Q4,24393027796,3568562523,-7646506883
2017-03-31,LRNA,IDR,2017,Q1,22984487065,-3141503512,-12716461984
2017-06-30,LRNA,IDR,2017,Q2,28513547562,4649550307,-4951653472
2017-09-30,LRNA,IDR,2017,Q3,29276390368,-3898418731,-14386930400
2017-12-31,LRNA,IDR,2017,Q4,25844954459,388519090,-6428364605
2018-03-31,LRNA,IDR,2018,Q1,19311133780,-4537433668,-13647943639
2018-06-30,LRNA,IDR,2018,Q2,29004136066,4327432233,-5218608732
2018-09-30,LRNA,IDR,2018,Q3,26374677120,-330426938,-9155019394
2018-12-31,LRNA,IDR,2018,Q4,27552473629,6036977059,-1852497051
2019-03-31,LRNA,IDR,2019,Q1,22631565347,2354713612,-5346465369
2019-06-30,LRNA,IDR,2019,Q2,38126807446,12951498777,5733367963
2019-09-30,LRNA,IDR,2019,Q3,28767144536,4674726907,-2592219414
2019-12-31,LRNA,IDR,2019,Q4,35053952640,7499487274,-4651823811
2020-03-31,LRNA,IDR,2020,Q1,20969538241,-3569659718,-11461934152
2020-06-30,LRNA,IDR,2020,Q2,10247260906,-5480069508,-13892895051
2020-09-30,LRNA,IDR,2020,Q3,16325501901,-1910987794,-7774677847
2020-12-31,LRNA,IDR,2020,Q4,17504471313,-527157761,-9897552339
2021-03-31,LRNA,IDR,2021,Q1,17080338832,-2042135148,-7119820292
2021-06-30,LRNA,IDR,2021,Q2,19554712902,183896494,-3772727810
2021-09-30,LRNA,IDR,2021,Q3,14205903843,-1820681974,-6867479305
2021-12-31,LRNA,IDR,2021,Q4,19359952547,78040461,-8706805346
2022-03-31,LRNA,IDR,2022,Q1,17221287395,746348989,-3644996017
2022-06-30,LRNA,IDR,2022,Q2,27723147372,3789360744,-3084110232
2022-09-30,LRNA,IDR,2022,Q3,23036260452,1263760494,-3887220043
2022-12-31,LRNA,IDR,2022,Q4,25122225717,-1691652304,-10695598535
2023-03-31,LRNA,IDR,2023,Q1,18486318275,3175787341,-2110846873
2023-06-30,LRNA,IDR,2023,Q2,29317982474,12143527284,5512441388
2023-09-30,LRNA,IDR,2023,Q3,22736222619,4589796187,-1255356994
2023-12-31,LRNA,IDR,2023,Q4,22418080131,3407812138,-2923439952
2024-03-31,LRNA,IDR,2024,Q1,19061864000,-3928681000,-9438306000
2024-06-30,LRNA,IDR,2024,Q2,28525942251,3430201504,-3790258489
2024-09-30,LRNA,IDR,2024,Q3,17885593022,-4882193377,-10753795076
2024-12-31,LRNA,IDR,2024,Q4,15456887131,8292896030,7281940678
2025-03-31,LRNA,IDR,2025,Q1,16501425000,1062368000,-6960390000
2025-06-30,LRNA,IDR,2025,Q2,18452520000,2459256000,-5377043000
2025-09-30,LRNA,IDR,2025,Q3,12464767333,-6892031076,-10148595771
2025-12-31,LRNA,IDR,2025,Q4,12102257540,525774741,-636224762
2026-03-31,LRNA,IDR,2026,Q1,14384186788,1977753549,-6673755806
2026-06-30,LRNA,IDR,2026,Q2,12248171040,-3131164916,-9150004071
