date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-06-30,LUCY,IDR,2020,Q2,4318868546,2683606641,-715349563
2020-12-31,LUCY,IDR,2020,Q4,7356442942,3137604379,984493659
2021-06-30,LUCY,IDR,2021,Q2,6339625975,3942519364,328245275
2021-12-31,LUCY,IDR,2021,Q4,8101374734,3521776601,-70127168
2022-03-31,LUCY,IDR,2022,Q1,10756920730,7106604405,1446432922
2022-06-30,LUCY,IDR,2022,Q2,21513841460,12169356031,3287087416
2022-09-30,LUCY,IDR,2022,Q3,22313115094,12085354897,1406223672
2022-12-31,LUCY,IDR,2022,Q4,22313115094,12085354897,1406223672
2023-03-31,LUCY,IDR,2023,Q1,20999676905,12141286260,895103514
2023-06-30,LUCY,IDR,2023,Q2,41999353809,20837487762,1790207027
2023-09-30,LUCY,IDR,2023,Q3,29445549333,16808908586,-582168358
2023-12-31,LUCY,IDR,2023,Q4,58891099000,27524134000,-1216409000
2024-03-31,LUCY,IDR,2024,Q1,19606736000,13124334000,-3475122000
2024-06-30,LUCY,IDR,2024,Q2,19606736000,13124334000,-3475122000
2024-09-30,LUCY,IDR,2024,Q3,30732968000,18322441000,-2832612000
2024-12-31,LUCY,IDR,2024,Q4,61465935000,28546051000,-5665225000
2025-03-31,LUCY,IDR,2025,Q1,20782365000,13378762000,-5181411000
2025-06-30,LUCY,IDR,2025,Q2,20782365000,13378762000,-5181411000
2025-09-30,LUCY,IDR,2025,Q3,20470548034,5114627011,-16422732357
2025-12-31,LUCY,IDR,2025,Q4,40941096000,292676000,-32845465000
