date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-03-31,MAHA,IDR,2022,Q1,305133999000,61366710000,32607282000
2022-12-31,MAHA,IDR,2022,Q4,487729119286,158765120620,130267680265
2023-03-31,MAHA,IDR,2023,Q1,455360615000,117478676000,41026288048
2023-06-30,MAHA,IDR,2023,Q2,429414943890,91419902851,-96094259874
2023-09-30,MAHA,IDR,2023,Q3,513101332000,127370420786,176981408340
2023-12-31,MAHA,IDR,2023,Q4,579853275206,159817405133,145488540577
2024-03-31,MAHA,IDR,2024,Q1,622679482104,131928049662,73204885874
2024-06-30,MAHA,IDR,2024,Q2,614270099328,82310413119,27946389033
2024-09-30,MAHA,IDR,2024,Q3,634166112000,139340110000,119056469000
2024-12-31,MAHA,IDR,2024,Q4,672902081000,150945513000,76509323000
2025-03-31,MAHA,IDR,2025,Q1,641036185000,96517060000,11032579000
2025-06-30,MAHA,IDR,2025,Q2,590335258000,64345716000,1864961000
2025-09-30,MAHA,IDR,2025,Q3,793137961000,187822007000,67407264000
2025-12-31,MAHA,IDR,2025,Q4,897805781000,235423374000,162222283000
2026-03-31,MAHA,IDR,2026,Q1,724485868000,120198394000,86981395000
2026-06-30,MAHA,IDR,2026,Q2,927177221000,153203811000,55148595000
