date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2008-09-30,MAIN,IDR,2008,Q3,445448208000,58510718000,15742785000
2009-03-31,MAIN,IDR,2009,Q1,479066427000,50510653000,10577811000
2009-06-30,MAIN,IDR,2009,Q2,446709974000,45478751000,14592186000
2009-09-30,MAIN,IDR,2009,Q3,493791558000,68290698000,31482274000
2010-03-31,MAIN,IDR,2010,Q1,457629340000,54690152000,12265197000
2010-06-30,MAIN,IDR,2010,Q2,449233788000,82117250000,37145425000
2010-09-30,MAIN,IDR,2010,Q3,548896577000,118521980000,62745672000
2010-12-31,MAIN,IDR,2010,Q4,580759159000,133028756000,67794966000
2011-03-31,MAIN,IDR,2011,Q1,650793574000,87228125000,30331442000
2011-06-30,MAIN,IDR,2011,Q2,620663766000,98778637000,48251023000
2011-09-30,MAIN,IDR,2011,Q3,688585900000,143700262000,73591445000
2011-12-31,MAIN,IDR,2011,Q4,674417323000,130983486000,52792409000
2012-03-31,MAIN,IDR,2012,Q1,758090398000,152482649000,71371393000
2012-06-30,MAIN,IDR,2012,Q2,889485140000,216509813000,113330389000
2012-09-30,MAIN,IDR,2012,Q3,868731837000,165929940000,82639984000
2012-12-31,MAIN,IDR,2012,Q4,833259363000,103519556000,35659676000
2013-03-31,MAIN,IDR,2013,Q1,941864970000,173275635000,78342918000
2013-06-30,MAIN,IDR,2013,Q2,1052730246000,205342742000,97855899000
2013-09-30,MAIN,IDR,2013,Q3,1114882648000,220836993000,66084827000
2013-12-31,MAIN,IDR,2013,Q4,1083604601000,118453732000,-1036627000
2014-03-31,MAIN,IDR,2014,Q1,1083698627000,129927808000,58202146000
2014-06-30,MAIN,IDR,2014,Q2,1216632825000,165098542000,28975052000
2014-09-30,MAIN,IDR,2014,Q3,1095800876000,40746781000,-68643163000
2014-12-31,MAIN,IDR,2014,Q4,1105945799000,-13446133000,-103094483000
2015-03-31,MAIN,IDR,2015,Q1,1122174893000,75464018000,-59745994000
2015-06-30,MAIN,IDR,2015,Q2,1182864389000,104687063000,-24260393000
2015-09-30,MAIN,IDR,2015,Q3,1229361524000,182037711000,13053712000
2015-12-31,MAIN,IDR,2015,Q4,1240613966000,177726816000,8117948000
2016-03-31,MAIN,IDR,2016,Q1,1300339608000,236891252000,52156217000
2016-06-30,MAIN,IDR,2016,Q2,1449474519000,267923987000,115685403000
2016-09-30,MAIN,IDR,2016,Q3,1210379987000,230630172000,65402443000
2016-12-31,MAIN,IDR,2016,Q4,1286145927000,188476850000,56548756000
2017-03-31,MAIN,IDR,2017,Q1,1268744624000,165626926000,24635604000
2017-06-30,MAIN,IDR,2017,Q2,1438557571000,175518560000,2290648000
2017-09-30,MAIN,IDR,2017,Q3,1350503108000,126656456000,-24148667000
2017-12-31,MAIN,IDR,2017,Q4,1383590532000,96645674000,46106642000
2018-03-31,MAIN,IDR,2018,Q1,1473843105000,197702836000,50423608000
2018-06-30,MAIN,IDR,2018,Q2,1598789197000,228036737000,70657245000
2018-09-30,MAIN,IDR,2018,Q3,1765873460000,277246030000,65677497000
2018-12-31,MAIN,IDR,2018,Q4,1867386973000,239216114000,98040537000
2019-03-31,MAIN,IDR,2019,Q1,1944816763000,237938665000,91333882000
2019-06-30,MAIN,IDR,2019,Q2,1927343881000,210426958000,54602259000
2019-09-30,MAIN,IDR,2019,Q3,1797342247000,212451722000,49460570000
2019-12-31,MAIN,IDR,2019,Q4,1785417192000,240867170000,-42908477000
2020-03-31,MAIN,IDR,2020,Q1,1692647276000,144732223000,14082901000
2020-06-30,MAIN,IDR,2020,Q2,1500181339000,87673643000,-58303565000
2020-09-30,MAIN,IDR,2020,Q3,1816553044000,147707247000,-28288120000
2020-12-31,MAIN,IDR,2020,Q4,1991188753000,273400826000,33670109000
2021-03-31,MAIN,IDR,2021,Q1,2145910370000,239825498000,88905358000
2021-06-30,MAIN,IDR,2021,Q2,2433241629000,214340001000,39698606000
2021-09-30,MAIN,IDR,2021,Q3,2135799858000,-14215533000,-109939055000
2021-12-31,MAIN,IDR,2021,Q4,2415666538000,117930224000,41711176000
2022-03-31,MAIN,IDR,2022,Q1,2754005793000,203870323000,10474295000
2022-06-30,MAIN,IDR,2022,Q2,2754873188000,132039251000,-77063445000
2022-09-30,MAIN,IDR,2022,Q3,2862022730000,199887433000,15613194000
2022-12-31,MAIN,IDR,2022,Q4,2730745564000,158081956000,77207108000
2023-03-31,MAIN,IDR,2023,Q1,2679247832000,62445202000,-172874654000
2023-06-30,MAIN,IDR,2023,Q2,2971627248000,279088184000,42257632000
2023-09-30,MAIN,IDR,2023,Q3,3319426379000,404051384000,176418612000
2023-12-31,MAIN,IDR,2023,Q4,3087721626000,197034673000,17559373000
2024-03-31,MAIN,IDR,2024,Q1,3247364113000,385565170000,87653203000
2024-06-30,MAIN,IDR,2024,Q2,3244039201000,534734126000,204650850000
2024-09-30,MAIN,IDR,2024,Q3,2953545278000,274147525000,66673929000
2024-12-31,MAIN,IDR,2024,Q4,3057877969000,356063523000,129051435000
2025-03-31,MAIN,IDR,2025,Q1,3171104283000,327974109000,62893903000
2025-06-30,MAIN,IDR,2025,Q2,2934407562000,130387246000,-35923192000
2025-09-30,MAIN,IDR,2025,Q3,3139611385000,307115498000,108675919000
2025-12-31,MAIN,IDR,2025,Q4,3447748281000,519466150000,257969147000
2026-03-31,MAIN,IDR,2026,Q1,3697959175000,402733501000,123274730000
2026-06-30,MAIN,IDR,2026,Q2,3606970241000,198684666000,-24381955000
