date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-03-31,MAPB,IDR,2016,Q1,371041000000,257061000000,21901500000
2016-06-30,MAPB,IDR,2016,Q2,371041000000,257061000000,21901500000
2016-09-30,MAPB,IDR,2016,Q3,439396000000,321228000000,40246000000
2016-12-31,MAPB,IDR,2016,Q4,442386000000,321170000000,31901000000
2017-03-31,MAPB,IDR,2017,Q1,438904000000,321475000000,15309000000
2017-06-30,MAPB,IDR,2017,Q2,440631000000,314107000000,5315000000
2017-09-30,MAPB,IDR,2017,Q3,484620000000,352686000000,34683000000
2017-12-31,MAPB,IDR,2017,Q4,527881000000,378386000000,39150000000
2018-03-31,MAPB,IDR,2018,Q1,535447000000,389145000000,32300000000
2018-06-30,MAPB,IDR,2018,Q2,539364000000,390495000000,25820000000
2018-09-30,MAPB,IDR,2018,Q3,753377000000,535748000000,48884000000
2018-12-31,MAPB,IDR,2018,Q4,688706000000,485171000000,14891000000
2019-03-31,MAPB,IDR,2019,Q1,699164000000,493051000000,24891000000
2019-06-30,MAPB,IDR,2019,Q2,735380000000,535312000000,32909000000
2019-09-30,MAPB,IDR,2019,Q3,789717000000,570697000000,47294000000
2019-12-31,MAPB,IDR,2019,Q4,870619000000,618805000000,60631000000
2020-03-31,MAPB,IDR,2020,Q1,677839000000,482092000000,-15423000000
2020-06-30,MAPB,IDR,2020,Q2,281958000000,183978000000,-99330000000
2020-09-30,MAPB,IDR,2020,Q3,497555000000,322650000000,-33634000000
2020-12-31,MAPB,IDR,2020,Q4,586954000000,386897000000,-16410000000
2021-03-31,MAPB,IDR,2021,Q1,551637000000,370962000000,-22828000000
2021-06-30,MAPB,IDR,2021,Q2,624373000000,419442000000,2760000000
2021-09-30,MAPB,IDR,2021,Q3,476128000000,311964000000,-53971000000
2021-12-31,MAPB,IDR,2021,Q4,779245000000,537371000000,64112000000
2022-03-31,MAPB,IDR,2022,Q1,709610000000,493681000000,41623000000
2022-06-30,MAPB,IDR,2022,Q2,847597000000,582648000000,34693000000
2022-09-30,MAPB,IDR,2022,Q3,900847000000,613305000000,30501000000
2022-12-31,MAPB,IDR,2022,Q4,979054000000,662537000000,39479000000
2023-03-31,MAPB,IDR,2023,Q1,956829000000,653200000000,20497000000
2023-06-30,MAPB,IDR,2023,Q2,1042377000000,714101000000,37723000000
2023-09-30,MAPB,IDR,2023,Q3,1072674000000,753991000000,63123000000
2023-12-31,MAPB,IDR,2023,Q4,927573000000,483915000000,-16694000000
2024-03-31,MAPB,IDR,2024,Q1,787631000000,399621000000,-22234000000
2024-06-30,MAPB,IDR,2024,Q2,838085000000,428808000000,-27882000000
2024-09-30,MAPB,IDR,2024,Q3,795623000000,705631000000,-29018000000
2024-12-31,MAPB,IDR,2024,Q4,806794000000,567007000000,-67014000000
2025-03-31,MAPB,IDR,2025,Q1,719612000000,502182000000,-53370000000
2025-06-30,MAPB,IDR,2025,Q2,800930000000,554530000000,-26836000000
2025-09-30,MAPB,IDR,2025,Q3,833841000000,578102000000,-28487000000
2025-12-31,MAPB,IDR,2025,Q4,881660000000,457322000000,-42074000000
2026-03-31,MAPB,IDR,2026,Q1,805726000000,546361000000,-51783000000
