date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2008-03-31,MASA,USD,2008,Q1,34506428,7762109,2821467
2008-12-31,MASA,USD,2008,Q4,13998309,2936831,-7035622.197588
2009-03-31,MASA,USD,2009,Q1,36024241,6844338,-164384.486024
2009-12-31,MASA,USD,2009,Q4,55168858,13412753,5688727
2010-03-31,MASA,USD,2010,Q1,57124629,13124727,6030757
2010-06-30,MASA,USD,2010,Q2,53050907,10226484,3748399
2010-09-30,MASA,USD,2010,Q3,60199033,11512237,3093444
2010-12-31,MASA,USD,2010,Q4,49775777,12934048,6443594
2011-03-31,MASA,USD,2011,Q1,75431750,15014347,7576570
2011-06-30,MASA,USD,2011,Q2,85123306,15038225,6606023
2011-09-30,MASA,USD,2011,Q3,71074038,12899234,1036821
2011-12-31,MASA,USD,2011,Q4,84327975,15873066,579597
2012-03-31,MASA,USD,2012,Q1,86598343,16844167,1906740
2012-06-30,MASA,USD,2012,Q2,84122617,15691796,-1237149.70052
2012-09-30,MASA,USD,2012,Q3,70468383,11446415,530173
2012-12-31,MASA,USD,2012,Q4,79692104,3805264,-915065.500054
2013-03-31,MASA,USD,2013,Q1,86649404,12368108,1861963
2013-06-30,MASA,USD,2013,Q2,86191640,12504819,-42282
2013-09-30,MASA,USD,2013,Q3,76409399,11436670,-544514
2013-12-31,MASA,USD,2013,Q4,74641044,12360332,2397268
2014-03-31,MASA,USD,2014,Q1,73616915,11122210,2469513
2014-06-30,MASA,USD,2014,Q2,76446573,12173131,-1051350
2014-09-30,MASA,USD,2014,Q3,70768499,10027405,-190553
2014-12-31,MASA,USD,2014,Q4,63472851,11872956,-699530
2015-03-31,MASA,USD,2015,Q1,67316783,9546057,-2547776
2015-06-30,MASA,USD,2015,Q2,65261687,7610635,-2039071
2015-09-30,MASA,USD,2015,Q3,53878700,3623149,-12620976
2015-12-31,MASA,USD,2015,Q4,50565084,-3106395,-9582528
2016-03-31,MASA,USD,2016,Q1,62153455,6262025,-1323780
2016-06-30,MASA,USD,2016,Q2,60918677,8598581,319401
2016-09-30,MASA,USD,2016,Q3,53604891,6553249,-1506294
2016-12-31,MASA,USD,2016,Q4,53123549,7159213,-4178362
2017-03-31,MASA,USD,2017,Q1,65071677,9974002,-309876
2017-06-30,MASA,USD,2017,Q2,63323942,8040841,-2031378
2017-09-30,MASA,USD,2017,Q3,80047337,9570928,-2722952
2017-12-31,MASA,USD,2017,Q4,72531861,7726953,-3010520
2018-03-31,MASA,USD,2018,Q1,79034135,12293337,-35649
2018-06-30,MASA,USD,2018,Q2,74036388,11178171,496283
2018-09-30,MASA,USD,2018,Q3,88357286,14035733,104037
2018-12-31,MASA,USD,2018,Q4,60419854,-9083091,-18467306
2019-03-31,MASA,USD,2019,Q1,87465002,6510047,-3995482
2019-06-30,MASA,USD,2019,Q2,75082330,4678407,-7065815
2019-09-30,MASA,USD,2019,Q3,87469553,12958794,-2469287
2019-12-31,MASA,USD,2019,Q4,68246412,10934885,2341592
2020-03-31,MASA,USD,2020,Q1,59803795,7727556,1377807
2020-06-30,MASA,USD,2020,Q2,48436627,5835079,-3785970
2020-09-30,MASA,USD,2020,Q3,87950632,25978007,15461683
2020-12-31,MASA,USD,2020,Q4,93416800,18447571,20107054
2021-03-31,MASA,USD,2021,Q1,110093873,35607877,24731561
2021-06-30,MASA,USD,2021,Q2,89026589,32476983,14578859
2021-09-30,MASA,USD,2021,Q3,91698098,27195325,7425059
2021-12-31,MASA,USD,2021,Q4,172386411,48687534,14238450
2022-03-31,MASA,USD,2022,Q1,150292701,54090867,29134808
2022-06-30,MASA,USD,2022,Q2,124678657,51302107,25806175
2022-09-30,MASA,USD,2022,Q3,104280140,28112798,10885164
2022-12-31,MASA,USD,2022,Q4,85414303,8236633,-12918078
2023-03-31,MASA,USD,2023,Q1,110497478,38717590,18113778
2023-06-30,MASA,USD,2023,Q2,127288060,49137666,28439961
2023-09-30,MASA,USD,2023,Q3,140799379,58638680,23987308
2023-12-31,MASA,USD,2023,Q4,110306136,49225585,4800671
2024-03-31,MASA,USD,2024,Q1,119443410,52213034,13360275
2024-06-30,MASA,USD,2024,Q2,99876154,38364913,11337071
2024-09-30,MASA,USD,2024,Q3,101287280,37128013,5367070
2024-12-31,MASA,USD,2024,Q4,100833658,35857060,4834060
2025-03-31,MASA,USD,2025,Q1,104670148,40803874,10582828
2025-06-30,MASA,USD,2025,Q2,107570959,44731767,11697486
