date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,MEGA,IDR,2011,Q1,1249738000000,662647000000,241886000000
2011-06-30,MEGA,IDR,2011,Q2,1293272000000,659182000000,189486000000
2011-09-30,MEGA,IDR,2011,Q3,1356584000000,726571000000,155327000000
2011-12-31,MEGA,IDR,2011,Q4,1940202000000,1306212000000,486653000000
2012-03-31,MEGA,IDR,2012,Q1,1562685000000,973957000000,497548000000
2012-06-30,MEGA,IDR,2012,Q2,1441346000000,945874000000,411994000000
2012-09-30,MEGA,IDR,2012,Q3,1413773000000,866558000000,138685000000
2012-12-31,MEGA,IDR,2012,Q4,1802428000000,1194906000000,329185000000
2013-03-31,MEGA,IDR,2013,Q1,1344325000000,845318000000,195683000000
2013-06-30,MEGA,IDR,2013,Q2,1104277000000,700391000000,49579000000
2013-09-30,MEGA,IDR,2013,Q3,1300610000000,817694000000,110974000000
2013-12-31,MEGA,IDR,2013,Q4,1573049000000,789472000000,168544000000
2014-03-31,MEGA,IDR,2014,Q1,1666008000000,846258000000,286027000000
2014-06-30,MEGA,IDR,2014,Q2,1904430000000,1182219000000,216144000000
2014-09-30,MEGA,IDR,2014,Q3,1467626000000,676110000000,85786000000
2014-12-31,MEGA,IDR,2014,Q4,1734428000000,834282000000,11281000000
2015-03-31,MEGA,IDR,2015,Q1,2122109000000,1287713000000,375900000000
2015-06-30,MEGA,IDR,2015,Q2,1798879000000,1014066000000,178391000000
2015-09-30,MEGA,IDR,2015,Q3,1739467000000,1030246000000,293565000000
2015-12-31,MEGA,IDR,2015,Q4,1938069000000,1111036000000,204915000000
2016-03-31,MEGA,IDR,2016,Q1,1851098000000,1124027000000,301287000000
2016-06-30,MEGA,IDR,2016,Q2,1788780000000,1159426000000,238642000000
2016-09-30,MEGA,IDR,2016,Q3,2261502000000,0,601472000000
2016-12-31,MEGA,IDR,2016,Q4,1717178000000,0,16599000000
2017-03-31,MEGA,IDR,2017,Q1,2035704000000,0,308498000000
2017-06-30,MEGA,IDR,2017,Q2,2104424000000,0,260016000000
2017-09-30,MEGA,IDR,2017,Q3,2174975000000,0,433204000000
2017-12-31,MEGA,IDR,2017,Q4,2333954000000,0,298325000000
2018-03-31,MEGA,IDR,2018,Q1,2101561000000,1227902000000,336132000000
2018-06-30,MEGA,IDR,2018,Q2,2218591000000,1302890000000,345585000000
2018-09-30,MEGA,IDR,2018,Q3,2161013000000,1321172000000,447448000000
2018-12-31,MEGA,IDR,2018,Q4,2427740000000,1428110000000,470182000000
2019-03-31,MEGA,IDR,2019,Q1,2322344000000,1395208000000,483686000000
2019-06-30,MEGA,IDR,2019,Q2,2375868000000,1383477000000,407702000000
2019-09-30,MEGA,IDR,2019,Q3,2414706000000,1433089000000,489590000000
2019-12-31,MEGA,IDR,2019,Q4,2756726000000,1613941000000,621755000000
2020-03-31,MEGA,IDR,2020,Q1,2698298000000,1590592000000,669392000000
2020-06-30,MEGA,IDR,2020,Q2,2504472000000,1467734000000,512557000000
2020-09-30,MEGA,IDR,2020,Q3,2449390000000,1446534000000,582467000000
2020-12-31,MEGA,IDR,2020,Q4,3380173000000,2264804000000,1243895000000
2021-03-31,MEGA,IDR,2021,Q1,2435757000000,1610019000000,747236000000
2021-06-30,MEGA,IDR,2021,Q2,2670569000000,1858353000000,815247000000
2021-09-30,MEGA,IDR,2021,Q3,2744403000000,1933437000000,967800000000
2021-12-31,MEGA,IDR,2021,Q4,3418194000000,2528386000000,1477768000000
2022-03-31,MEGA,IDR,2022,Q1,2359725000000,1651973000000,703713000000
2022-06-30,MEGA,IDR,2022,Q2,2598424000000,1931156000000,789623000000
2022-09-30,MEGA,IDR,2022,Q3,3004632000000,2249857000000,1147337000000
2022-12-31,MEGA,IDR,2022,Q4,3661603000000,2442710000000,1412005000000
2023-03-31,MEGA,IDR,2023,Q1,3178286000000,2018714000000,985381000000
2023-06-30,MEGA,IDR,2023,Q2,3359811000000,2149022000000,986442000000
2023-09-30,MEGA,IDR,2023,Q3,3019512000000,1855052000000,823100000000
2023-12-31,MEGA,IDR,2023,Q4,2958346000000,1615960000000,715747000000
2024-03-31,MEGA,IDR,2024,Q1,3067823000000,1800242000000,802513000000
2024-06-30,MEGA,IDR,2024,Q2,2958421000000,1631541000000,426339000000
2024-09-30,MEGA,IDR,2024,Q3,3118289000000,1806328000000,768823000000
2024-12-31,MEGA,IDR,2024,Q4,2985832000000,1484499000000,633379000000
2025-03-31,MEGA,IDR,2025,Q1,1637076000000,1566685000000,532492000000
2025-06-30,MEGA,IDR,2025,Q2,1848627000000,1823180000000,829267000000
2025-09-30,MEGA,IDR,2025,Q3,1981380000000,1861094000000,838147000000
2025-12-31,MEGA,IDR,2025,Q4,2250059000000,2105114000000,1164829000000
2026-03-31,MEGA,IDR,2026,Q1,1745621000000,930487000000,650980000000
2026-06-30,MEGA,IDR,2026,Q2,1710394000000,941223000000,625750000000
