date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2023-03-31,MKAP,IDR,2023,Q1,70769063178,27949909973,12183207036
2023-06-30,MKAP,IDR,2023,Q2,49304828140,21235193841,7123526129
2023-09-30,MKAP,IDR,2023,Q3,25397094636,-3791275032,1099692394
2023-12-31,MKAP,IDR,2023,Q4,86683388000,28316217000,11827572000
2024-03-31,MKAP,IDR,2024,Q1,79659546000,30711969000,15529832000
2024-06-30,MKAP,IDR,2024,Q2,60275058000,22502407000,6718121000
2024-09-30,MKAP,IDR,2024,Q3,71699209000,27364625000,11510256000
2024-12-31,MKAP,IDR,2024,Q4,144629124000,42905619000,6917064000
2025-03-31,MKAP,IDR,2025,Q1,127975737000,40355148000,18683064000
2025-06-30,MKAP,IDR,2025,Q2,72073747000,31151463000,10852141000
2025-09-30,MKAP,IDR,2025,Q3,67270947000,20997176000,16674138000
2025-12-31,MKAP,IDR,2025,Q4,138315885000,39425841000,9134834000
2026-03-31,MKAP,IDR,2026,Q1,89890868421,28788001702,6238009248
2026-06-30,MKAP,IDR,2026,Q2,90360100487,29702555504,10281293535
