date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,MLBI,IDR,2012,Q3,478864000000,295744000000,89421000000
2013-03-31,MLBI,IDR,2013,Q1,638851000000,417584000000,220029000000
2013-06-30,MLBI,IDR,2013,Q2,610753000000,375888000000,165119000000
2013-09-30,MLBI,IDR,2013,Q3,0,0,0
2013-12-31,MLBI,IDR,2013,Q4,1031700200000,685594200000,402347400000
2014-03-31,MLBI,IDR,2014,Q1,738142000000,428109000000,184184000000
2014-06-30,MLBI,IDR,2014,Q2,604560000000,370792000000,164032000000
2014-09-30,MLBI,IDR,2014,Q3,657463000000,379892000000,152367000000
2014-12-31,MLBI,IDR,2014,Q4,988336000000,627129000000,294125000000
2015-03-31,MLBI,IDR,2015,Q1,568986000000,308525000000,107331000000
2015-06-30,MLBI,IDR,2015,Q2,496525000000,268126000000,72238000000
2015-09-30,MLBI,IDR,2015,Q3,640508000000,333112000000,173853000000
2015-12-31,MLBI,IDR,2015,Q4,990299000000,651650000000,143290000000
2016-03-31,MLBI,IDR,2016,Q1,807395000000,492481000000,244510000000
2016-06-30,MLBI,IDR,2016,Q2,730560000000,453265000000,201323000000
2016-09-30,MLBI,IDR,2016,Q3,759720000000,555705000000,233089000000
2016-12-31,MLBI,IDR,2016,Q4,965636000000,646293000000,302903000000
2017-03-31,MLBI,IDR,2017,Q1,898954000000,596677000000,301646000000
2017-06-30,MLBI,IDR,2017,Q2,610443000000,376579000000,344007000000
2017-09-30,MLBI,IDR,2017,Q3,825198000000,567366000000,275028000000
2017-12-31,MLBI,IDR,2017,Q4,1055141000000,731082000000,401114000000
2018-03-31,MLBI,IDR,2018,Q1,734368000000,452716000000,212499000000
2018-06-30,MLBI,IDR,2018,Q2,775802000000,499086000000,251319000000
2018-09-30,MLBI,IDR,2018,Q3,948714000000,650957000000,335250000000
2018-12-31,MLBI,IDR,2018,Q4,1190731000000,859948000000,425518000000
2019-03-31,MLBI,IDR,2019,Q1,761759000000,485498000000,239501000000
2019-06-30,MLBI,IDR,2019,Q2,795598000000,520324000000,246126000000
2019-09-30,MLBI,IDR,2019,Q3,906387000000,583388000000,272364000000
2019-12-31,MLBI,IDR,2019,Q4,1247661000000,695844000000,447752000000
2020-03-31,MLBI,IDR,2020,Q1,627352000000,380242000000,139916000000
2020-06-30,MLBI,IDR,2020,Q2,172351000000,-13394000000,-76777000000
2020-09-30,MLBI,IDR,2020,Q3,491484000000,220962000000,89987000000
2020-12-31,MLBI,IDR,2020,Q4,693822000000,352416000000,132540000000
2021-03-31,MLBI,IDR,2021,Q1,581331000000,296384000000,148782000000
2021-06-30,MLBI,IDR,2021,Q2,554870000000,296596000000,132840000000
2021-09-30,MLBI,IDR,2021,Q3,536213000000,302365000000,130768000000
2021-12-31,MLBI,IDR,2021,Q4,801267000000,466352000000,253292000000
2022-03-31,MLBI,IDR,2022,Q1,673899000000,399040000000,202334000000
2022-06-30,MLBI,IDR,2022,Q2,652724000000,393896000000,191922000000
2022-09-30,MLBI,IDR,2022,Q3,792312000000,499768000000,212361000000
2022-12-31,MLBI,IDR,2022,Q4,995972000000,630987000000,318150000000
2023-03-31,MLBI,IDR,2023,Q1,740016000000,442645000000,203899000000
2023-06-30,MLBI,IDR,2023,Q2,761331000000,459451000000,253837000000
2023-09-30,MLBI,IDR,2023,Q3,768899000000,457424000000,235011000000
2023-12-31,MLBI,IDR,2023,Q4,1052036000000,656296000000,373431000000
2024-03-31,MLBI,IDR,2024,Q1,660914000000,391982000000,204806000000
2024-06-30,MLBI,IDR,2024,Q2,727934000000,429842000000,239374000000
2024-09-30,MLBI,IDR,2024,Q3,937268000000,599458000000,318387000000
2024-12-31,MLBI,IDR,2024,Q4,1057853000000,669536000000,379381000000
2025-03-31,MLBI,IDR,2025,Q1,669966000000,387423000000,194810000000
2025-06-30,MLBI,IDR,2025,Q2,801879000000,479895000000,230940000000
2025-09-30,MLBI,IDR,2025,Q3,896666000000,589002000000,298440000000
2025-12-31,MLBI,IDR,2025,Q4,1174017000000,795034000000,459154000000
2026-03-31,MLBI,IDR,2026,Q1,758543000000,459603000000,228989000000
