date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2014-03-31,MMLP,IDR,2014,Q1,30912217479,30912217479,11270572120
2014-06-30,MMLP,IDR,2014,Q2,30912217478,30912217478,11270572119
2014-09-30,MMLP,IDR,2014,Q3,39743045519,36089306346,-2907341242
2014-12-31,MMLP,IDR,2014,Q4,40350814458,35063180314,267087735539
2015-03-31,MMLP,IDR,2015,Q1,37151016787,33129060319,-1293580680
2015-06-30,MMLP,IDR,2015,Q2,41051378272,37256498195,9689752752
2015-09-30,MMLP,IDR,2015,Q3,41991500820,37943327833,1892866819
2015-12-31,MMLP,IDR,2015,Q4,43297683019,39103120237,104125593957
2016-03-31,MMLP,IDR,2016,Q1,43586708025,39423045603,25548770186
2016-06-30,MMLP,IDR,2016,Q2,44217327176,39468605152,16493849042
2016-09-30,MMLP,IDR,2016,Q3,43059486238,38651694036,22300289572
2016-12-31,MMLP,IDR,2016,Q4,44456222561,39331901209,277823300200
2017-03-31,MMLP,IDR,2017,Q1,44196000000,39494067000,19553878000
2017-06-30,MMLP,IDR,2017,Q2,54507640000,49344344000,46208396000
2017-09-30,MMLP,IDR,2017,Q3,53796580000,49195154000,17626515000
2017-12-31,MMLP,IDR,2017,Q4,56293976000,50614187000,168873632000
2018-03-31,MMLP,IDR,2018,Q1,67957662000,62239550000,27024538000
2018-06-30,MMLP,IDR,2018,Q2,75627489000,69025044000,22301681000
2018-09-30,MMLP,IDR,2018,Q3,76548364000,70013134000,28099068000
2018-12-31,MMLP,IDR,2018,Q4,79100572000,72560738000,143045740000
2019-03-31,MMLP,IDR,2019,Q1,81141727000,74765413000,34331168000
2019-06-30,MMLP,IDR,2019,Q2,80867504000,73842645000,21828468000
2019-09-30,MMLP,IDR,2019,Q3,83015582000,76075746000,68515095000
2019-12-31,MMLP,IDR,2019,Q4,88962560000,80737251000,-11495975000
2020-03-31,MMLP,IDR,2020,Q1,95303472000,88552032000,25224409000
2020-06-30,MMLP,IDR,2020,Q2,97967780000,91548277000,43865236000
2020-09-30,MMLP,IDR,2020,Q3,74643317000,65693943000,-206300566000
2020-12-31,MMLP,IDR,2020,Q4,68862232000,63597818000,-14647759000
2021-03-31,MMLP,IDR,2021,Q1,73140650000,67604444000,27991627000
2021-06-30,MMLP,IDR,2021,Q2,80875874000,73451382000,25914702000
2021-09-30,MMLP,IDR,2021,Q3,78778343000,70929905000,29803184000
2021-12-31,MMLP,IDR,2021,Q4,83777466000,101365983000,115143879000
2022-03-31,MMLP,IDR,2022,Q1,81202695000,80386905000,45871584000
2022-06-30,MMLP,IDR,2022,Q2,83917040000,83093236000,43353547000
2022-09-30,MMLP,IDR,2022,Q3,84134259000,83297245000,70967182000
2022-12-31,MMLP,IDR,2022,Q4,85269487000,84411352000,34353861000
2023-03-31,MMLP,IDR,2023,Q1,86228511000,80185234000,38093366000
2023-06-30,MMLP,IDR,2023,Q2,86825312000,80739568000,27613829000
2023-09-30,MMLP,IDR,2023,Q3,88252139000,82229885000,21054325000
2023-12-31,MMLP,IDR,2023,Q4,87043003000,80905913000,27337461000
2024-03-31,MMLP,IDR,2024,Q1,89386237000,83031304000,29666678000
2024-06-30,MMLP,IDR,2024,Q2,86697442000,79826246000,2715438000
2024-09-30,MMLP,IDR,2024,Q3,81035951000,94674470000,194232680000
2024-12-31,MMLP,IDR,2024,Q4,86205229000,80130048000,15223748000
2025-03-31,MMLP,IDR,2025,Q1,86248120000,86248120000,20666441000
2025-06-30,MMLP,IDR,2025,Q2,88886073000,88886073000,14525352000
2025-09-30,MMLP,IDR,2025,Q3,90994677000,83949203000,15202413000
2025-12-31,MMLP,IDR,2025,Q4,90879833000,71275730000,12814976000
2026-03-31,MMLP,IDR,2026,Q1,93812188000,86502045000,43648085000
