date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2009-09-30,MNCN,IDR,2009,Q3,973141000000,417279000000,102022000000
2009-12-31,MNCN,IDR,2009,Q4,1093020000000,461978000000,44720000000
2010-09-30,MNCN,IDR,2010,Q3,1313839000000,569856000000,179556000000
2010-12-31,MNCN,IDR,2010,Q4,1282639000000,632398000000,167775000000
2011-03-31,MNCN,IDR,2011,Q1,1162168000000,640487000000,243118000000
2011-06-30,MNCN,IDR,2011,Q2,1247796000000,731099000000,287195000000
2011-09-30,MNCN,IDR,2011,Q3,1502196000000,923211000000,319156000000
2011-12-31,MNCN,IDR,2011,Q4,1478314000000,478520000000,275702000000
2012-03-31,MNCN,IDR,2012,Q1,1316297000000,706447000000,352164000000
2012-06-30,MNCN,IDR,2012,Q2,1729472000000,888707000000,397322000000
2012-09-30,MNCN,IDR,2012,Q3,1416906000000,914366000000,418325000000
2012-12-31,MNCN,IDR,2012,Q4,1802585000000,899083000000,489276000000
2013-03-31,MNCN,IDR,2013,Q1,1365986000000,685883000000,423068000000
2013-06-30,MNCN,IDR,2013,Q2,1768257000000,1131665000000,529619000000
2013-09-30,MNCN,IDR,2013,Q3,1614493000000,906886000000,317552000000
2013-12-31,MNCN,IDR,2013,Q4,1773611000000,947256000000,420933000000
2014-03-31,MNCN,IDR,2014,Q1,1496466000000,774358000000,389282000000
2014-06-30,MNCN,IDR,2014,Q2,1876368000000,1200874000000,583701000000
2014-09-30,MNCN,IDR,2014,Q3,1671297000000,940075000000,415861000000
2014-12-31,MNCN,IDR,2014,Q4,1621847000000,937290000000,373150000000
2015-03-31,MNCN,IDR,2015,Q1,1514287000000,795726000000,285163000000
2015-06-30,MNCN,IDR,2015,Q2,1817128000000,1150236000000,411219000000
2015-09-30,MNCN,IDR,2015,Q3,1699547000000,916774000000,-46935000000
2015-12-31,MNCN,IDR,2015,Q4,1413973000000,721592000000,536223000000
2016-03-31,MNCN,IDR,2016,Q1,1538685000000,881579000000,479552000000
2016-06-30,MNCN,IDR,2016,Q2,2029816000000,1148883000000,522566000000
2016-09-30,MNCN,IDR,2016,Q3,1695937000000,930407000000,440594000000
2016-12-31,MNCN,IDR,2016,Q4,1465838000000,894656000000,-74035000000
2017-03-31,MNCN,IDR,2017,Q1,1609585000000,928168000000,419005000000
2017-06-30,MNCN,IDR,2017,Q2,2015907000000,1186152000000,356046000000
2017-09-30,MNCN,IDR,2017,Q3,1756314000000,1130142000000,346709000000
2017-12-31,MNCN,IDR,2017,Q4,1670880000000,1137751000000,331553000000
2018-03-31,MNCN,IDR,2018,Q1,1602361000000,938922000000,274045000000
2018-06-30,MNCN,IDR,2018,Q2,2087183000000,1260777000000,362430000000
2018-09-30,MNCN,IDR,2018,Q3,1840492000000,1081506000000,352598000000
2018-12-31,MNCN,IDR,2018,Q4,1913869000000,1337698000000,542322000000
2019-03-31,MNCN,IDR,2019,Q1,1886355000000,1185302000000,547679000000
2019-06-30,MNCN,IDR,2019,Q2,2365615000000,1487673000000,609933000000
2019-09-30,MNCN,IDR,2019,Q3,2019115000000,1210769000000,507390000000
2019-12-31,MNCN,IDR,2019,Q4,2082280000000,1439133000000,568314000000
2020-03-31,MNCN,IDR,2020,Q1,2015796000000,1246731000000,311983000000
2020-06-30,MNCN,IDR,2020,Q2,1951132000000,1231781000000,644233000000
2020-09-30,MNCN,IDR,2020,Q3,1995422000000,1172472000000,417366000000
2020-12-31,MNCN,IDR,2020,Q4,1993888000000,1254582000000,373937000000
2021-03-31,MNCN,IDR,2021,Q1,2140341000000,1324832000000,399294000000
2021-06-30,MNCN,IDR,2021,Q2,2722750000000,1522404000000,793222000000
2021-09-30,MNCN,IDR,2021,Q3,2209673000000,1196667000000,490124000000
2021-12-31,MNCN,IDR,2021,Q4,2549077000000,1586109000000,694742000000
2022-03-31,MNCN,IDR,2022,Q1,2604550000000,1537977000000,619108000000
2022-06-30,MNCN,IDR,2022,Q2,2669762000000,1420112000000,583637000000
2022-09-30,MNCN,IDR,2022,Q3,2060740000000,1177645000000,453726000000
2022-12-31,MNCN,IDR,2022,Q4,1730158000000,929559000000,399929000000
2023-03-31,MNCN,IDR,2023,Q1,2441993000000,1424590000000,607243000000
2023-06-30,MNCN,IDR,2023,Q2,2004025000000,722650000000,138953000000
2023-09-30,MNCN,IDR,2023,Q3,1602133000000,710296000000,124347000000
2023-12-31,MNCN,IDR,2023,Q4,1735102000000,755924000000,162172000000
2024-03-31,MNCN,IDR,2024,Q1,2327658000000,1326791000000,541582000000
2024-06-30,MNCN,IDR,2024,Q2,2018228000000,815752000000,266897000000
2024-09-30,MNCN,IDR,2024,Q3,1620623000000,614928000000,109385000000
2024-12-31,MNCN,IDR,2024,Q4,1987303000000,801369000000,155358000000
2025-03-31,MNCN,IDR,2025,Q1,2376147000000,1194717000000,443890000000
2025-06-30,MNCN,IDR,2025,Q2,1749176000000,749324000000,191633000000
2025-09-30,MNCN,IDR,2025,Q3,1783470000000,628960000000,118162000000
2025-12-31,MNCN,IDR,2025,Q4,1743931000000,644475000000,567790000000
2026-03-31,MNCN,IDR,2026,Q1,1881642000000,,391125000000
2026-06-30,MNCN,IDR,2026,Q2,1635958000000,,48661000000
