date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,MORA,IDR,2018,Q1,935514977990,301122503897,103204274556
2018-06-30,MORA,IDR,2018,Q2,935514977989,301122503897,103204274556
2018-09-30,MORA,IDR,2018,Q3,1396332691971,402468389142,149048502204
2018-12-31,MORA,IDR,2018,Q4,1396332691971,402468389142,149048502204
2019-03-31,MORA,IDR,2019,Q1,1114966982092,515139514019,224226825518
2019-06-30,MORA,IDR,2019,Q2,1114966982091,515139514019,224226825517
2019-09-30,MORA,IDR,2019,Q3,916223793784,401165763057,71520921703
2019-12-31,MORA,IDR,2019,Q4,916223793784,401165763056,71520921703
2020-03-31,MORA,IDR,2020,Q1,947267668730,558405651355,138517230239
2020-06-30,MORA,IDR,2020,Q2,947267668729,558405651355,138517230239
2020-09-30,MORA,IDR,2020,Q3,935576398667,534587493776,150484485447
2020-12-31,MORA,IDR,2020,Q4,935576398667,534587493776,150484485447
2021-03-31,MORA,IDR,2021,Q1,981056795176,615995671064,157162603345
2021-06-30,MORA,IDR,2021,Q2,1035698814091,579071380459,150243897418
2021-09-30,MORA,IDR,2021,Q3,927679383616,545208022654,130309741140
2021-12-31,MORA,IDR,2021,Q4,1180996054357,655187592737,148131291741
2022-03-31,MORA,IDR,2022,Q1,1026069255358,661272474583,155726905964
2022-06-30,MORA,IDR,2022,Q2,1120312675424,729952001560,190336298667
2022-09-30,MORA,IDR,2022,Q3,1254646242677,762678225219,156349413126
2022-12-31,MORA,IDR,2022,Q4,1246623113895,603569618748,77087601796
2023-03-31,MORA,IDR,2023,Q1,1235842515854,734398003807,201884812609
2023-06-30,MORA,IDR,2023,Q2,1088623608155,631180929801,150280235843
2023-09-30,MORA,IDR,2023,Q3,1020244587685,642227787499,136472572153
2023-12-31,MORA,IDR,2023,Q4,961613460974,503435295571,75577964067
2024-03-31,MORA,IDR,2024,Q1,1109373844120,702008294383,199157487044
2024-06-30,MORA,IDR,2024,Q2,1042361001255,638539432791,162793266648
2024-09-30,MORA,IDR,2024,Q3,841621905600,410372686912,-159256027949
2024-12-31,MORA,IDR,2024,Q4,984832105199,549720304969,42777244582
2025-03-31,MORA,IDR,2025,Q1,895453912000,567878088000,104598833000
2025-06-30,MORA,IDR,2025,Q2,933363687000,524180431000,66282964000
2025-09-30,MORA,IDR,2025,Q3,979211401000,503874275000,60675203000
2025-12-31,MORA,IDR,2025,Q4,1192189333000,749289008000,216936000000
2026-03-31,MORA,IDR,2026,Q1,962605000000,,128823000000
2026-06-30,MORA,IDR,2026,Q2,1824769452274,,183546496690
