date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-03-31,MPOW,IDR,2016,Q1,12682733341,7035243536,5776777977
2016-06-30,MPOW,IDR,2016,Q2,12682733341,7035243537,5776777977
2016-09-30,MPOW,IDR,2016,Q3,16127590318,3874542927,2388235046
2016-12-31,MPOW,IDR,2016,Q4,17783380000,14664262000,-3441279000
2017-03-31,MPOW,IDR,2017,Q1,17802551000,9954996000,4504611000
2017-06-30,MPOW,IDR,2017,Q2,17931195000,8525673000,3513106000
2017-09-30,MPOW,IDR,2017,Q3,17330823000,11600391000,1708623000
2017-12-31,MPOW,IDR,2017,Q4,13615440000,7252906000,2638503000
2018-03-31,MPOW,IDR,2018,Q1,14989218000,8655917000,1308992000
2018-06-30,MPOW,IDR,2018,Q2,16744921000,9492385000,-2094903000
2018-09-30,MPOW,IDR,2018,Q3,15367229000,7749619000,-2413446000
2018-12-31,MPOW,IDR,2018,Q4,11514903000,5118898000,6262651000
2019-03-31,MPOW,IDR,2019,Q1,14393207000,6784841000,2748568000
2019-06-30,MPOW,IDR,2019,Q2,15637127000,8934518000,4397470000
2019-09-30,MPOW,IDR,2019,Q3,12232285000,5856274000,1762270000
2019-12-31,MPOW,IDR,2019,Q4,6937326000,731776000,-5829754000
2020-03-31,MPOW,IDR,2020,Q1,6994279000,478067000,-23008941000
2020-06-30,MPOW,IDR,2020,Q2,11690102000,5401411000,20527785000
2020-09-30,MPOW,IDR,2020,Q3,10720944000,4349698000,-2908320000
2020-12-31,MPOW,IDR,2020,Q4,9404717000,3147969000,5384482000
2021-03-31,MPOW,IDR,2021,Q1,10689592000,3178595000,-2159782000
2021-06-30,MPOW,IDR,2021,Q2,9901917000,1966154000,416506000
2021-09-30,MPOW,IDR,2021,Q3,10896012000,3089810000,2548074000
2021-12-31,MPOW,IDR,2021,Q4,10477764000,3303734000,1700160000
2022-03-31,MPOW,IDR,2022,Q1,10915562000,2940460000,707774000
2022-06-30,MPOW,IDR,2022,Q2,9889448000,2076432000,-3300745000
2022-09-30,MPOW,IDR,2022,Q3,9955773000,2690801000,-1067204000
2022-12-31,MPOW,IDR,2022,Q4,9321182000,-4527542000,-7252333000
2023-03-31,MPOW,IDR,2023,Q1,8221422000,1988933000,2426772000
2023-06-30,MPOW,IDR,2023,Q2,8497380000,1484700000,-266338000
2023-09-30,MPOW,IDR,2023,Q3,5838824000,-826172000,-3285021000
2023-12-31,MPOW,IDR,2023,Q4,6259260000,-1254141000,-2224955000
2024-03-31,MPOW,IDR,2024,Q1,8104437000,842812000,-1915822000
2024-06-30,MPOW,IDR,2024,Q2,10550800000,3895811000,269281000
2024-09-30,MPOW,IDR,2024,Q3,8027429000,1593162000,2627887000
2024-12-31,MPOW,IDR,2024,Q4,6009390000,-1323580000,-4342390000
2025-03-31,MPOW,IDR,2025,Q1,7974017000,1104212000,-1689366000
2025-06-30,MPOW,IDR,2025,Q2,8225150000,1411154000,92969000
2025-09-30,MPOW,IDR,2025,Q3,8885595000,-572971000,-2329428000
2025-12-31,MPOW,IDR,2025,Q4,8915911000,-1084963000,-7277299000
2026-03-31,MPOW,IDR,2026,Q1,3457744000,-3494500000,-4429455000
