date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2009-03-31,MPPA,IDR,2009,Q1,2230453000000,721937000000,36333000000
2009-06-30,MPPA,IDR,2009,Q2,2347458000000,798310000000,94027000000
2009-09-30,MPPA,IDR,2009,Q3,3169845000000,1196553000000,100875000000
2009-12-31,MPPA,IDR,2009,Q4,2532701000000,839277000000,68800000000
2010-03-31,MPPA,IDR,2010,Q1,2478593000000,793235000000,38111000000
2010-06-30,MPPA,IDR,2010,Q2,1895409000000,337847000000,5561902000000
2010-09-30,MPPA,IDR,2010,Q3,2142327000000,381528000000,100300000000
2010-12-31,MPPA,IDR,2010,Q4,2028449000000,354279000000,100327000000
2011-03-31,MPPA,IDR,2011,Q1,1988855000000,354690000000,20006000000
2011-06-30,MPPA,IDR,2011,Q2,2127938000000,385599000000,16381000000
2011-09-30,MPPA,IDR,2011,Q3,2414048000000,429599000000,38623000000
2011-12-31,MPPA,IDR,2011,Q4,2377770000000,387713000000,30027000000
2012-03-31,MPPA,IDR,2012,Q1,2393138000000,427640000000,25010000000
2012-06-30,MPPA,IDR,2012,Q2,2580139000000,473725000000,50124000000
2012-09-30,MPPA,IDR,2012,Q3,2998037000000,542623000000,77928000000
2012-12-31,MPPA,IDR,2012,Q4,3333711000000,453573000000,67485000000
2013-03-31,MPPA,IDR,2013,Q1,2762824000000,419143000000,63207000000
2013-06-30,MPPA,IDR,2013,Q2,2949307000000,433250000000,158615000000
2013-09-30,MPPA,IDR,2013,Q3,3442679000000,512718000000,99079000000
2013-12-31,MPPA,IDR,2013,Q4,3409417000000,523709000000,124004000000
2014-03-31,MPPA,IDR,2014,Q1,3317609000000,529912000000,50968000000
2014-06-30,MPPA,IDR,2014,Q2,3462214000000,554609000000,152175000000
2014-09-30,MPPA,IDR,2014,Q3,3789164000000,638331000000,150814000000
2014-12-31,MPPA,IDR,2014,Q4,3719199000000,631605000000,200060000000
2015-03-31,MPPA,IDR,2015,Q1,3517131000000,597393000000,81583000000
2015-06-30,MPPA,IDR,2015,Q2,3664631000000,606349000000,93914000000
2015-09-30,MPPA,IDR,2015,Q3,3750132000000,597084000000,70172000000
2015-12-31,MPPA,IDR,2015,Q4,3619028000000,555655000000,-62670000000
2016-03-31,MPPA,IDR,2016,Q1,3398032000000,458896000000,-123071000000
2016-06-30,MPPA,IDR,2016,Q2,3876860000000,672701000000,102330000000
2016-09-30,MPPA,IDR,2016,Q3,3536914000000,558410000000,53309000000
2016-12-31,MPPA,IDR,2016,Q4,3285366000000,604032000000,5915000000
2017-03-31,MPPA,IDR,2017,Q1,3242956000000,433441000000,-176720000000
2017-06-30,MPPA,IDR,2017,Q2,3771923000000,567768000000,6893000000
2017-09-30,MPPA,IDR,2017,Q3,3028458000000,354745000000,-215779000000
2017-12-31,MPPA,IDR,2017,Q4,3094543000000,-352689000000,-857808000000
2018-03-31,MPPA,IDR,2018,Q1,3049170000000,330468000000,-159815000000
2018-06-30,MPPA,IDR,2018,Q2,3114148000000,360765000000,-102635000000
2018-09-30,MPPA,IDR,2018,Q3,2551003000000,401737000000,-73402000000
2018-12-31,MPPA,IDR,2018,Q4,2551048000000,388443000000,-562422000000
2019-03-31,MPPA,IDR,2019,Q1,2114858000000,358073000000,-112697000000
2019-06-30,MPPA,IDR,2019,Q2,2793376000000,431862000000,-74187000000
2019-09-30,MPPA,IDR,2019,Q3,2132755000000,385884000000,-78906000000
2019-12-31,MPPA,IDR,2019,Q4,2159837000000,404578000000,-286886000000
2020-03-31,MPPA,IDR,2020,Q1,2076426000000,393460000000,-100202000000
2020-06-30,MPPA,IDR,2020,Q2,1818395000000,334509000000,-119050000000
2020-09-30,MPPA,IDR,2020,Q3,1544094000000,277550000000,-113149000000
2020-12-31,MPPA,IDR,2020,Q4,1726139000000,301139000000,-72909000000
2021-03-31,MPPA,IDR,2021,Q1,1637877000000,279958000000,-83702000000
2021-06-30,MPPA,IDR,2021,Q2,2097152000000,347845000000,-7800000000
2021-09-30,MPPA,IDR,2021,Q3,1474213000000,251855000000,-80872000000
2021-12-31,MPPA,IDR,2021,Q4,1445980000000,317036000000,-165174000000
2022-03-31,MPPA,IDR,2022,Q1,1777203000000,323673000000,-109164000000
2022-06-30,MPPA,IDR,2022,Q2,2132276000000,349536000000,-49438000000
2022-09-30,MPPA,IDR,2022,Q3,1719257000000,296418000000,-131400000000
2022-12-31,MPPA,IDR,2022,Q4,1785737000000,312183000000,-139632000000
2023-03-31,MPPA,IDR,2023,Q1,1877021000000,305267000000,-99987000000
2023-06-30,MPPA,IDR,2023,Q2,2015745000000,323681000000,-45397000000
2023-09-30,MPPA,IDR,2023,Q3,1706070000000,271925000000,-102117000000
2023-12-31,MPPA,IDR,2023,Q4,1597041000000,204423000000,-7849000000
2024-03-31,MPPA,IDR,2024,Q1,2059073000000,318751000000,-30071000000
2024-06-30,MPPA,IDR,2024,Q2,1811367000000,224292000000,-27285000000
2024-09-30,MPPA,IDR,2024,Q3,1654124000000,209013000000,-35075000000
2024-12-31,MPPA,IDR,2024,Q4,1757761000000,305847000000,-25676000000
2025-03-31,MPPA,IDR,2025,Q1,2193330000000,324102000000,-22305000000
2025-06-30,MPPA,IDR,2025,Q2,1580045000000,293831000000,-36547000000
2025-09-30,MPPA,IDR,2025,Q3,1700536000000,232700000000,-32970000000
2025-12-31,MPPA,IDR,2025,Q4,1779293000000,257208000000,-60391000000
2026-03-31,MPPA,IDR,2026,Q1,2202778000000,269524000000,1822000000
