date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2023-03-31,MSJA,USD,2023,Q1,18795091,4331073,2895904
2023-06-30,MSJA,USD,2023,Q2,17655457,3580588,658137
2023-09-30,MSJA,USD,2023,Q3,16563823,3849197,1925754
2023-12-31,MSJA,USD,2023,Q4,17274442,3503915,1842398
2024-03-31,MSJA,USD,2024,Q1,17357013,2878291,345340
2024-06-30,MSJA,USD,2024,Q2,15278093,2198672,-507907
2024-09-30,MSJA,USD,2024,Q3,17694882,3659290,4213218
2024-12-31,MSJA,USD,2024,Q4,18182158,3831944,1453931
2025-03-31,MSJA,USD,2025,Q1,15655047,2280344,313258
2025-06-30,MSJA,USD,2025,Q2,15847749,3060646,1895804
2025-09-30,MSJA,USD,2025,Q3,15679000,3065000,1195000
2025-12-31,MSJA,USD,2025,Q4,16730301,3225396,2248503
2026-03-31,MSJA,USD,2026,Q1,15250665,2452173,1100707
